|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.75/EETA/EETA_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        iron           an             San(TH)        ilm            q              O(HP)         
  1426.28        500.000       0.328908E-001   94.3670        1.98355        3.61656                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1425.21        500.000       0.522046E-004   99.9586       0.273034E-001  0.140176E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1424.14        500.000       0.770844E-004   99.9238       0.250857E-001  0.505929E-001            NaN  0.418985E-003            NaN            NaN            NaN            NaN            NaN
  1423.07        500.000       0.193704E-002   98.3010        1.12142       0.575608                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.01        500.000       0.629147E-003   99.4010       0.395553       0.202771                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.94        500.000       0.600109E-003   99.4035       0.201550       0.394390                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.87        500.000       0.379768E-003   99.2889       0.254224       0.404946                 NaN            NaN  0.515432E-001            NaN            NaN            NaN            NaN
  1418.80        500.000                 NaN   98.1105       0.613708       0.681608                 NaN  0.510259E-001  0.543133                 NaN            NaN            NaN            NaN
  1417.73        500.000                 NaN   97.9005       0.663059       0.716899                 NaN  0.105444       0.614081                 NaN            NaN            NaN            NaN
  1416.66        500.000                 NaN   97.9482       0.647507       0.701361                 NaN  0.102534       0.600433                 NaN            NaN            NaN            NaN
  1415.60        500.000                 NaN   97.9994       0.684252       0.631338                 NaN  0.995110E-001  0.585482                 NaN            NaN            NaN            NaN
  1414.53        500.000                 NaN   98.0441       0.616784       0.669611                 NaN  0.968244E-001  0.572683                 NaN            NaN            NaN            NaN
  1413.46        500.000                 NaN   98.0765       0.659100       0.606243                 NaN  0.947738E-001  0.563369                 NaN            NaN            NaN            NaN
  1412.39        500.000                 NaN   98.1413       0.636829       0.586287                 NaN  0.910389E-001  0.544588                 NaN            NaN            NaN            NaN
  1411.32        500.000                 NaN   98.1716       0.627171       0.576230                 NaN  0.893125E-001  0.535715                 NaN            NaN            NaN            NaN
  1410.25        500.000                 NaN   98.2106       0.613942       0.564255                 NaN  0.868317E-001  0.524420                 NaN            NaN            NaN            NaN
