|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.75/EETA/EETA_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        iron           an             San(TH)        ilm            q              O(HP)         
  1426.28        500.000       0.211623E-001   95.2052        1.67618        3.09748                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1425.21        500.000       0.332956E-004   99.9651       0.231768E-001  0.117383E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1424.14        500.000       0.492360E-004   99.9359       0.209967E-001  0.429345E-001            NaN  0.155855E-003            NaN            NaN            NaN            NaN            NaN
  1423.07        500.000       0.123933E-002   98.5632       0.953088       0.482486                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.01        500.000       0.402032E-003   99.4945       0.335488       0.169613                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.94        500.000       0.383520E-003   99.4968       0.168473       0.334315                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.87        500.000       0.242757E-003   99.3910       0.212407       0.343162                 NaN            NaN  0.531665E-001            NaN            NaN            NaN            NaN
  1418.80        500.000                 NaN   98.3307       0.520184       0.569532                 NaN  0.189805E-001  0.560564                 NaN            NaN            NaN            NaN
  1417.73        500.000                 NaN   98.1666       0.553562       0.607201                 NaN  0.392016E-001  0.633462                 NaN            NaN            NaN            NaN
  1416.66        500.000                 NaN   98.2100       0.539841       0.593302                 NaN  0.380792E-001  0.618746                 NaN            NaN            NaN            NaN
  1415.60        500.000                 NaN   98.2566       0.578112       0.525651                 NaN  0.369176E-001  0.602719                 NaN            NaN            NaN            NaN
  1414.53        500.000                 NaN   98.2973       0.512847       0.565049                 NaN  0.358833E-001  0.588944                 NaN            NaN            NaN            NaN
  1413.46        500.000                 NaN   98.3272       0.555508       0.503408                 NaN  0.350870E-001  0.578784                 NaN            NaN            NaN            NaN
  1412.39        500.000                 NaN   98.3852       0.536041       0.486172                 NaN  0.336686E-001  0.558914                 NaN            NaN            NaN            NaN
  1411.32        500.000                 NaN   98.4132       0.527322       0.477240                 NaN  0.329966E-001  0.549265                 NaN            NaN            NaN            NaN
  1410.25        500.000                 NaN   98.4486       0.515536       0.466699                 NaN  0.320472E-001  0.537149                 NaN            NaN            NaN            NaN
  1409.19        500.000                 NaN   98.3807       0.539030       0.486196                 NaN  0.333316E-001  0.560727                 NaN            NaN            NaN            NaN
  1408.12        500.000                 NaN   98.6163       0.459904       0.416252                 NaN  0.282966E-001  0.479231                 NaN            NaN            NaN            NaN
  1407.05        500.000                 NaN   99.5439       0.163540       0.124979                 NaN  0.946836E-002  0.158153                 NaN            NaN            NaN            NaN
  1405.98        500.000                 NaN   97.5764       0.800567       0.737019                 NaN  0.480759E-001  0.837946                 NaN            NaN            NaN            NaN
  1404.91        500.000                 NaN   98.6065       0.463417       0.419107                 NaN  0.280577E-001  0.482898                 NaN            NaN            NaN            NaN
  1403.84        500.000                 NaN   98.6344       0.410025       0.454888                 NaN  0.273464E-001  0.473356                 NaN            NaN            NaN            NaN
  1402.78        500.000                 NaN   98.6631       0.401898       0.445045                 NaN  0.266391E-001  0.463368                 NaN            NaN            NaN            NaN
  1401.71        500.000                 NaN   98.6888       0.436596       0.394106                 NaN  0.259557E-001  0.454516                 NaN            NaN            NaN            NaN
  1400.64        500.000                 NaN   98.7142       0.428107       0.386639                 NaN  0.252964E-001  0.445752                 NaN            NaN            NaN            NaN
  1399.57        500.000                 NaN   98.7388       0.419634       0.379652                 NaN  0.246868E-001  0.437189                 NaN            NaN            NaN            NaN
  1398.50        500.000                 NaN   98.7627       0.411800       0.372368                 NaN  0.240523E-001  0.429090                 NaN            NaN            NaN            NaN
  1397.43        500.000                 NaN   98.7863       0.365062       0.404379                 NaN  0.234546E-001  0.420839                 NaN            NaN            NaN            NaN
  1396.37        500.000                 NaN   98.8084       0.396966       0.358543                 NaN  0.228898E-001  0.413204                 NaN            NaN            NaN            NaN
  1395.30        500.000                 NaN   98.8291       0.389852       0.352603                 NaN  0.223553E-001  0.406042                 NaN            NaN            NaN            NaN
  1394.23        500.000                 NaN   98.8518       0.381876       0.346527                 NaN  0.217487E-001  0.398089                 NaN            NaN            NaN            NaN
  1393.16        500.000                 NaN   98.8716       0.340100       0.375721                 NaN  0.212826E-001  0.391256                 NaN            NaN            NaN            NaN
  1392.09        500.000                 NaN   98.8907       0.369355       0.334624                 NaN  0.207272E-001  0.384595                 NaN            NaN            NaN            NaN
  1391.02        500.000                 NaN   98.9075       0.364302       0.329069                 NaN  0.202750E-001  0.378845                 NaN            NaN            NaN            NaN
  1389.96        500.000                 NaN   98.9314       0.323629       0.355115                 NaN  0.196441E-001  0.370195                 NaN            NaN            NaN            NaN
  1388.89        500.000                 NaN   98.9469       0.350388       0.318439                 NaN  0.192889E-001  0.364996                 NaN            NaN            NaN            NaN
  1387.82        500.000                 NaN   98.9648       0.313663       0.343998                 NaN  0.188107E-001  0.358743                 NaN            NaN            NaN            NaN
  1386.75        500.000                 NaN   98.9821       0.308423       0.338289                 NaN  0.184076E-001  0.352749                 NaN            NaN            NaN            NaN
  1385.68        500.000                 NaN   98.9957       0.333870       0.304557                 NaN  0.179648E-001  0.347897                 NaN            NaN            NaN            NaN
  1384.61        500.000                 NaN   99.0171       0.326044       0.299018                 NaN  0.174669E-001  0.340375                 NaN            NaN            NaN            NaN
  1383.55        500.000                 NaN   99.0307       0.321684       0.294804                 NaN  0.171115E-001  0.335700                 NaN            NaN            NaN            NaN
  1382.48        500.000                 NaN   99.0459       0.316385       0.290619                 NaN  0.167112E-001  0.330340                 NaN            NaN            NaN            NaN
  1381.41        500.000                 NaN   99.0609       0.311342       0.286310                 NaN  0.163445E-001  0.325128                 NaN            NaN            NaN            NaN
  1380.34        500.000                 NaN   99.0751       0.306530       0.282326                 NaN  0.159402E-001  0.320102                 NaN            NaN            NaN            NaN
  1379.27        500.000                 NaN   99.0899       0.278347       0.301294                 NaN  0.155790E-001  0.314912                 NaN            NaN            NaN            NaN
  1378.20        500.000                 NaN   99.1033       0.274679       0.296639                 NaN  0.151689E-001  0.310165                 NaN            NaN            NaN            NaN
  1377.13        500.000                 NaN   99.1167       0.291919       0.271085                 NaN  0.148067E-001  0.305441                 NaN            NaN            NaN            NaN
  1376.07        500.000                 NaN   99.1298       0.287274       0.267598                 NaN  0.144575E-001  0.300832                 NaN            NaN            NaN            NaN
  1375.00        500.000                 NaN   98.9372       0.351120       0.327099                 NaN  0.173656E-001  0.367169                 NaN            NaN            NaN            NaN
  1373.93        500.000                 NaN   99.8066       0.644345E-001  0.589920E-001            NaN  0.315960E-002  0.668039E-001            NaN            NaN            NaN            NaN
