|6.6.6
Archiving\03_Data\eqfrac/QFM_m2/TIS/TIS_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1461.54        2500.00       0.161755E-001   99.9495       0.343617E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.38        2500.00       0.106631E-002   99.4417       0.480411                 NaN            NaN  0.768450E-001            NaN            NaN            NaN            NaN
  1459.23        2500.00       0.767579E-003   99.2806       0.554338       0.108663                 NaN  0.556317E-001            NaN            NaN            NaN            NaN
  1458.07        2500.00       0.831710E-003   99.2671       0.533854       0.141845                 NaN  0.563420E-001            NaN            NaN            NaN            NaN
  1456.91        2500.00       0.921429E-003   99.2722       0.206022       0.505163                 NaN  0.157316E-001            NaN            NaN            NaN            NaN
  1455.76        2500.00       0.824444E-003   99.2768       0.173508       0.513869                 NaN  0.350004E-001            NaN            NaN            NaN            NaN
  1454.60        2500.00       0.109106E-002   98.9247       0.261342       0.762747                 NaN  0.501415E-001            NaN            NaN            NaN            NaN
  1453.44        2500.00       0.455348E-003   99.6366       0.258368       0.865205E-001            NaN  0.180088E-001            NaN            NaN            NaN            NaN
  1452.29        2500.00       0.749643E-003   99.2584       0.525993       0.180528                 NaN  0.343093E-001            NaN            NaN            NaN            NaN
  1451.13        2500.00       0.659354E-003   99.3159       0.167801       0.484463                 NaN  0.311280E-001            NaN            NaN            NaN            NaN
  1449.97        2500.00       0.656055E-003   99.2920       0.174854       0.500964                 NaN  0.315461E-001            NaN            NaN            NaN            NaN
  1448.82        2500.00       0.115745E-002   98.5643        1.02250       0.349547                 NaN  0.625135E-001            NaN            NaN            NaN            NaN
  1447.66        2500.00       0.135827E-004   99.9834       0.340216E-002  0.120360E-001            NaN  0.115803E-002            NaN            NaN            NaN            NaN
  1446.50        2500.00       0.512619E-003   99.3621       0.449708       0.160541                 NaN  0.271100E-001            NaN            NaN            NaN            NaN
  1445.35        2500.00       0.510571E-003   99.3053       0.175484       0.489518                 NaN  0.291507E-001            NaN            NaN            NaN            NaN
  1444.19        2500.00       0.479305E-003   99.3092       0.163684       0.491281                 NaN  0.353842E-001            NaN            NaN            NaN            NaN
  1443.03        2500.00       0.492062E-003   99.3103       0.481563       0.186914                 NaN  0.206892E-001            NaN            NaN            NaN            NaN
  1441.88        2500.00       0.120787E-003   99.8205       0.126454       0.461858E-001            NaN  0.671179E-002            NaN            NaN            NaN            NaN
  1440.72        2500.00       0.771591E-003   98.8080       0.305369       0.838797                 NaN  0.470887E-001            NaN            NaN            NaN            NaN
  1439.56        2500.00       0.393816E-003   99.3200       0.477908       0.175938                 NaN  0.258086E-001            NaN            NaN            NaN            NaN
  1438.41        2500.00       0.415793E-003   99.2341       0.197616       0.539485                 NaN  0.283631E-001            NaN            NaN            NaN            NaN
  1437.25        2500.00       0.299021E-003   99.4121       0.153390       0.412684                 NaN  0.214858E-001            NaN            NaN            NaN            NaN
  1436.09        2500.00       0.322368E-003   99.3271       0.176443       0.471995                 NaN  0.241063E-001            NaN            NaN            NaN            NaN
  1434.93        2500.00       0.296826E-003   99.3289       0.176541       0.470789                 NaN  0.234943E-001            NaN            NaN            NaN            NaN
