|6.6.6
Archiving\03_Data\eqfrac/QFM_m4/KHA22/KHA22_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             Sp(TH)         lc            
  1589.74        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.26        2500.00        99.4700       0.523490       0.648004E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.78        2500.00        99.3090       0.625068       0.659105E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.31        2500.00        99.3145       0.619567       0.659348E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.83        2500.00        99.3220       0.614116       0.638638E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.35        2500.00        99.3264       0.610311       0.632710E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.87        2500.00        99.3280       0.610457       0.615794E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.39        2500.00        99.3423       0.596834       0.608997E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.92        2500.00        99.3129       0.626061       0.610751E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        99.3801       0.563029       0.568320E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.96        2500.00        99.3487       0.592363       0.589056E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.48        2500.00        99.3675       0.574919       0.576296E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.00        2500.00        99.3609       0.581199       0.579039E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.53        2500.00        99.6128       0.352602       0.346133E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.05        2500.00        99.1382       0.784473       0.773141E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.57        2500.00        99.3893       0.554561       0.561412E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.09        2500.00        99.3470       0.596175       0.567787E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.61        2500.00        99.4349       0.514560       0.505261E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.14        2500.00        99.3959       0.552246       0.518878E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.66        2500.00        99.4027       0.545821       0.514441E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.18        2500.00        99.4085       0.541628       0.498386E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.70        2500.00        99.4100       0.540451       0.495785E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.22        2500.00        99.4189       0.530724       0.503960E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.74        2500.00        99.4209       0.531816       0.472984E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
