|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m4/WD94/WD94_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q              hed           
  1602.56        500.000        99.3313       0.380272       0.288470                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.05        500.000        99.2984       0.666649       0.349777E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.54        500.000        98.9574       0.987277       0.552959E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.03        500.000        99.1421       0.812554       0.453793E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.52        500.000        99.1538       0.802936       0.432719E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.01        500.000        99.1618       0.796270       0.419196E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.50        500.000        99.1710       0.787544       0.414453E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.99        500.000        99.1730       0.787801       0.391528E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.48        500.000        99.1922       0.768483       0.393027E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        99.1978       0.763470       0.387049E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.46        500.000        98.5833        1.36051       0.562219E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.95        500.000        99.1383       0.807555       0.541782E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.44        500.000        99.9148       0.838987E-001  0.126740E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.93        500.000        99.2415       0.725046       0.334331E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.42        500.000        99.2363       0.729644       0.340621E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.91        500.000        99.2439       0.724614       0.314790E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.40        500.000        99.2536       0.715041       0.313679E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.89        500.000        99.2596       0.709665       0.307750E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.38        500.000        99.2653       0.705728       0.289743E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.87        500.000        98.9599       0.875446       0.164623                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.36        500.000        99.5415       0.387628       0.709167E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.85        500.000        99.3652       0.634823                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.34        500.000        99.2920       0.707950                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.83        500.000        99.2986       0.701412                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.32        500.000        99.3074       0.671220       0.213538E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.81        500.000        99.3143       0.685731                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.30        500.000        97.9677        2.01483       0.175089E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.28        500.000        99.9871       0.129191E-001  0.241407E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.76        500.000        99.3763       0.603351       0.203141E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.25        500.000        99.3497       0.574419       0.758573E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.74        500.000        99.3489       0.650911       0.139032E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.23        500.000        99.3568       0.631825       0.113659E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.72        500.000        99.3608       0.632213       0.703334E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.21        500.000        99.3744       0.468375       0.157274                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.70        500.000        99.3862       0.613814                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.19        500.000        99.3753       0.624687                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.68        500.000        99.3850       0.573609       0.414261E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.17        500.000        99.3904       0.609608                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.66        500.000        99.3914       0.608568                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.15        500.000        99.3956       0.604182       0.230923E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.64        500.000        99.4025       0.597469                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.13        500.000        99.4058       0.594208                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.62        500.000        99.4119       0.588110       0.116092E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.11        500.000        99.4166       0.583375                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.60        500.000        99.4217       0.569451       0.883625E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.09        500.000        99.4262       0.573826                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.58        500.000        99.4303       0.569731                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.07        500.000        99.4346       0.565355                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.56        500.000        99.4401       0.559895                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.05        500.000        98.4086                 NaN   1.59135                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.54        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.03        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.52        500.000        99.7359       0.264065                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.01        500.000        99.4649       0.535078                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.50        500.000        99.4708       0.529205                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.99        500.000        99.4725       0.527481                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.48        500.000        99.4775       0.522485                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.97        500.000        99.4799       0.520146                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.46        500.000        99.4850       0.514982                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.95        500.000        99.4885       0.511531                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.44        500.000        99.4916       0.508383                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
