|6.6.6
Archiving\03_Data\frac/QFM_m1.75/TAY13/TAY13_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         melt(TH)       melt(TH)       mang           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1844.61        2500.00        99.3808                 NaN            NaN            NaN  0.604636       0.145544E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.3861                 NaN            NaN            NaN  0.599579       0.143038E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.3841                 NaN            NaN            NaN  0.601566       0.143820E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.3835                 NaN            NaN            NaN  0.602168       0.143779E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.3869                 NaN            NaN            NaN  0.598820       0.142538E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.3866                 NaN            NaN            NaN  0.599162       0.142530E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.3131                 NaN            NaN            NaN  0.670907       0.159672E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.4600                 NaN            NaN            NaN  0.527532       0.124754E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.3854                 NaN            NaN            NaN  0.600389       0.142265E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.3880                 NaN            NaN            NaN  0.597850       0.141054E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.3858                 NaN            NaN            NaN  0.600096       0.140964E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.3871                 NaN            NaN            NaN  0.598849       0.140541E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.3862                 NaN            NaN            NaN  0.599757       0.140427E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.3858                 NaN            NaN            NaN  0.600150       0.140053E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.2850                 NaN            NaN            NaN  0.698695       0.162716E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.4859                 NaN            NaN            NaN  0.502487       0.116580E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.3799                 NaN            NaN            NaN  0.606097       0.140318E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.3869                 NaN            NaN            NaN  0.599318       0.137942E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.3833                 NaN            NaN            NaN  0.602854       0.138400E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.4866                 NaN            NaN            NaN  0.501970       0.114580E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.2718                 NaN            NaN            NaN  0.711980       0.162225E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.3808                 NaN            NaN            NaN  0.605479       0.137114E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.3769                 NaN            NaN            NaN  0.609320       0.137534E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.3768                 NaN            NaN            NaN  0.609477       0.137104E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.3743                 NaN            NaN            NaN  0.611981       0.136981E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.3728                 NaN            NaN            NaN  0.613509       0.136725E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.3707                 NaN            NaN            NaN  0.615628       0.136592E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.3695                 NaN            NaN            NaN  0.616838       0.136138E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.3672                 NaN            NaN            NaN  0.619200       0.135936E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.3658                 NaN            NaN            NaN  0.620641       0.135603E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.3627                 NaN            NaN            NaN  0.623765       0.135751E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.4339                 NaN            NaN            NaN  0.554166       0.119508E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.2816                 NaN            NaN            NaN  0.703280       0.151668E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.3604                 NaN            NaN            NaN  0.626216       0.133685E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.3539                 NaN            NaN            NaN  0.632678       0.134681E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.3525                 NaN            NaN            NaN  0.634118       0.134170E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.3496                 NaN            NaN            NaN  0.636979       0.134157E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.3452                 NaN            NaN            NaN  0.641425       0.134138E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.3445                 NaN            NaN            NaN  0.642170       0.133577E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.3411                 NaN            NaN            NaN  0.645522       0.133630E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.3383                 NaN            NaN            NaN  0.648348       0.133273E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.3326                 NaN            NaN            NaN  0.654046       0.133626E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.3307                 NaN            NaN            NaN  0.656017       0.133305E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.3332                 NaN            NaN            NaN  0.653585       0.132045E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.3272                 NaN            NaN            NaN  0.659560       0.132828E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.3240                 NaN            NaN            NaN  0.662796       0.132357E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.3207                 NaN            NaN            NaN  0.666027       0.132281E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.3179                 NaN            NaN            NaN  0.668859       0.132118E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.3147                 NaN            NaN            NaN  0.672094       0.131813E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.3125                 NaN            NaN            NaN  0.674351       0.131788E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.3045                 NaN            NaN            NaN  0.682258       0.132256E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.3153                 NaN            NaN            NaN  0.671681       0.129989E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.2997                 NaN            NaN            NaN  0.687097       0.131879E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.3013                 NaN            NaN            NaN  0.685585       0.131185E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.2975                 NaN            NaN            NaN  0.689423       0.130946E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.2965                 NaN            NaN            NaN  0.690445       0.130625E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.2917                 NaN            NaN            NaN  0.695212       0.130706E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00       100.0000                 NaN            NaN            NaN            NaN  0.694159E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        98.5842                 NaN            NaN            NaN   1.38989       0.259563E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.2848                 NaN            NaN            NaN  0.702141       0.130297E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.2863                 NaN            NaN            NaN  0.700797       0.129499E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.2772                 NaN            NaN            NaN  0.709777       0.130694E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.2850                 NaN            NaN            NaN  0.702177       0.128478E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.2784                 NaN            NaN            NaN  0.708728       0.129129E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.2747                 NaN            NaN            NaN  0.712327       0.129425E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.2731                 NaN            NaN            NaN  0.714007       0.129393E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.2768                 NaN            NaN            NaN  0.710391       0.127820E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.2733                 NaN            NaN            NaN  0.713879       0.128140E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.2702                 NaN            NaN            NaN  0.717007       0.128325E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.2695                 NaN            NaN            NaN  0.717665       0.128179E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.2698                 NaN            NaN            NaN  0.717474       0.127436E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.2687                 NaN            NaN            NaN  0.718530       0.127446E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.7217                 NaN            NaN            NaN  0.273541       0.480292E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        98.8139                 NaN            NaN            NaN   1.16557       0.205626E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        99.2679                 NaN            NaN            NaN  0.719458       0.126482E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.2677                 NaN            NaN            NaN  0.719717       0.126283E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        99.2663                 NaN            NaN            NaN  0.721074       0.126257E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        99.2700                 NaN            NaN            NaN  0.717442       0.125515E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        99.2687                 NaN            NaN            NaN  0.718757       0.125439E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        99.2695                 NaN            NaN            NaN  0.718005       0.125202E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        99.0807                 NaN            NaN            NaN  0.902631       0.166258E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        99.4620                 NaN            NaN            NaN  0.529777       0.820559E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        99.2735                 NaN            NaN            NaN  0.714137       0.124089E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        99.2746                 NaN            NaN            NaN  0.713026       0.123857E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.6180                 NaN            NaN            NaN   1.35648       0.254869E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        99.9492                 NaN            NaN            NaN  0.500093E-001  0.780186E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        99.2832                 NaN            NaN            NaN  0.706203       0.105784E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        99.2440                 NaN            NaN            NaN  0.743187       0.127646E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        99.3215                 NaN            NaN            NaN  0.666963       0.115409E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        99.2868                 NaN            NaN            NaN  0.700994       0.121712E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        99.1262                 NaN            NaN            NaN  0.598988       0.768826E-002  0.267101                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.5222                 NaN            NaN            NaN  0.231831                 NaN   1.24601                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.5469                 NaN            NaN            NaN  0.227661                 NaN   1.22543                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.5704                 NaN            NaN            NaN  0.222494                 NaN   1.20707                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.5945                 NaN            NaN            NaN  0.219949                 NaN   1.18554                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.6137                 NaN            NaN            NaN  0.214487                 NaN   1.17181                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.6442                 NaN            NaN            NaN  0.210790                 NaN   1.14502                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.6576                 NaN            NaN            NaN  0.204578                 NaN   1.13784                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.6832                 NaN            NaN            NaN  0.203234                 NaN   1.11355                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.5961                 NaN            NaN            NaN  0.211728                 NaN   1.19215                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.8248                 NaN            NaN            NaN  0.179799                 NaN  0.995376                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.7408                 NaN            NaN            NaN  0.191018                 NaN   1.06819                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.7634                 NaN            NaN            NaN  0.189332                 NaN   1.04725                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.7793                 NaN            NaN            NaN  0.182923                 NaN   1.03776                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        99.2248                 NaN            NaN            NaN  0.119255                 NaN  0.655946                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.3834                 NaN            NaN            NaN  0.241816                 NaN   1.37482                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.8250                 NaN            NaN            NaN  0.177592                 NaN  0.997368                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.8580                 NaN            NaN            NaN  0.169515                 NaN  0.972461                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        98.8624                 NaN            NaN            NaN  0.167026                 NaN  0.970541                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.8776                 NaN            NaN            NaN  0.163799                 NaN  0.958580                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.8943                 NaN            NaN            NaN  0.162158                 NaN  0.943552                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.9101                 NaN            NaN            NaN  0.159242                 NaN  0.930656                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        98.9242                 NaN            NaN            NaN  0.155837                 NaN  0.919962                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        98.9384                 NaN            NaN            NaN  0.154424                 NaN  0.907211                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
