|6.6.6
Archiving\03_Data\DeqLP/QFM_m4.5/WD94/WD94_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       iron           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        99.9995       0.480953E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.9836       0.163796E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.9677       0.322854E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.9518       0.481985E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.9359       0.641189E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.9200       0.800464E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.9040       0.959812E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.8881       0.111923                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.8721       0.127873                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.8558       0.144236                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.8394       0.160606                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.8230       0.176984                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.8066       0.193370                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.7902       0.209763                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.7738       0.226164                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.7574       0.242572                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.7410       0.258988                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.7248       0.275166                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.7086       0.291351                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.6925       0.307543                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.6763       0.323743                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.6601       0.339950                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        99.6438       0.356164                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        99.6276       0.372386                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        99.6114       0.388616                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        99.5953       0.404689                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        99.5792       0.420770                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        99.5632       0.436813                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        99.0987       0.441545       0.459774                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        98.3297       0.436715        1.23360                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        97.5598       0.431879        2.00830                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        96.7891       0.427037        2.78387                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        96.0175       0.422190        3.56031                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        95.2899       0.413581        4.29653                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        94.5616       0.404963        5.03348                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        93.8325       0.396337        5.77117                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        93.1027       0.387702        6.50958                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        92.3722       0.379058        7.24872                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        91.6410       0.370405        7.98858                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        90.9091       0.361744        8.72915                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        90.1765       0.353073        9.47044                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        89.4701       0.341514        10.1884                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        89.8525       0.341545        9.80299       0.301562E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        88.6086       0.321906        11.0644       0.507769E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        87.3629       0.302238        12.3277       0.714283E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        86.6555       0.284976        13.0423       0.172016E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        85.9475       0.267700        13.7576       0.272693E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        85.2389       0.250411        14.4733       0.373460E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        84.5298       0.233108        15.1897       0.474314E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        83.8321       0.211522        15.8968       0.595400E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        83.1340       0.189921        16.6044       0.716581E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        82.4354       0.168305        17.3125       0.837859E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        81.7363       0.146674        18.0211       0.959232E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        81.0367       0.125028        18.7302       0.108070                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        80.3366       0.103368        19.4398       0.120226                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        79.6361       0.816925E-001   20.1498       0.132391                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        78.9351       0.600030E-001   20.8603       0.144566                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        78.2338       0.340590E-001   21.5758       0.156361                 NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        77.5321       0.809967E-002   22.2917       0.168164                 NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        76.8742                 NaN   22.9468       0.178949                 NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        76.2308                 NaN   23.5802       0.188986                 NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        75.6025                 NaN   24.1986       0.198902                 NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        74.9736                 NaN   24.8176       0.208827                 NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        74.3441                 NaN   25.4371       0.218763                 NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        73.7141                 NaN   26.0572       0.228708                 NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        73.1004                 NaN   26.6615       0.238080                 NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        72.4862                 NaN   27.2664       0.247461                 NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        71.8714                 NaN   27.8717       0.256850                 NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        71.2562                 NaN   28.4776       0.266249                 NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        70.6404                 NaN   29.0839       0.275656                 NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        500.000        70.0241                 NaN   29.6908       0.285071                 NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        500.000        69.4073                 NaN   30.2982       0.294495                 NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        500.000        68.7901                 NaN   30.9060       0.303928                 NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        500.000        68.1999                 NaN   31.4874       0.312732                 NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        500.000        67.6093                 NaN   32.0692       0.321543                 NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        500.000        67.0182                 NaN   32.6515       0.330362                 NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        500.000        66.4267                 NaN   33.2341       0.339187                 NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        500.000        65.8348                 NaN   33.8172       0.348021                 NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        500.000        65.2424                 NaN   34.4007       0.356861                 NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        500.000        64.6496                 NaN   34.9847       0.365708                 NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        500.000        64.0564                 NaN   35.5690       0.374563                 NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        500.000        63.4886                 NaN   36.1286       0.382856                 NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        500.000        62.9203                 NaN   36.6885       0.391156                 NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        500.000        62.3518                 NaN   37.2488       0.399462                 NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        500.000        61.7828                 NaN   37.8094       0.407773                 NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        500.000        61.2135                 NaN   38.3704       0.416091                 NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        500.000        60.6439                 NaN   38.9317       0.424415                 NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        500.000        60.0739                 NaN   39.4934       0.432744                 NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        500.000        59.5035                 NaN   40.0554       0.441079                 NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        500.000        58.9440                 NaN   40.6048       0.451175                 NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        500.000        58.3841                 NaN   41.1546       0.461277                 NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        500.000        57.8239                 NaN   41.7047       0.471388                 NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        500.000        57.2635                 NaN   42.2550       0.481505                 NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        500.000        56.7027                 NaN   42.8057       0.491630                 NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        500.000        56.1416                 NaN   43.3566       0.501761                 NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        500.000        55.5803                 NaN   43.9078       0.511900                 NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        500.000        55.0186                 NaN   44.4593       0.522045                 NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        500.000        54.5412                 NaN   44.9318       0.527002                 NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        500.000        54.0636                 NaN   45.4045       0.531960                 NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        500.000        53.5858                 NaN   45.8773       0.536920                 NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        500.000        53.1078                 NaN   46.3503       0.541883                 NaN            NaN            NaN            NaN            NaN            NaN
  1676.28        500.000        52.6297                 NaN   46.8235       0.546847                 NaN            NaN            NaN            NaN            NaN            NaN
