|6.6.6
Archiving\03_Data\DeqLP/QFM_m4.5/WD94/WD94_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       iron           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        99.9988       0.118835E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.9595       0.404663E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.9202       0.797531E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.8810       0.119049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.8416       0.158353                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.8023       0.197667                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.7630       0.236989                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.7237       0.276320                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.6843       0.315661                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.6440       0.356012                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.6036       0.396373                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.5633       0.436744                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.5229       0.477124                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.4825       0.517513                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.4421       0.557912                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.4017       0.598319                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.3613       0.638737                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.3214       0.678557                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.2816       0.718387                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.2418       0.758226                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.2019       0.798074                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.1621       0.837931                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        99.1222       0.877797                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        99.0823       0.917673                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        99.0424       0.957557                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        99.0030       0.997049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        98.9634        1.03655                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        98.9241        1.07595                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        98.4231        1.08719       0.489745                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        97.6100        1.07469        1.31532                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        96.7970        1.06219        2.14084                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        95.9840        1.04969        2.96631                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        95.1711        1.03719        3.79172                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        94.4053        1.01551        4.57917                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        93.6397       0.993822        5.36652                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        92.8741       0.972140        6.15377                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        92.1086       0.950461        6.94093                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        91.3432       0.928784        7.72800                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        90.5779       0.907110        8.51497                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        89.8127       0.885439        9.30184                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        89.0476       0.863770        10.0886                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        88.3106       0.835074        10.8543                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        88.7082       0.835288        10.4521       0.440321E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        87.4115       0.786607        11.7945       0.740762E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        86.1152       0.737940        13.1365       0.104112E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        85.3776       0.695443        13.9018       0.251007E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        84.6402       0.652956        14.6670       0.397866E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        83.9030       0.610479        15.4320       0.544689E-001            NaN            NaN            NaN            NaN            NaN            NaN
