|6.6.6
Archiving\03_Data\Deqfrac/QFM_m1.75/T13/T13_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1628.21        2500.00       0.198679E-002   99.1531                 NaN  0.828454       0.164114E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.64        2500.00                 NaN   98.9468                 NaN  0.925658       0.127515                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.06        2500.00                 NaN   98.9448                 NaN  0.916492       0.138693                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.49        2500.00                 NaN   98.9826                 NaN  0.882072       0.135316                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.91        2500.00                 NaN   98.9567                 NaN  0.906689       0.136619                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.34        2500.00                 NaN   99.0127                 NaN  0.857970       0.129337                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.76        2500.00                 NaN   98.8739                 NaN  0.750994       0.375072                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.19        2500.00                 NaN   99.0963                 NaN  0.796826       0.106839                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.61        2500.00                 NaN   99.0406                 NaN  0.959438                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00                 NaN   99.0549                 NaN  0.917168       0.278848E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.47        2500.00                 NaN   99.0420                 NaN  0.834340       0.123654                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.89        2500.00                 NaN   99.0460                 NaN  0.831867       0.122088                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.32        2500.00                 NaN   99.0651                 NaN  0.815581       0.119354                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.74        2500.00                 NaN   99.0716                 NaN  0.809551       0.118821                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.17        2500.00                 NaN   99.0796                 NaN  0.802955       0.117422                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.59        2500.00                 NaN   99.0893                 NaN  0.795075       0.115576                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.02        2500.00                 NaN   99.0968                 NaN  0.789070       0.114132                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
