|6.6.6
Archiving\03_Data\eqfrac/QFM_m2/YM20/YM20_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1580.13        2500.00       0.142309E-001            NaN   99.5668                 NaN  0.418980                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.68        2500.00                 NaN            NaN   99.3322                 NaN  0.611359       0.563952E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.22        2500.00                 NaN            NaN   98.1204                 NaN   1.69829       0.181346                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.77        2500.00                 NaN            NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.31        2500.00                 NaN            NaN   99.8935                 NaN  0.944720E-001  0.119976E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.86        2500.00                 NaN            NaN   99.8481                 NaN  0.137606       0.142529E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.41        2500.00                 NaN            NaN   98.8610                 NaN   1.01656       0.122451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.95        2500.00                 NaN            NaN   99.3638                 NaN  0.570935       0.652762E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.50        2500.00                 NaN            NaN   99.3424                 NaN  0.586171       0.714001E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.04        2500.00                 NaN            NaN   99.6367                 NaN  0.325138       0.382083E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.59        2500.00                 NaN            NaN   99.1407                 NaN  0.768952       0.903066E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.14        2500.00                 NaN            NaN   99.3834                 NaN  0.552244       0.644045E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.68        2500.00                 NaN            NaN   99.3881                 NaN  0.548482       0.634243E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.23        2500.00                 NaN            NaN   99.3934                 NaN  0.543697       0.629311E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.77        2500.00                 NaN            NaN   98.4835                 NaN   1.37321       0.143258                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.32        2500.00                 NaN            NaN  100.0000                 NaN            NaN  0.246789E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.87        2500.00                 NaN            NaN   99.7216                 NaN  0.251010       0.273435E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.41        2500.00                 NaN            NaN   99.4109                 NaN  0.530113       0.590152E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.96        2500.00                 NaN            NaN   99.4158                 NaN  0.521621       0.626015E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.50        2500.00                 NaN            NaN   99.0044                 NaN  0.892891       0.102701                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.05        2500.00                 NaN            NaN   99.8509                 NaN  0.134452       0.146548E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.60        2500.00                 NaN            NaN   99.4282                 NaN  0.516171       0.556336E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.14        2500.00                 NaN            NaN   99.4337                 NaN  0.511038       0.552801E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.69        2500.00                 NaN            NaN   99.4361                 NaN  0.510069       0.538704E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.23        2500.00                 NaN            NaN   99.3803                 NaN  0.560862       0.588069E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.78        2500.00                 NaN            NaN   99.7853                 NaN  0.195002       0.197331E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.33        2500.00                 NaN            NaN   99.1725                 NaN  0.746652       0.808671E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.87        2500.00                 NaN            NaN   99.4546                 NaN  0.493913       0.514658E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.42        2500.00                 NaN            NaN   99.3740                 NaN  0.563630       0.624178E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.97        2500.00                 NaN            NaN   99.9043                 NaN  0.859855E-001  0.973600E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.51        2500.00                 NaN            NaN   99.1047                 NaN  0.817280       0.780604E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.06        2500.00                 NaN            NaN   99.4678                 NaN  0.483826       0.483786E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.60        2500.00                 NaN            NaN   99.3623                 NaN  0.579238       0.584428E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.15        2500.00                 NaN            NaN   99.8414                 NaN  0.143666       0.149340E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.70        2500.00                 NaN            NaN   99.2248                 NaN  0.706730       0.685015E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.24        2500.00                 NaN            NaN   99.4826                 NaN  0.472370       0.450387E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.79        2500.00                 NaN            NaN   99.4805                 NaN  0.476097       0.433838E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.33        2500.00                 NaN            NaN   99.6020                 NaN  0.365373       0.326255E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
