|6.6.6
Archiving\03_Data\eq/QFM_m3.75/KHA22/KHA22_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       mang           Ni             O(HP)          O(HP)          pxmn           Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        99.7738       0.212447       0.138002E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.7737       0.212461       0.138005E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.7737       0.212474       0.138008E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.7737       0.212488       0.138012E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.7737       0.212501       0.138015E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.7737       0.212515       0.138018E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.7737       0.212528       0.138021E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.7737       0.212542       0.138025E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.7736       0.212556       0.138028E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.7736       0.212570       0.138031E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.7736       0.212583       0.138035E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.7736       0.212597       0.138038E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.7736       0.212611       0.138041E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.7736       0.212625       0.138045E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.7736       0.212639       0.138048E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.7735       0.212653       0.138052E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.7735       0.212667       0.138055E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.7735       0.212681       0.138059E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.7735       0.212695       0.138063E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.7735       0.212709       0.138066E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.7735       0.212723       0.138070E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.7735       0.212737       0.138074E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.7734       0.212751       0.138077E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.7734       0.212765       0.138081E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        99.6869       0.212790       0.137081E-001  0.865728E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        98.9421       0.212898       0.128196E-001  0.832157                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        98.1965       0.213005       0.119303E-001   1.57854                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        97.4501       0.213112       0.110401E-001   2.32571                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        96.7030       0.213219       0.101490E-001   3.07368                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        95.9848       0.213322       0.926392E-002   3.79264                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        95.2659       0.213424       0.837798E-002   4.51233                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        94.5612       0.213525       0.747859E-002   5.21778                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        92.4645                 NaN  0.534301E-002   6.97917                 NaN  0.550983                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        91.7928                 NaN  0.445742E-002   7.65153                 NaN  0.551258                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        91.1204                 NaN  0.357110E-002   8.32453                 NaN  0.551531                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        90.4474                 NaN  0.268404E-002   8.99815                 NaN  0.551805                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        89.7737                 NaN  0.179626E-002   9.67239                 NaN  0.552077                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        89.1226                 NaN  0.879094E-003   10.3241                 NaN  0.552341                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        88.4682                 NaN            NaN   10.9688                 NaN  0.552614       0.104385E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        87.8500                 NaN            NaN   11.5742                 NaN  0.552880       0.228946E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        87.2313                 NaN            NaN   12.1802                 NaN  0.553146       0.353629E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        86.6378                 NaN            NaN   12.7616                 NaN  0.553402       0.471817E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        86.0438                 NaN            NaN   13.3435                 NaN  0.553658       0.590115E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        85.4493                 NaN            NaN   13.9259                 NaN  0.553913       0.708523E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        84.8543                 NaN            NaN   14.5088                 NaN  0.554167       0.827041E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        84.2588                 NaN            NaN   15.0922                 NaN  0.554420       0.945668E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        83.6629                 NaN            NaN   15.6760                 NaN  0.554673       0.106440                 NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        83.0664                 NaN            NaN   16.2603                 NaN  0.554924       0.118325                 NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        82.4695                 NaN            NaN   16.8452                 NaN  0.555175       0.130220                 NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        81.9086                 NaN            NaN   17.3948                 NaN  0.555414       0.141138                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        81.3474                 NaN            NaN   17.9449                 NaN  0.555652       0.152065                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        80.7857                 NaN            NaN   18.4954                 NaN  0.555889       0.163001                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        80.2237                 NaN            NaN   19.0463                 NaN  0.556126       0.173947                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        79.6611                 NaN            NaN   19.5976                 NaN  0.556361       0.184902                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        79.0982                 NaN            NaN   20.1493                 NaN  0.556596       0.195866                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        78.5349                 NaN            NaN   20.7015                 NaN  0.556830       0.206839                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        77.9711                 NaN            NaN   21.2540                 NaN  0.557063       0.217821                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        77.4423                 NaN            NaN   21.7724                 NaN  0.557284       0.228082                 NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        76.9131                 NaN            NaN   22.2911                 NaN  0.557504       0.238352                 NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        76.3835                 NaN            NaN   22.8101                 NaN  0.557723       0.248629                 NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        75.8536                 NaN            NaN   23.3295                 NaN  0.557941       0.258915                 NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        75.3234                 NaN            NaN   23.8492                 NaN  0.558159       0.269208                 NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        74.7928                 NaN            NaN   24.3693                 NaN  0.558375       0.279508                 NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        74.2618                 NaN            NaN   24.8897                 NaN  0.558591       0.289817                 NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        73.7306                 NaN            NaN   25.4105                 NaN  0.558806       0.300133                 NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        73.2310                 NaN            NaN   25.9007                 NaN  0.559008       0.309321                 NaN            NaN            NaN            NaN            NaN            NaN
