|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.75/EETA/EETA_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             Sp(TH)         O(HP)          San(TH)        ilm            q             
  1423.08        500.000        99.9909       0.908478E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.02        500.000        99.4657       0.260500       0.273818                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.96        500.000        99.4035       0.213209       0.383245                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.90        500.000        99.4076       0.380551       0.211871                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1418.84        500.000        99.4012       0.213915       0.384907                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.78        500.000        99.4225       0.206452       0.371035                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1416.72        500.000        99.4162       0.208662       0.375173                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1415.66        500.000        99.1179       0.404137       0.344406                 NaN  0.133518                 NaN            NaN            NaN            NaN            NaN
  1414.60        500.000        98.4100       0.665344       0.482320                 NaN  0.442304                 NaN            NaN            NaN            NaN            NaN
  1413.54        500.000        99.6973       0.892006E-001  0.128279                 NaN  0.840468E-001  0.118924E-002            NaN            NaN            NaN            NaN
  1412.48        500.000        97.3119       0.814405        1.12613                 NaN  0.747601                 NaN            NaN            NaN            NaN            NaN
  1411.42        500.000        98.5114       0.623023       0.451595                 NaN  0.413986                 NaN            NaN            NaN            NaN            NaN
  1410.36        500.000        98.5301       0.615407       0.445853                 NaN  0.408654                 NaN            NaN            NaN            NaN            NaN
  1409.30        500.000        98.5484       0.607972       0.440142                 NaN  0.403511                 NaN            NaN            NaN            NaN            NaN
  1408.24        500.000        98.5667       0.434112       0.600811                 NaN  0.398341                 NaN            NaN            NaN            NaN            NaN
  1407.17        500.000        98.5837       0.593156       0.429440                 NaN  0.393719                 NaN  0.149343E-004            NaN            NaN            NaN
  1406.11        500.000        98.7723       0.583742                 NaN            NaN  0.379893                 NaN  0.264016                 NaN            NaN            NaN
  1405.05        500.000        98.4624       0.349539       0.761979                 NaN  0.426070                 NaN            NaN            NaN            NaN            NaN
  1403.99        500.000        98.6380       0.430067       0.496937                 NaN  0.385338                 NaN  0.496438E-001            NaN            NaN            NaN
  1402.93        500.000        98.6592       0.449799       0.381130                 NaN  0.389452                 NaN  0.120402                 NaN            NaN            NaN
  1401.87        500.000        98.6750       0.445284       0.373292                 NaN  0.385026                 NaN  0.121415                 NaN            NaN            NaN
  1400.81        500.000        98.6906       0.365204       0.441232                 NaN  0.380677                 NaN  0.122248                 NaN            NaN            NaN
  1399.75        500.000        98.7054       0.355455       0.438853                 NaN  0.376810                 NaN  0.123478                 NaN            NaN            NaN
  1398.69        500.000        98.7244       0.349012       0.432098                 NaN  0.371255                 NaN  0.123275                 NaN            NaN            NaN
  1397.63        500.000        98.7376       0.429326       0.340649                 NaN  0.367703                 NaN  0.124675                 NaN            NaN            NaN
  1396.57        500.000        98.7516       0.426043       0.332562                 NaN  0.363961                 NaN  0.125833                 NaN            NaN            NaN
  1395.51        500.000        98.7685       0.325464       0.420967                 NaN  0.359095                 NaN  0.125981                 NaN            NaN            NaN
  1394.45        500.000        97.6548       0.808191       0.602561                 NaN  0.685610                 NaN  0.248816                 NaN            NaN            NaN
  1393.39        500.000        99.8263       0.596438E-001  0.457762E-001            NaN  0.504019E-001            NaN  0.178758E-001            NaN            NaN            NaN
  1392.33        500.000        98.9218       0.373113       0.272196                 NaN  0.315272                 NaN  0.117644                 NaN            NaN            NaN
  1391.27        500.000        98.8265       0.297493       0.405501                 NaN  0.342642                 NaN  0.127907                 NaN            NaN            NaN
  1390.21        500.000        98.8307       0.406872       0.287501                 NaN  0.342156                 NaN  0.132732                 NaN            NaN            NaN
  1389.15        500.000        98.8523       0.284658       0.399388                 NaN  0.335241                 NaN  0.128440                 NaN            NaN            NaN
  1388.09        500.000        98.8601       0.397977       0.276506                 NaN  0.333519                 NaN  0.131870                 NaN            NaN            NaN
  1387.03        500.000        98.8754       0.269535       0.393911                 NaN  0.329220                 NaN  0.131934                 NaN            NaN            NaN
  1385.97        500.000        98.8860       0.262326       0.392220                 NaN  0.326382                 NaN  0.133063                 NaN            NaN            NaN
  1384.91        500.000        98.8996       0.255811       0.388677                 NaN  0.322432                 NaN  0.133490                 NaN            NaN            NaN
  1383.85        500.000        98.9010       0.251780       0.389646                 NaN  0.322479                 NaN  0.135123                 NaN            NaN            NaN
  1382.79        500.000        98.9231       0.244993       0.380836                 NaN  0.316231                 NaN  0.134802                 NaN            NaN            NaN
  1381.73        500.000        98.9413       0.234040       0.378914                 NaN  0.310489                 NaN  0.135300                 NaN            NaN            NaN
  1380.67        500.000        98.9487       0.376865       0.230101                 NaN  0.308456                 NaN  0.135878                 NaN            NaN            NaN
  1379.61        500.000        98.9552       0.223748       0.376200                 NaN  0.307040                 NaN  0.137854                 NaN            NaN            NaN
  1378.55        500.000        98.9666       0.221686       0.371940                 NaN  0.303432                 NaN  0.136344                 NaN            NaN            NaN
  1377.48        500.000        98.9777       0.213829       0.369890                 NaN  0.300512                 NaN  0.138098                 NaN            NaN            NaN
  1376.42        500.000        98.9888       0.367455       0.207698                 NaN  0.297409                 NaN  0.138604                 NaN            NaN            NaN
  1375.36        500.000        98.9976       0.366002       0.201068                 NaN  0.294921                 NaN  0.140399                 NaN            NaN            NaN
  1374.30        500.000        99.0089       0.362213       0.199057                 NaN  0.291449                 NaN  0.138413                 NaN            NaN            NaN
  1373.24        500.000        99.0180       0.360485       0.192348                 NaN  0.288971                 NaN  0.140205                 NaN            NaN            NaN
  1372.18        500.000        99.0272       0.187212       0.358369                 NaN  0.286383                 NaN  0.140829                 NaN            NaN            NaN
  1371.12        500.000        99.0383       0.355553       0.182065                 NaN  0.283130                 NaN  0.140983                 NaN            NaN            NaN
  1370.06        500.000        99.0460       0.160798       0.359204                 NaN  0.282234                 NaN  0.151723                 NaN            NaN            NaN
  1369.00        500.000        99.0536       0.346889       0.191123                 NaN  0.277371                 NaN  0.131002                 NaN            NaN            NaN
  1367.94        500.000        99.0662       0.348836       0.168041                 NaN  0.275065                 NaN  0.141872                 NaN            NaN            NaN
  1366.88        500.000        99.0751       0.347459       0.162725                 NaN  0.272465                 NaN  0.142270                 NaN            NaN            NaN
  1365.82        500.000        99.0824       0.345689       0.158279                 NaN  0.270508                 NaN  0.143167                 NaN            NaN            NaN
  1364.76        500.000        99.0927       0.154815       0.342477                 NaN  0.267387                 NaN  0.142655                 NaN            NaN            NaN
  1363.70        500.000        99.1008       0.340490       0.150236                 NaN  0.265246                 NaN  0.143269                 NaN            NaN            NaN
  1362.64        500.000        99.1099       0.145104       0.339117                 NaN  0.262337                 NaN  0.143505                 NaN            NaN            NaN
  1361.58        500.000        99.1166       0.337190       0.142451                 NaN  0.260382                 NaN  0.143333                 NaN            NaN            NaN
  1360.52        500.000        99.1256       0.136746       0.335286                 NaN  0.258034                 NaN  0.144285                 NaN            NaN            NaN
  1359.46        500.000        99.1348       0.133693       0.332968                 NaN  0.254998                 NaN  0.143581                 NaN            NaN            NaN
  1358.40        500.000        99.4174       0.234700       0.718860E-001            NaN  0.173069                 NaN  0.102934                 NaN            NaN            NaN
  1357.34        500.000        98.8438       0.157502       0.435899                 NaN  0.344248                 NaN  0.218524                 NaN            NaN            NaN
  1356.28        500.000        99.1544       0.139427       0.339155                 NaN  0.246400                 NaN  0.120598                 NaN            NaN            NaN
  1355.22        500.000        99.1503       0.331820       0.120141                 NaN  0.250276                 NaN  0.147500                 NaN            NaN            NaN
  1354.16        500.000        99.2281       0.301752       0.109611                 NaN  0.227168                 NaN  0.133343                 NaN            NaN            NaN
  1353.10        500.000        99.1790       0.322051       0.113121                 NaN  0.241995                 NaN  0.143807                 NaN            NaN            NaN
  1352.04        500.000        99.1874       0.108552       0.321024                 NaN  0.239408                 NaN  0.143623                 NaN            NaN            NaN
  1350.98        500.000        99.1945       0.105065       0.319294                 NaN  0.237347                 NaN  0.143839                 NaN            NaN            NaN
  1349.92        500.000        99.2008       0.318531       0.101051                 NaN  0.235473                 NaN  0.144141                 NaN            NaN            NaN
  1348.86        500.000        99.2065       0.315870       0.100467                 NaN  0.233581                 NaN  0.143552                 NaN            NaN            NaN
  1347.80        500.000        99.2169       0.313183       0.964917E-001            NaN  0.230562                 NaN  0.142839                 NaN            NaN            NaN
  1346.73        500.000        99.2215       0.312070       0.928832E-001            NaN  0.229482                 NaN  0.144096                 NaN            NaN            NaN
  1345.67        500.000        99.2300       0.898780E-001  0.311240                 NaN  0.226408                 NaN  0.142509                 NaN            NaN            NaN
  1344.61        500.000        99.2373       0.608976E-001  0.317666                 NaN  0.226306                 NaN  0.157848                 NaN            NaN            NaN
  1343.55        500.000        99.2401       0.298625       0.113012                 NaN  0.221566                 NaN  0.126691                 NaN            NaN            NaN
  1342.49        500.000        99.2475       0.827305E-001  0.305855                 NaN  0.221441                 NaN  0.142455                 NaN            NaN            NaN
  1341.43        500.000        99.2558       0.302889       0.831485E-001            NaN  0.218294                 NaN  0.139852                 NaN            NaN            NaN
  1340.37        500.000        99.2321       0.246363       0.228939                 NaN  0.217461                 NaN  0.751499E-001            NaN            NaN            NaN
  1339.31        500.000        99.2817       0.328722                 NaN            NaN  0.214933                 NaN  0.174637                 NaN            NaN            NaN
  1338.25        500.000        99.2747       0.301389       0.675832E-001            NaN  0.213218                 NaN  0.143159                 NaN            NaN            NaN
  1337.19        500.000        99.2917       0.501899E-002  0.324806                 NaN  0.211167                 NaN  0.167296                 NaN            NaN            NaN
  1336.13        500.000        99.2853       0.698459E-001  0.296433                 NaN  0.209497                 NaN  0.138875                 NaN            NaN            NaN
  1335.07        500.000        99.2914       0.294104       0.694116E-001            NaN  0.207472                 NaN  0.137603                 NaN            NaN            NaN
  1334.01        500.000        99.2943       0.680694E-001  0.293351                 NaN  0.206758                 NaN  0.137525                 NaN            NaN            NaN
  1332.95        500.000        99.3058       0.289954       0.651074E-001            NaN  0.202895                 NaN  0.136198                 NaN            NaN            NaN
  1331.89        500.000        99.3079       0.289833       0.639972E-001            NaN  0.202305                 NaN  0.135928                 NaN            NaN            NaN
  1330.83        500.000        99.3131       0.288230       0.635802E-001            NaN  0.200569                 NaN  0.134569                 NaN            NaN            NaN
  1329.77        500.000        99.3192       0.286214       0.619971E-001            NaN  0.198629                 NaN  0.133978                 NaN            NaN            NaN
  1328.71        500.000        99.3243       0.285284       0.604143E-001            NaN  0.196937                 NaN  0.133108                 NaN            NaN            NaN
  1327.65        500.000        99.3230       0.286456       0.601585E-001            NaN  0.197593                 NaN  0.132786                 NaN            NaN            NaN
  1326.59        500.000        99.3429       0.280033       0.549897E-001            NaN  0.190926                 NaN  0.131107                 NaN            NaN            NaN
  1325.53        500.000        99.3407       0.279666       0.569702E-001            NaN  0.191851                 NaN  0.130814                 NaN            NaN            NaN
  1324.47        500.000        99.3453       0.278471       0.566829E-001            NaN  0.190171                 NaN  0.129382                 NaN            NaN            NaN
  1323.41        500.000        99.3504       0.567681E-001  0.276401                 NaN  0.188450                 NaN  0.127940                 NaN            NaN            NaN
  1322.35        500.000        99.3564       0.418177E-001  0.279744                 NaN  0.187468                 NaN  0.134608                 NaN            NaN            NaN
