|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.75/EETA/EETA_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             Sp(TH)         O(HP)          San(TH)        ilm            q             
  1423.08        500.000        99.9924       0.760995E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.02        500.000        99.5493       0.221250       0.229452                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.96        500.000        99.4960       0.178582       0.325380                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.90        500.000        99.4997       0.322970       0.177368                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1418.84        500.000        99.4945       0.178979       0.326507                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.78        500.000        99.5128       0.172637       0.314600                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1416.72        500.000        99.5076       0.174394       0.317972                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1415.66        500.000        99.2322       0.342440       0.287740                 NaN  0.137608                 NaN            NaN            NaN            NaN            NaN
  1414.60        500.000        98.5797       0.555677       0.408613                 NaN  0.455973                 NaN            NaN            NaN            NaN            NaN
  1413.54        500.000        99.7303       0.754461E-001  0.106942                 NaN  0.865209E-001  0.758367E-003            NaN            NaN            NaN            NaN
  1412.48        500.000        97.5989       0.689844       0.940126                 NaN  0.771171                 NaN            NaN            NaN            NaN            NaN
  1411.42        500.000        98.6729       0.519016       0.381760                 NaN  0.426345                 NaN            NaN            NaN            NaN            NaN
  1410.36        500.000        98.6904       0.512221       0.376647                 NaN  0.420714                 NaN            NaN            NaN            NaN            NaN
  1409.30        500.000        98.7076       0.505587       0.371541                 NaN  0.415280                 NaN            NaN            NaN            NaN            NaN
  1408.24        500.000        98.7248       0.366197       0.499188                 NaN  0.409818                 NaN            NaN            NaN            NaN            NaN
  1407.17        500.000        98.7406       0.492435       0.361999                 NaN  0.404924                 NaN  0.115713E-004            NaN            NaN            NaN
  1406.11        500.000        98.9139       0.491424                 NaN            NaN  0.390442                 NaN  0.204260                 NaN            NaN            NaN
  1405.05        500.000        98.6365       0.294179       0.631490                 NaN  0.437861                 NaN            NaN            NaN            NaN            NaN
  1403.99        500.000        98.7930       0.361586       0.411323                 NaN  0.395767                 NaN  0.382853E-001            NaN            NaN            NaN
  1402.93        500.000        98.8144       0.377874       0.315186                 NaN  0.399803                 NaN  0.927230E-001            NaN            NaN            NaN
  1401.87        500.000        98.8294       0.373766       0.308388                 NaN  0.395068                 NaN  0.933317E-001            NaN            NaN            NaN
  1400.81        500.000        98.8443       0.301395       0.370032                 NaN  0.390413                 NaN  0.938229E-001            NaN            NaN            NaN
  1399.75        500.000        98.8583       0.293071       0.367722                 NaN  0.386255                 NaN  0.946084E-001            NaN            NaN            NaN
