|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.25/Y98/Y98_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          O(HP)          an             Sp(TH)         San(TH)        ilm            q             
  1464.74        2500.00        83.4195                 NaN   10.6343        5.91954                 NaN  0.267288E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1463.58        2500.00        99.9988                 NaN  0.823863E-003  0.361108E-003            NaN  0.430114E-004            NaN            NaN            NaN            NaN            NaN            NaN
  1462.41        2500.00        98.3385                 NaN   1.07472       0.546109                 NaN  0.406465E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1461.25        2500.00        99.1768                 NaN  0.531412       0.273054                 NaN  0.187219E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1460.08        2500.00        99.1785                 NaN  0.529804       0.275536                 NaN  0.162063E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1458.92        2500.00        99.1859                 NaN  0.239386       0.534515                 NaN  0.402306E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1457.75        2500.00        99.1816                 NaN  0.522107       0.296259                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.59        2500.00        99.1887                 NaN  0.522447       0.275900                 NaN  0.129954E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1455.42        2500.00        99.1599                 NaN  0.295427       0.538733                 NaN  0.594924E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1454.26        2500.00        99.2263                 NaN  0.502998       0.245793                 NaN  0.249573E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1453.09        2500.00        99.1985                 NaN  0.516489       0.270848                 NaN  0.141582E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1451.93        2500.00        99.2061                 NaN  0.520804       0.235873                 NaN  0.372039E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1450.76        2500.00        99.2059                 NaN  0.263224       0.513461                 NaN  0.174550E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1449.60        2500.00        99.2059                 NaN  0.287207       0.506843                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.43        2500.00        99.2092                 NaN  0.506160       0.281170                 NaN  0.348445E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1447.27        2500.00        99.2118                 NaN  0.279508       0.505369                 NaN  0.332466E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1446.10        2500.00        99.1512                 NaN  0.291415       0.546951                 NaN  0.104093E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1444.94        2500.00        99.9432                 NaN  0.369478E-001  0.177375E-001            NaN  0.210067E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1443.77        2500.00        98.5620                 NaN  0.495736       0.926588                 NaN  0.156934E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1442.61        2500.00        99.2238                 NaN  0.499680       0.268198                 NaN  0.835262E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1441.44        2500.00        99.2264                 NaN  0.267389       0.498644                 NaN  0.760950E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1440.28        2500.00        98.3961                 NaN  0.615055       0.398659                 NaN  0.189387                 NaN  0.400837                 NaN            NaN            NaN            NaN
  1439.12        2500.00        98.0635                 NaN  0.445579       0.657511                 NaN  0.266944                 NaN  0.566498                 NaN            NaN            NaN            NaN
  1437.95        2500.00        98.0874                 NaN  0.651460       0.433942                 NaN  0.267415                 NaN  0.559744                 NaN            NaN            NaN            NaN
  1436.79        2500.00        98.1138                 NaN  0.644442       0.422494                 NaN  0.267091                 NaN  0.552146                 NaN            NaN            NaN            NaN
  1435.62        2500.00        98.1302                 NaN  0.413249       0.638693                 NaN  0.269288                 NaN  0.548606                 NaN            NaN            NaN            NaN
  1434.46        2500.00        98.1697                 NaN  0.398612       0.630744                 NaN  0.265331                 NaN  0.535590                 NaN            NaN            NaN            NaN
