|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m2.75/YM20/YM20_3.tab                   
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1583.33        500.000       0.136510E-002   99.5412       0.426354                 NaN  0.310946E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.87        500.000                 NaN   99.2435       0.756518                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.41        500.000                 NaN   99.2548       0.686968                 NaN  0.581854E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.94        500.000                 NaN   99.2581       0.741866                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.48        500.000                 NaN   99.2661       0.733880                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.02        500.000                 NaN   99.2708       0.703325                 NaN  0.258410E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.56        500.000                 NaN   99.2786       0.721369                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.10        500.000                 NaN   99.2852       0.708935                 NaN  0.591303E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.63        500.000                 NaN   99.2616       0.708201                 NaN  0.301663E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.17        500.000                 NaN   99.3290       0.641101                 NaN  0.299016E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.71        500.000                 NaN   99.3079       0.662146                 NaN  0.299806E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.25        500.000                 NaN   99.3146       0.656507                 NaN  0.289113E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.79        500.000                 NaN   99.3190       0.652848                 NaN  0.281530E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.32        500.000                 NaN   99.3253       0.647012                 NaN  0.277101E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.86        500.000                 NaN   97.8912        2.10304       0.204945E-004  0.572940E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
