|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m2.75/YM20/YM20_1.tab                   
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1583.33        500.000       0.212560E-002   99.4753       0.486196                 NaN  0.363313E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.87        500.000                 NaN   99.1373       0.862655                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.41        500.000                 NaN   99.1486       0.783428                 NaN  0.679880E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.94        500.000                 NaN   99.1538       0.846211                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.48        500.000                 NaN   99.1628       0.837180                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.02        500.000                 NaN   99.1672       0.802578                 NaN  0.302214E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.56        500.000                 NaN   99.1767       0.823313                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.10        500.000                 NaN   99.1838       0.809272                 NaN  0.691779E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.63        500.000                 NaN   99.1561       0.808577                 NaN  0.353197E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.17        500.000                 NaN   99.2327       0.732320                 NaN  0.350231E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.71        500.000                 NaN   99.2084       0.756452                 NaN  0.351206E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.25        500.000                 NaN   99.2159       0.750211                 NaN  0.338804E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.79        500.000                 NaN   99.2208       0.746153                 NaN  0.330022E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.32        500.000                 NaN   99.2277       0.739773                 NaN  0.325026E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.86        500.000                 NaN   97.5878        2.40524       0.239088E-004  0.691339E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.94        500.000                 NaN   99.8891       0.110859                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.48        500.000                 NaN   99.2715       0.712157                 NaN  0.163903E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.01        500.000                 NaN   99.2607       0.708550                 NaN  0.307458E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.55        500.000                 NaN   99.2673       0.704565                 NaN  0.280977E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.09        500.000                 NaN   99.2570       0.717724                 NaN  0.253114E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.63        500.000                 NaN   99.2967       0.678662                 NaN  0.246689E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.17        500.000                 NaN   99.2867       0.687276                 NaN  0.260315E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.70        500.000                 NaN   99.2916       0.684471                 NaN  0.238977E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.24        500.000                 NaN   99.2971       0.680115                 NaN  0.228047E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.78        500.000                 NaN   99.3013       0.677299                 NaN  0.214122E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.32        500.000                 NaN   99.3083       0.671206                 NaN  0.205336E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000                 NaN   99.3115       0.667559                 NaN  0.209167E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.39        500.000                 NaN   99.3189       0.663079                 NaN  0.180029E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.93        500.000                 NaN   99.3246       0.656866                 NaN  0.184871E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.47        500.000                 NaN   99.3291       0.653747                 NaN  0.171864E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.01        500.000                 NaN   99.3334       0.650973                 NaN  0.156131E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.55        500.000                 NaN   99.2739       0.712616                 NaN  0.134886E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.08        500.000                 NaN   99.5220       0.467250                 NaN  0.107215E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.62        500.000                 NaN   99.2299       0.755267                 NaN  0.147851E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.16        500.000                 NaN   99.0007       0.979928                 NaN  0.193473E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.70        500.000                 NaN   99.6990       0.296476                 NaN  0.450044E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.24        500.000                 NaN   99.3747       0.615385                 NaN  0.993166E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.77        500.000                 NaN   99.3648       0.626483                 NaN  0.867070E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.31        500.000                 NaN   99.3711       0.620433                 NaN  0.843814E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.85        500.000                 NaN   99.3271       0.663759                 NaN  0.915881E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.39        500.000                 NaN   99.4242       0.572631                 NaN  0.321100E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.93        500.000                 NaN   99.3847       0.609271                 NaN  0.605043E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.46        500.000                 NaN   99.3874       0.604494                 NaN  0.811978E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.00        500.000                 NaN   99.3913       0.602600                 NaN  0.611780E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.54        500.000                 NaN   99.3941       0.605931                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.08        500.000                 NaN   99.4001       0.587585                 NaN  0.123447E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.62        500.000                 NaN   99.4034       0.596577                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.15        500.000                 NaN   99.4066       0.593366                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.69        500.000                 NaN   99.4101       0.588601                 NaN  0.129506E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.23        500.000                 NaN   99.4147       0.584997                 NaN  0.277906E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        500.000                 NaN   98.9466        1.02935                 NaN  0.240554E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.31        500.000                 NaN   99.9013       0.905445E-001            NaN  0.812678E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.85        500.000                 NaN   99.4686       0.506225                 NaN  0.251343E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.38        500.000                 NaN   99.3890       0.610994                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.92        500.000                 NaN   99.4382       0.520370                 NaN  0.413971E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.46        500.000                 NaN   99.4376       0.562418                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.00        500.000                 NaN   99.4378       0.562203                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.54        500.000                 NaN   99.4415       0.558514                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.07        500.000                 NaN   99.4438       0.556157                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.61        500.000                 NaN   99.3253       0.674698                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.15        500.000                 NaN   99.5736       0.426427                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.69        500.000                 NaN   99.4546       0.545406                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.23        500.000                 NaN   99.4282       0.431445                 NaN            NaN  0.140309                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.76        500.000                 NaN   99.1956       0.329666E-001            NaN            NaN  0.771466                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.30        500.000                 NaN   99.5698                 NaN            NaN            NaN  0.430151                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.84        500.000                 NaN   99.1587       0.789733E-001            NaN            NaN  0.762372                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.38        500.000                 NaN   99.3058                 NaN            NaN            NaN  0.694200                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.92        500.000                 NaN   99.3056                 NaN            NaN  0.479429E-005  0.694438                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.45        500.000                 NaN   99.3030                 NaN            NaN            NaN  0.697032                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.99        500.000                 NaN   99.2987                 NaN            NaN  0.206627E-005  0.701327                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.53        500.000                 NaN   99.2976                 NaN            NaN            NaN  0.702374                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.07        500.000                 NaN   99.0857                 NaN            NaN            NaN  0.914337                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.61        500.000                 NaN   99.8315       0.168463                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.14        500.000                 NaN   98.6540                 NaN            NaN            NaN  0.472320       0.873706                 NaN            NaN            NaN            NaN            NaN
  1473.68        500.000                 NaN   98.8164                 NaN            NaN            NaN  0.717924       0.465686                 NaN            NaN            NaN            NaN            NaN
  1472.22        500.000                 NaN   98.8285                 NaN            NaN            NaN  0.459265       0.712195                 NaN            NaN            NaN            NaN            NaN
  1470.76        500.000                 NaN   98.8407                 NaN            NaN            NaN  0.454489       0.704845                 NaN            NaN            NaN            NaN            NaN
  1469.30        500.000                 NaN   98.8543                 NaN            NaN            NaN  0.449089       0.696621                 NaN            NaN            NaN            NaN            NaN
  1467.83        500.000                 NaN   98.8657                 NaN            NaN            NaN  0.443704       0.690594                 NaN            NaN            NaN            NaN            NaN
  1466.37        500.000                 NaN   98.8766                 NaN            NaN            NaN  0.438405       0.685021                 NaN            NaN            NaN            NaN            NaN
  1464.91        500.000                 NaN   98.8875                 NaN            NaN            NaN  0.433239       0.679290                 NaN            NaN            NaN            NaN            NaN
  1463.45        500.000                 NaN   98.8975                 NaN            NaN            NaN  0.427767       0.674689                 NaN            NaN            NaN            NaN            NaN
  1461.99        500.000                 NaN   98.9125                 NaN            NaN            NaN  0.665299       0.422226                 NaN            NaN            NaN            NaN            NaN
  1460.52        500.000                 NaN   98.9206                 NaN            NaN            NaN  0.660964       0.418475                 NaN            NaN            NaN            NaN            NaN
  1459.06        500.000                 NaN   98.9323                 NaN            NaN            NaN  0.413351       0.654396                 NaN            NaN            NaN            NaN            NaN
  1457.60        500.000                 NaN   98.9414                 NaN            NaN            NaN  0.409239       0.649405                 NaN            NaN            NaN            NaN            NaN
  1456.14        500.000                 NaN   98.9535                 NaN            NaN            NaN  0.402907       0.643628                 NaN            NaN            NaN            NaN            NaN
  1454.68        500.000                 NaN   98.9629                 NaN            NaN            NaN  0.637802       0.399311                 NaN            NaN            NaN            NaN            NaN
  1453.21        500.000                 NaN   98.9723                 NaN            NaN            NaN  0.394354       0.633308                 NaN            NaN            NaN            NaN            NaN
  1451.75        500.000                 NaN   98.9804                 NaN            NaN            NaN  0.390566       0.629029                 NaN            NaN            NaN            NaN            NaN
  1450.29        500.000                 NaN   98.9918                 NaN            NaN            NaN  0.622442       0.385748                 NaN            NaN            NaN            NaN            NaN
  1448.83        500.000                 NaN   99.0008                 NaN            NaN            NaN  0.381413       0.617776                 NaN            NaN            NaN            NaN            NaN
  1447.37        500.000                 NaN   96.7400                 NaN            NaN            NaN   1.00307        1.36941                 NaN  0.887470                 NaN            NaN            NaN
  1445.90        500.000                 NaN   96.5631                 NaN            NaN            NaN   1.44803        1.02036                 NaN  0.968534                 NaN            NaN            NaN
  1444.44        500.000                 NaN   96.6564                 NaN            NaN            NaN  0.995416        1.40568                 NaN  0.942530                 NaN            NaN            NaN
  1442.98        500.000                 NaN   96.7475                 NaN            NaN            NaN   1.36607       0.969360                 NaN  0.917041                 NaN            NaN            NaN
  1441.52        500.000                 NaN   96.8320                 NaN            NaN            NaN   1.32927       0.945150                 NaN  0.893550                 NaN            NaN            NaN
  1440.06        500.000                 NaN   96.9108                 NaN            NaN            NaN  0.922042        1.29582                 NaN  0.871371                 NaN            NaN            NaN
  1438.59        500.000                 NaN   96.9917                 NaN            NaN            NaN   1.26024       0.898690                 NaN  0.849379                 NaN            NaN            NaN
  1437.13        500.000                 NaN   97.0627                 NaN            NaN            NaN  0.877769        1.22998                 NaN  0.829558                 NaN            NaN            NaN
  1435.67        500.000                 NaN   97.1361                 NaN            NaN            NaN  0.857093        1.19789                 NaN  0.808951                 NaN            NaN            NaN
  1434.21        500.000                 NaN   97.2074                 NaN            NaN            NaN  0.836262        1.16738                 NaN  0.788962                 NaN            NaN            NaN
  1432.75        500.000                 NaN   97.2672                 NaN            NaN            NaN   1.14138       0.818908                 NaN  0.772509                 NaN            NaN            NaN
  1431.28        500.000                 NaN   97.3308                 NaN            NaN            NaN  0.800398        1.11421                 NaN  0.754612                 NaN            NaN            NaN
  1429.82        500.000                 NaN   97.3935                 NaN            NaN            NaN   1.08722       0.782527                 NaN  0.736794                 NaN            NaN            NaN
  1428.36        500.000                 NaN   97.4487                 NaN            NaN            NaN   1.06233       0.767633                 NaN  0.721290                 NaN            NaN            NaN
  1426.90        500.000                 NaN   97.5064                 NaN            NaN            NaN  0.749493        1.03905                 NaN  0.705028                 NaN            NaN            NaN
  1425.44        500.000                 NaN   97.5577                 NaN            NaN            NaN   1.01722       0.734419                 NaN  0.690642                 NaN            NaN            NaN
  1423.97        500.000                 NaN   97.6081                 NaN            NaN            NaN  0.719542       0.995880                 NaN  0.676437                 NaN            NaN            NaN
  1422.51        500.000                 NaN   97.6576                 NaN            NaN            NaN  0.975109       0.704945                 NaN  0.662394                 NaN            NaN            NaN
  1421.05        500.000                 NaN   97.7057                 NaN            NaN            NaN  0.954926       0.690544                 NaN  0.648827                 NaN            NaN            NaN
  1419.59        500.000                 NaN   97.7506                 NaN            NaN            NaN  0.936213       0.676715                 NaN  0.636439                 NaN            NaN            NaN
  1418.13        500.000                 NaN   97.8984                 NaN            NaN            NaN  0.633723       0.873184                 NaN  0.594651                 NaN            NaN            NaN
  1416.66        500.000                 NaN   97.7279                 NaN            NaN            NaN  0.684792       0.945583                 NaN  0.641732                 NaN            NaN            NaN
  1415.20        500.000                 NaN   97.8784                 NaN            NaN            NaN  0.639303       0.882440                 NaN  0.599833                 NaN            NaN            NaN
  1413.74        500.000                 NaN   97.9206                 NaN            NaN            NaN  0.626457       0.865177                 NaN  0.587805                 NaN            NaN            NaN
  1412.28        500.000                 NaN   97.9583                 NaN            NaN            NaN  0.615241       0.849506                 NaN  0.576924                 NaN            NaN            NaN
  1410.82        500.000                 NaN   97.9952                 NaN            NaN            NaN  0.604138       0.834184                 NaN  0.566464                 NaN            NaN            NaN
  1409.35        500.000                 NaN   98.0328                 NaN            NaN            NaN  0.818548       0.592848                 NaN  0.555843                 NaN            NaN            NaN
  1407.89        500.000                 NaN   98.0643                 NaN            NaN            NaN  0.805726       0.583183                 NaN  0.546812                 NaN            NaN            NaN
  1406.43        500.000                 NaN   98.0992                 NaN            NaN            NaN  0.572744       0.791401                 NaN  0.536669                 NaN            NaN            NaN
