|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.75/TIS/TIS_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        an             O(HP)          San(TH)        ilm            q             
  1413.46        500.000       0.232570E-001   87.5409        4.89855        7.53730                 NaN            NaN            NaN            NaN            NaN
  1412.42        500.000       0.612530E-004   99.9248       0.286402E-001  0.465252E-001            NaN            NaN            NaN            NaN            NaN
  1411.39        500.000       0.839376E-003   98.9963       0.384884       0.617996                 NaN            NaN            NaN            NaN            NaN
  1410.35        500.000       0.418780E-003   99.4647       0.205065       0.329858                 NaN            NaN            NaN            NaN            NaN
  1409.32        500.000       0.422843E-003   99.4535       0.209129       0.336902                 NaN            NaN            NaN            NaN            NaN
  1408.28        500.000       0.370025E-003   99.4829       0.318960       0.197807                 NaN            NaN            NaN            NaN            NaN
  1407.24        500.000       0.361661E-003   99.4728       0.324954       0.201861                 NaN            NaN            NaN            NaN            NaN
  1406.21        500.000       0.346702E-003   99.4745       0.324106       0.201001                 NaN            NaN            NaN            NaN            NaN
  1405.17        500.000       0.331576E-003   99.4724       0.325454       0.201813                 NaN            NaN            NaN            NaN            NaN
  1404.13        500.000                 NaN   98.7901       0.475945       0.381730       0.352251                 NaN            NaN            NaN            NaN
  1403.10        500.000       0.329681E-002   98.7242       0.507283       0.377836       0.387371                 NaN            NaN            NaN            NaN
  1402.06        500.000                 NaN   98.7351       0.382829       0.498091       0.383981                 NaN            NaN            NaN            NaN
  1401.03        500.000                 NaN   98.7471       0.379433       0.493407       0.380069                 NaN            NaN            NaN            NaN
  1399.99        500.000       0.190052E-002   98.7593       0.370471       0.491313       0.377052                 NaN            NaN            NaN            NaN
  1398.95        500.000                 NaN   98.7818       0.480244       0.368956       0.368953                 NaN            NaN            NaN            NaN
  1397.92        500.000                 NaN   98.7892       0.367072       0.476761       0.366937                 NaN            NaN            NaN            NaN
  1396.88        500.000                 NaN   98.8024       0.471777       0.363059       0.362746                 NaN            NaN            NaN            NaN
  1395.84        500.000                 NaN   99.4656       0.210067       0.162026       0.162281                 NaN            NaN            NaN            NaN
  1394.81        500.000                 NaN   98.1739       0.554206       0.719657       0.552238                 NaN            NaN            NaN            NaN
  1393.77        500.000                 NaN   98.8397       0.457263       0.351957       0.351063                 NaN            NaN            NaN            NaN
  1392.74        500.000                 NaN   98.8532       0.347978       0.451970       0.346830                 NaN            NaN            NaN            NaN
  1391.70        500.000                 NaN   98.8641       0.347100       0.435937       0.345114       0.773184E-002            NaN            NaN            NaN
  1390.66        500.000                 NaN   98.8726       0.254054       0.377550       0.368382       0.127387                 NaN            NaN            NaN
  1389.63        500.000                 NaN   98.8798       0.248281       0.375810       0.366972       0.129095                 NaN            NaN            NaN
  1388.59        500.000                 NaN   98.9020       0.369314       0.241589       0.359264       0.127842                 NaN            NaN            NaN
  1387.55        500.000                 NaN   98.9077       0.236014       0.368683       0.358031       0.129599                 NaN            NaN            NaN
  1386.52        500.000                 NaN   98.9197       0.365537       0.230080       0.354353       0.130338                 NaN            NaN            NaN
  1385.48        500.000       0.218567E-003   97.7553       0.470496       0.764818       0.734456       0.274724                 NaN            NaN            NaN
  1384.45        500.000                 NaN   99.9938       0.769909E-003            NaN  0.544431E-002            NaN            NaN            NaN            NaN
  1383.41        500.000                 NaN   99.0658       0.320247       0.191671       0.303648       0.118600                 NaN            NaN            NaN
  1382.37        500.000                 NaN   98.9012       0.737664E-001  0.448978       0.367340       0.208731                 NaN            NaN            NaN
  1381.34        500.000                 NaN   99.0370       0.253658       0.340003       0.312090       0.572053E-001            NaN            NaN            NaN
  1380.30        500.000                 NaN   98.9833       0.350213       0.196555       0.335469       0.134442                 NaN            NaN            NaN
  1379.26        500.000                 NaN   98.9932       0.347427       0.191613       0.332609       0.135172                 NaN            NaN            NaN
  1378.23        500.000                 NaN   99.0027       0.186086       0.345335       0.329797       0.136090                 NaN            NaN            NaN
  1377.19        500.000                 NaN   99.0155       0.341573       0.181494       0.325595       0.135800                 NaN            NaN            NaN
  1376.16        500.000                 NaN   99.0234       0.176192       0.340097       0.323415       0.136903                 NaN            NaN            NaN
  1375.12        500.000                 NaN   99.0316       0.170848       0.338642       0.320980       0.137976                 NaN            NaN            NaN
  1374.08        500.000                 NaN   99.0433       0.166797       0.335178       0.317181       0.137511                 NaN            NaN            NaN
  1373.05        500.000                 NaN   99.0504       0.333852       0.161733       0.315347       0.138718                 NaN            NaN            NaN
  1372.01        500.000                 NaN   99.0597       0.156963       0.331799       0.312435       0.139139                 NaN            NaN            NaN
  1370.97        500.000                 NaN   99.0694       0.152417       0.329091       0.309469       0.139665                 NaN            NaN            NaN
  1369.94        500.000                 NaN   99.0784       0.327061       0.147312       0.306827       0.140389                 NaN            NaN            NaN
  1368.90        500.000                 NaN   99.0847       0.325200       0.146109       0.304562       0.139391                 NaN            NaN            NaN
  1367.87        500.000                 NaN   99.0915       0.138987       0.323936       0.303172       0.142370                 NaN            NaN            NaN
  1366.83        500.000                 NaN   99.1070       0.320940       0.132115       0.297935       0.142009                 NaN            NaN            NaN
  1365.79        500.000                 NaN   99.1110       0.131016       0.319369       0.296647       0.141989                 NaN            NaN            NaN
  1364.76        500.000                 NaN   99.1191       0.317280       0.126345       0.294517       0.142778                 NaN            NaN            NaN
  1363.72        500.000                 NaN   99.1274       0.122857       0.315352       0.291648       0.142703                 NaN            NaN            NaN
  1362.68        500.000                 NaN   99.1343       0.313714       0.119323       0.289582       0.143105                 NaN            NaN            NaN
  1361.65        500.000                 NaN   99.1416       0.311648       0.116176       0.287357       0.143214                 NaN            NaN            NaN
  1360.61        500.000                 NaN   99.1513       0.309614       0.109906       0.284453       0.144728                 NaN            NaN            NaN
  1359.58        500.000                 NaN   99.1575       0.308394       0.107374       0.282406       0.144330                 NaN            NaN            NaN
  1358.54        500.000                 NaN   99.1403       0.308773       0.128514       0.286861       0.135544                 NaN            NaN            NaN
  1357.50        500.000                 NaN   99.1966       0.302244       0.753664E-001  0.271280       0.154534                 NaN            NaN            NaN
  1356.47        500.000                 NaN   99.1803       0.968367E-001  0.302612       0.275238       0.144971                 NaN            NaN            NaN
  1355.43        500.000                 NaN   99.1834       0.946012E-001  0.302204       0.274240       0.145534                 NaN            NaN            NaN
  1354.39        500.000                 NaN   99.1951       0.298911       0.902702E-001  0.270628       0.145136                 NaN            NaN            NaN
  1353.36        500.000                 NaN   99.2003       0.868144E-001  0.298675       0.268873       0.145357                 NaN            NaN            NaN
  1352.32        500.000                 NaN   99.2070       0.296719       0.834612E-001  0.266832       0.145955                 NaN            NaN            NaN
  1351.29        500.000                 NaN   99.2127       0.294606       0.819997E-001  0.265111       0.145617                 NaN            NaN            NaN
  1350.25        500.000                 NaN   99.2201       0.294449       0.774655E-001  0.262268       0.145723                 NaN            NaN            NaN
  1349.21        500.000                 NaN   99.2268       0.292097       0.747161E-001  0.260481       0.145942                 NaN            NaN            NaN
  1348.18        500.000                 NaN   99.2322       0.290844       0.722209E-001  0.258732       0.145955                 NaN            NaN            NaN
  1347.14        500.000                 NaN   99.2399       0.535634E-001  0.292923       0.258275       0.155379                 NaN            NaN            NaN
  1346.10        500.000                 NaN   99.2451       0.827788E-001  0.283440       0.252471       0.136256                 NaN            NaN            NaN
  1345.07        500.000                 NaN   99.2516       0.640795E-001  0.286077       0.252401       0.145829                 NaN            NaN            NaN
  1344.03        500.000                 NaN   99.2574       0.584619E-001  0.285338       0.251265       0.147582                 NaN            NaN            NaN
  1343.00        500.000                 NaN   99.2645       0.282211       0.615409E-001  0.247666       0.144088                 NaN            NaN            NaN
  1341.96        500.000                 NaN   99.2695       0.281670       0.571427E-001  0.246496       0.145226                 NaN            NaN            NaN
  1340.92        500.000                 NaN   99.2741       0.279170       0.534686E-001  0.246069       0.147204                 NaN            NaN            NaN
  1339.89        500.000                 NaN   99.2820       0.279993       0.539264E-001  0.241212       0.142861                 NaN            NaN            NaN
  1338.85        500.000                 NaN   99.2865       0.277075       0.519345E-001  0.240644       0.143822                 NaN            NaN            NaN
  1337.81        500.000                 NaN   99.2923       0.276341       0.469561E-001  0.239081       0.145320                 NaN            NaN            NaN
  1336.78        500.000                 NaN   99.2976       0.275063       0.461318E-001  0.237140       0.144064                 NaN            NaN            NaN
  1335.74        500.000                 NaN   99.3029       0.273525       0.447326E-001  0.235197       0.143607                 NaN            NaN            NaN
  1334.71        500.000                 NaN   99.3079       0.272131       0.430252E-001  0.233558       0.143396                 NaN            NaN            NaN
  1333.67        500.000                 NaN   99.3139       0.270396       0.415008E-001  0.231502       0.142734                 NaN            NaN            NaN
  1332.63        500.000                 NaN   99.3187       0.269165       0.399929E-001  0.229814       0.142350                 NaN            NaN            NaN
  1331.60        500.000                 NaN   99.3239       0.268176       0.376127E-001  0.228108       0.142204                 NaN            NaN            NaN
  1330.56        500.000                 NaN   99.3289       0.266624       0.368974E-001  0.226286       0.141309                 NaN            NaN            NaN
  1329.52        500.000                 NaN   99.3347       0.264944       0.350220E-001  0.224312       0.140975                 NaN            NaN            NaN
