|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.75/TIS/TIS_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        an             O(HP)          San(TH)        ilm            q             
  1413.46        500.000       0.353930E-001   85.7408        5.65436        8.56942                 NaN            NaN            NaN            NaN            NaN
  1412.42        500.000       0.951160E-004   99.9121       0.337609E-001  0.540112E-001            NaN            NaN            NaN            NaN            NaN
  1411.39        500.000       0.130119E-002   98.8287       0.453276       0.716718                 NaN            NaN            NaN            NaN            NaN
  1410.35        500.000       0.649538E-003   99.3745       0.241832       0.383017                 NaN            NaN            NaN            NaN            NaN
  1409.32        500.000       0.655640E-003   99.3612       0.246760       0.391365                 NaN            NaN            NaN            NaN            NaN
  1408.28        500.000       0.573655E-003   99.3952       0.370680       0.233525                 NaN            NaN            NaN            NaN            NaN
  1407.24        500.000       0.560438E-003   99.3833       0.377769       0.238417                 NaN            NaN            NaN            NaN            NaN
  1406.21        500.000       0.537048E-003   99.3850       0.376941       0.237528                 NaN            NaN            NaN            NaN            NaN
  1405.17        500.000       0.513456E-003   99.3822       0.378657       0.238610                 NaN            NaN            NaN            NaN            NaN
  1404.13        500.000                 NaN   98.6580       0.562834       0.444127       0.335004                 NaN            NaN            NaN            NaN
  1403.10        500.000       0.510754E-002   98.5865       0.600179       0.439791       0.368415                 NaN            NaN            NaN            NaN
  1402.06        500.000                 NaN   98.5992       0.445837       0.589760       0.365226                 NaN            NaN            NaN            NaN
  1401.03        500.000                 NaN   98.6117       0.442115       0.584613       0.361538                 NaN            NaN            NaN            NaN
  1399.99        500.000       0.294723E-002   98.6240       0.431866       0.582471       0.358702                 NaN            NaN            NaN            NaN
  1398.95        500.000                 NaN   98.6489       0.569743       0.430343       0.351038                 NaN            NaN            NaN            NaN
  1397.92        500.000                 NaN   98.6565       0.428343       0.565984       0.349153                 NaN            NaN            NaN            NaN
  1396.88        500.000                 NaN   98.6705       0.560434       0.423874       0.345203                 NaN            NaN            NaN            NaN
  1395.84        500.000                 NaN   99.4062       0.249892       0.189390       0.154550                 NaN            NaN            NaN            NaN
  1394.81        500.000                 NaN   97.9721       0.647231       0.855415       0.525264                 NaN            NaN            NaN            NaN
  1393.77        500.000                 NaN   98.7099       0.544317       0.411571       0.334202                 NaN            NaN            NaN            NaN
  1392.74        500.000                 NaN   98.7243       0.407110       0.538332       0.330213                 NaN            NaN            NaN            NaN
  1391.70        500.000                 NaN   98.7355       0.406314       0.519563       0.328623       0.995843E-002            NaN            NaN            NaN
  1390.66        500.000                 NaN   98.7395       0.303054       0.442237       0.350864       0.164319                 NaN            NaN            NaN
  1389.63        500.000                 NaN   98.7467       0.296375       0.440474       0.349626       0.166795                 NaN            NaN            NaN
  1388.59        500.000                 NaN   98.7704       0.433192       0.288664       0.342391       0.165394                 NaN            NaN            NaN
  1387.55        500.000                 NaN   98.7757       0.282254       0.432775       0.341322       0.167922                 NaN            NaN            NaN
  1386.52        500.000                 NaN   98.7882       0.429370       0.275380       0.337926       0.169148                 NaN            NaN            NaN
  1385.48        500.000       0.341960E-003   97.4798       0.563541       0.898661       0.699898       0.357729                 NaN            NaN            NaN
  1384.45        500.000                 NaN   99.9939       0.906950E-003            NaN  0.520257E-002            NaN            NaN            NaN            NaN
  1383.41        500.000                 NaN   98.9484       0.377048       0.230038       0.289910       0.154607                 NaN            NaN            NaN
  1382.37        500.000                 NaN   98.7591       0.886238E-001  0.528941       0.350791       0.272495                 NaN            NaN            NaN
  1381.34        500.000                 NaN   98.9191       0.299092       0.408780       0.298179       0.747998E-001            NaN            NaN            NaN
  1380.30        500.000                 NaN   98.8537       0.413201       0.236497       0.320594       0.176027                 NaN            NaN            NaN
  1379.26        500.000                 NaN   98.8637       0.410255       0.230769       0.317978       0.177269                 NaN            NaN            NaN
  1378.23        500.000                 NaN   98.8735       0.224314       0.408099       0.315410       0.178717                 NaN            NaN            NaN
  1377.19        500.000                 NaN   98.8870       0.403915       0.218975       0.311512       0.178624                 NaN            NaN            NaN
  1376.16        500.000                 NaN   98.8948       0.212754       0.402505       0.309547       0.180354                 NaN            NaN            NaN
  1375.12        500.000                 NaN   98.9030       0.206508       0.401120       0.307339       0.182017                 NaN            NaN            NaN
  1374.08        500.000                 NaN   98.9154       0.201772       0.397300       0.303826       0.181678                 NaN            NaN            NaN
  1373.05        500.000                 NaN   98.9224       0.396047       0.195831       0.302193       0.183574                 NaN            NaN            NaN
  1372.01        500.000                 NaN   98.9319       0.190229       0.393944       0.299528       0.184440                 NaN            NaN            NaN
  1370.97        500.000                 NaN   98.9419       0.184894       0.391032       0.296811       0.185387                 NaN            NaN            NaN
  1369.94        500.000                 NaN   98.9512       0.388922       0.178860       0.294405       0.186570                 NaN            NaN            NaN
  1368.90        500.000                 NaN   98.9574       0.387059       0.177571       0.292359       0.185566                 NaN            NaN            NaN
  1367.87        500.000                 NaN   98.9640       0.169084       0.385872       0.291153       0.189856                 NaN            NaN            NaN
  1366.83        500.000                 NaN   98.9806       0.382615       0.160860       0.286255       0.189643                 NaN            NaN            NaN
  1365.79        500.000                 NaN   98.9842       0.159688       0.381065       0.285146       0.189918                 NaN            NaN            NaN
  1364.76        500.000                 NaN   98.9925       0.378871       0.154128       0.283230       0.191242                 NaN            NaN            NaN
