|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4/GRV/GRV_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1564.10        500.000       0.957625E-002   99.9897                 NaN  0.698672E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.69        500.000       0.189153E-002   99.1550                 NaN  0.843131                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.27        500.000                 NaN   99.1318                 NaN  0.868237       0.163436E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.86        500.000       0.317018E-003   99.1377                 NaN  0.861955                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.44        500.000                 NaN   99.1412                 NaN  0.858783                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.03        500.000                 NaN   99.1469                 NaN  0.853100                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.62        500.000                 NaN   99.1529                 NaN  0.847143                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.20        500.000       0.116859E-002   99.1583                 NaN  0.840538                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        500.000                 NaN   99.1611                 NaN  0.838909       0.101881E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000                 NaN   99.1663                 NaN  0.833743                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.96        500.000                 NaN   99.1685                 NaN  0.831487                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.55        500.000                 NaN   99.1703                 NaN  0.829678                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.13        500.000                 NaN   99.1805                 NaN  0.819478                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.72        500.000                 NaN   99.1802                 NaN  0.819801                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.31        500.000                 NaN   99.1827                 NaN  0.817330                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.89        500.000                 NaN   99.1924                 NaN  0.807618                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.48        500.000                 NaN   99.1913                 NaN  0.808669                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.07        500.000                 NaN   99.0704                 NaN  0.238622                 NaN  0.690991                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.65        500.000                 NaN   98.9789                 NaN            NaN            NaN   1.02113                 NaN            NaN            NaN            NaN            NaN            NaN
  1537.24        500.000                 NaN   98.9707                 NaN            NaN            NaN   1.02930                 NaN            NaN            NaN            NaN            NaN            NaN
  1535.82        500.000       0.434312E-002   98.9344                 NaN            NaN            NaN   1.06121                 NaN            NaN            NaN            NaN            NaN            NaN
  1534.41        500.000       0.109136E-001   98.8883                 NaN            NaN            NaN   1.10076                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.00        500.000       0.109331E-001   98.8546                 NaN            NaN            NaN   1.13443                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.58        500.000       0.109483E-001   98.8101                 NaN            NaN            NaN   1.17897                 NaN            NaN            NaN            NaN            NaN            NaN
  1530.17        500.000       0.109333E-001   98.3126                 NaN            NaN            NaN  0.722980       0.953460                 NaN            NaN            NaN            NaN            NaN
  1528.76        500.000       0.107288E-001   98.1753                 NaN            NaN            NaN  0.540415        1.27359                 NaN            NaN            NaN            NaN            NaN
  1527.34        500.000       0.104890E-001   98.2029                 NaN            NaN            NaN  0.530128        1.25645                 NaN            NaN            NaN            NaN            NaN
  1525.93        500.000       0.102796E-001   98.2315                 NaN            NaN            NaN  0.520647        1.23760                 NaN            NaN            NaN            NaN            NaN
  1524.51        500.000       0.100443E-001   98.2593                 NaN            NaN            NaN   1.21912       0.511497                 NaN            NaN            NaN            NaN            NaN
  1523.10        500.000       0.977618E-002   98.2855                 NaN            NaN            NaN   1.20309       0.501615                 NaN            NaN            NaN            NaN            NaN
  1521.69        500.000       0.958876E-002   98.3130                 NaN            NaN            NaN  0.493584        1.18384                 NaN            NaN            NaN            NaN            NaN
  1520.27        500.000       0.936758E-002   98.3350                 NaN            NaN            NaN  0.485003        1.17061                 NaN            NaN            NaN            NaN            NaN
  1518.86        500.000       0.915238E-002   98.3631                 NaN            NaN            NaN   1.15033       0.477413                 NaN            NaN            NaN            NaN            NaN
  1517.45        500.000       0.892912E-002   98.3870                 NaN            NaN            NaN  0.469360        1.13471                 NaN            NaN            NaN            NaN            NaN
  1516.03        500.000       0.118300E-002   98.4053                 NaN  0.357336                 NaN   1.23618                 NaN            NaN            NaN            NaN            NaN            NaN
  1514.62        500.000       0.664208E-003   98.4239                 NaN  0.367720                 NaN   1.20774                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.20        500.000       0.427913E-003   98.4484                 NaN  0.363743                 NaN   1.18739                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.79        500.000       0.376569E-003   98.4720                 NaN  0.353408                 NaN   1.17418                 NaN            NaN            NaN            NaN            NaN            NaN
  1510.38        500.000       0.563497E-004   98.4898                 NaN  0.352903                 NaN   1.15728                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.96        500.000       0.594502E-003   98.5287                 NaN  0.337692                 NaN   1.13304                 NaN            NaN            NaN            NaN            NaN            NaN
  1507.55        500.000                 NaN   98.5417                 NaN  0.336360                 NaN   1.12190                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.13        500.000       0.117571E-003   98.5646                 NaN  0.329477                 NaN   1.10581                 NaN            NaN            NaN            NaN            NaN            NaN
  1504.72        500.000       0.116926E-002   98.5871                 NaN  0.314608                 NaN   1.09716                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.31        500.000       0.118428E-003   98.6058                 NaN  0.314957                 NaN   1.07912                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.89        500.000                 NaN   98.6279                 NaN  0.308906                 NaN   1.06324                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.48        500.000                 NaN   98.6464                 NaN  0.301570                 NaN   1.05202                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.07        500.000                 NaN   98.6647                 NaN  0.291932                 NaN   1.04335                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.65        500.000                 NaN   98.6847                 NaN  0.284443                 NaN   1.03088                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.24        500.000                 NaN   98.6904                 NaN  0.195885                 NaN  0.981935       0.131768                 NaN            NaN            NaN            NaN            NaN
  1494.82        500.000                 NaN   98.7222                 NaN  0.272907                 NaN   1.00491                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.41        500.000                 NaN   98.7300                 NaN  0.233877                 NaN  0.986097       0.500614E-001            NaN            NaN            NaN            NaN            NaN
  1492.00        500.000                 NaN   98.7431                 NaN  0.166084                 NaN  0.939805       0.151024                 NaN            NaN            NaN            NaN            NaN
