|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.75/LAR/LAR_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          iron           an             San(TH)        San(TH)        ilm            ne             lc            
  1435.90        2500.00       0.194269E-001   99.9108       0.616998E-001            NaN  0.680174E-002  0.124834E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1434.81        2500.00       0.946927E-004   99.5568       0.596740E-001  0.351583       0.318477E-001  0.445512E-004            NaN            NaN            NaN            NaN            NaN            NaN
  1433.72        2500.00       0.726701E-003   99.5335       0.123361       0.337239                 NaN  0.518713E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1432.62        2500.00                 NaN   99.5359       0.344972       0.106476       0.750641E-002  0.512607E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1431.53        2500.00                 NaN   99.5384       0.119258       0.336848       0.282937E-005  0.551468E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1430.44        2500.00       0.112005E-002   99.5409       0.330438       0.122273                 NaN  0.524463E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1429.35        2500.00                 NaN   99.5418       0.117840       0.335001                 NaN  0.537800E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1428.25        2500.00                 NaN   99.5443       0.332631       0.117753                 NaN  0.528670E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1427.16        2500.00                 NaN   99.5338       0.120475       0.340376                 NaN  0.536203E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1426.07        2500.00                 NaN   99.9503       0.371882E-001  0.118918E-001            NaN  0.589912E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1424.98        2500.00                 NaN   99.1637       0.219628       0.607365                 NaN  0.934379E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1423.88        2500.00                 NaN   99.5538       0.324349       0.116892                 NaN  0.494428E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1422.79        2500.00                 NaN   99.5562       0.116613       0.322334                 NaN  0.486029E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1421.70        2500.00                 NaN   99.5585       0.320442       0.116232                 NaN  0.478470E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1420.61        2500.00                 NaN   99.5603       0.116174       0.318862                 NaN  0.470292E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1419.51        2500.00                 NaN   99.5630       0.316816       0.115570                 NaN  0.460729E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1418.42        2500.00                 NaN   99.2631       0.348810       0.217495                 NaN  0.133971E-001  0.157244                 NaN            NaN            NaN            NaN            NaN
  1417.33        2500.00                 NaN   98.6548       0.424459       0.411793                 NaN  0.312981E-001  0.477677                 NaN            NaN            NaN            NaN            NaN
  1416.24        2500.00                 NaN   98.6799       0.416600       0.404389                 NaN  0.305162E-001  0.468620                 NaN            NaN            NaN            NaN            NaN
  1415.14        2500.00                 NaN   98.7060       0.408865       0.396034                 NaN  0.297870E-001  0.459323                 NaN            NaN            NaN            NaN            NaN
  1414.05        2500.00                 NaN   98.6365       0.415987       0.432417                 NaN  0.312032E-001  0.483931                 NaN            NaN            NaN            NaN            NaN
  1412.96        2500.00                 NaN   98.8466       0.352118       0.365655                 NaN  0.262695E-001  0.409326                 NaN            NaN            NaN            NaN            NaN
  1411.87        2500.00                 NaN   98.7739       0.374183       0.389042                 NaN  0.277790E-001  0.435059                 NaN            NaN            NaN            NaN            NaN
  1410.77        2500.00                 NaN   98.8001       0.381628       0.365780                 NaN  0.269986E-001  0.425530                 NaN            NaN            NaN            NaN            NaN
  1409.68        2500.00                 NaN   98.8185       0.360400       0.375566                 NaN  0.264263E-001  0.419126                 NaN            NaN            NaN            NaN            NaN
  1408.59        2500.00                 NaN   98.8400       0.352902       0.370050                 NaN  0.257759E-001  0.411255                 NaN            NaN            NaN            NaN            NaN
  1407.50        2500.00                 NaN   98.8581       0.347135       0.364598                 NaN  0.252554E-001  0.404890                 NaN            NaN            NaN            NaN            NaN
  1406.40        2500.00                 NaN   98.8813       0.340060       0.357738                 NaN  0.245922E-001  0.396344                 NaN            NaN            NaN            NaN            NaN
  1405.31        2500.00                 NaN   98.8984       0.353115       0.334140                 NaN  0.240638E-001  0.390315                 NaN            NaN            NaN            NaN            NaN
  1404.22        2500.00                 NaN   98.9167       0.328414       0.347625                 NaN  0.235248E-001  0.383746                 NaN            NaN            NaN            NaN            NaN
  1403.13        2500.00                 NaN   98.9347       0.322309       0.342747                 NaN  0.229945E-001  0.377280                 NaN            NaN            NaN            NaN            NaN
  1402.03        2500.00                 NaN   98.9507       0.317388       0.337844                 NaN  0.225228E-001  0.371513                 NaN            NaN            NaN            NaN            NaN
  1400.94        2500.00                 NaN   98.9698       0.310601       0.333222                 NaN  0.218998E-001  0.364509                 NaN            NaN            NaN            NaN            NaN
  1399.85        2500.00                 NaN   98.9856       0.328297       0.305783                 NaN  0.214964E-001  0.358812                 NaN            NaN            NaN            NaN            NaN
  1398.76        2500.00                 NaN   99.0016       0.324025       0.300367                 NaN  0.209737E-001  0.352997                 NaN            NaN            NaN            NaN            NaN
  1397.66        2500.00                 NaN   99.0169       0.295716       0.319408                 NaN  0.205320E-001  0.347478                 NaN            NaN            NaN            NaN            NaN
  1396.57        2500.00                 NaN   99.0321       0.315234       0.290567                 NaN  0.200909E-001  0.342004                 NaN            NaN            NaN            NaN            NaN
  1395.48        2500.00                 NaN   99.0449       0.286176       0.311826                 NaN  0.196903E-001  0.337437                 NaN            NaN            NaN            NaN            NaN
  1394.39        2500.00                 NaN   99.0621       0.280557       0.307336                 NaN  0.191237E-001  0.330854                 NaN            NaN            NaN            NaN            NaN
  1393.29        2500.00                 NaN   99.0753       0.303052       0.276680                 NaN  0.187557E-001  0.326239                 NaN            NaN            NaN            NaN            NaN
  1392.20        2500.00                 NaN   99.0890       0.299665       0.271729                 NaN  0.183379E-001  0.321273                 NaN            NaN            NaN            NaN            NaN
  1391.11        2500.00                 NaN   99.1009       0.268145       0.295558                 NaN  0.181335E-001  0.317264                 NaN            NaN            NaN            NaN            NaN
  1390.02        2500.00                 NaN   99.1169       0.292328       0.262402                 NaN  0.174626E-001  0.310875                 NaN            NaN            NaN            NaN            NaN
  1388.92        2500.00                 NaN   99.1274       0.289084       0.259030                 NaN  0.171685E-001  0.307342                 NaN            NaN            NaN            NaN            NaN
  1387.83        2500.00                 NaN   99.1398       0.255106       0.285631                 NaN  0.167575E-001  0.302712                 NaN            NaN            NaN            NaN            NaN
  1386.74        2500.00                 NaN   99.3665       0.211018       0.187057                 NaN  0.122561E-001  0.223133                 NaN            NaN            NaN            NaN            NaN
  1385.65        2500.00                 NaN   98.9491       0.310033       0.351478                 NaN  0.201018E-001  0.369285                 NaN            NaN            NaN            NaN            NaN
  1384.55        2500.00                 NaN   99.1753       0.276761       0.242482                 NaN  0.156569E-001  0.289841                 NaN            NaN            NaN            NaN            NaN
  1383.46        2500.00                 NaN   99.1868       0.273389       0.238847                 NaN  0.153470E-001  0.285621                 NaN            NaN            NaN            NaN            NaN
  1382.37        2500.00                 NaN   99.1976       0.270522       0.235306                 NaN  0.149762E-001  0.281575                 NaN            NaN            NaN            NaN            NaN
  1381.28        2500.00                 NaN   99.9857       0.121966E-001            NaN            NaN  0.101983E-002  0.108930E-002            NaN            NaN            NaN            NaN            NaN
  1380.18        2500.00                 NaN   98.4441       0.446255       0.532394                 NaN  0.277684E-001  0.549467                 NaN            NaN            NaN            NaN            NaN
  1379.09        2500.00                 NaN   99.2288       0.262511       0.224559                 NaN  0.139808E-001  0.270159                 NaN            NaN            NaN            NaN            NaN
  1378.00        2500.00                 NaN   99.2345       0.221988       0.261350                 NaN  0.137799E-001  0.268345                 NaN            NaN            NaN            NaN            NaN
  1376.91        2500.00                 NaN   99.2524       0.216835       0.256322                 NaN  0.132381E-001  0.261175                 NaN            NaN            NaN            NaN            NaN
  1375.81        2500.00                 NaN   99.2577       0.255426       0.214396                 NaN  0.130270E-001  0.259453                 NaN            NaN            NaN            NaN            NaN
  1374.72        2500.00                 NaN   99.1177       0.256373       0.302360                 NaN  0.154090E-001  0.308118                 NaN            NaN            NaN            NaN            NaN
  1373.63        2500.00                 NaN   99.4257       0.199248       0.164772                 NaN  0.987230E-002  0.200395                 NaN            NaN            NaN            NaN            NaN
  1372.54        2500.00                 NaN   99.2853       0.248854       0.204350                 NaN  0.121647E-001  0.249376                 NaN            NaN            NaN            NaN            NaN
  1371.44        2500.00                 NaN   99.2938       0.201980       0.246186                 NaN  0.118803E-001  0.246149                 NaN            NaN            NaN            NaN            NaN
  1370.35        2500.00                 NaN   99.3031       0.244278       0.198254                 NaN  0.115773E-001  0.242753                 NaN            NaN            NaN            NaN            NaN
  1369.26        2500.00                 NaN   99.3111       0.242096       0.195722                 NaN  0.113287E-001  0.239800                 NaN            NaN            NaN            NaN            NaN
  1368.17        2500.00                 NaN   99.3192       0.240297       0.192636                 NaN  0.110461E-001  0.236779                 NaN            NaN            NaN            NaN            NaN
  1367.07        2500.00                 NaN   99.3268       0.190126       0.238278                 NaN  0.107956E-001  0.233971                 NaN            NaN            NaN            NaN            NaN
  1365.98        2500.00                 NaN   99.3354       0.187001       0.236328                 NaN  0.105075E-001  0.230740                 NaN            NaN            NaN            NaN            NaN
  1364.89        2500.00                 NaN   99.3429       0.234677       0.184190                 NaN  0.102627E-001  0.227954                 NaN            NaN            NaN            NaN            NaN
  1363.80        2500.00                 NaN   99.3502       0.232877       0.181642                 NaN  0.100156E-001  0.225226                 NaN            NaN            NaN            NaN            NaN
  1362.70        2500.00                 NaN   99.3577       0.230856       0.179201                 NaN  0.978877E-002  0.222481                 NaN            NaN            NaN            NaN            NaN
  1361.61        2500.00                 NaN   99.3512       0.179377       0.234926                 NaN  0.973065E-002  0.224744                 NaN            NaN            NaN            NaN            NaN
