|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.75/LAR/LAR_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          iron           an             San(TH)        San(TH)        ilm            ne             lc            
  1435.90        2500.00       0.301808E-001   99.8850       0.728157E-001            NaN  0.868883E-002  0.335156E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1434.81        2500.00       0.146974E-003   99.4729       0.712784E-001  0.414893       0.406831E-001  0.119574E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1433.72        2500.00       0.112750E-002   99.4394       0.147417       0.398114                 NaN  0.139252E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1432.62        2500.00                 NaN   99.4419       0.407458       0.127311       0.960245E-002  0.137659E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1431.53        2500.00                 NaN   99.4445       0.142683       0.398034       0.362252E-005  0.148144E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1430.44        2500.00       0.173647E-002   99.4471       0.390646       0.146376                 NaN  0.140937E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1429.35        2500.00                 NaN   99.4481       0.141153       0.396257                 NaN  0.144569E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1428.25        2500.00                 NaN   99.4510       0.393663       0.141128                 NaN  0.142163E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1427.16        2500.00                 NaN   99.4381       0.144474       0.403003                 NaN  0.144234E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1426.07        2500.00                 NaN   99.9400       0.440883E-001  0.142795E-001            NaN  0.158823E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1424.98        2500.00                 NaN   98.9921       0.263487       0.719243                 NaN  0.251312E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1423.88        2500.00                 NaN   99.4616       0.384615       0.140425                 NaN  0.133134E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1422.79        2500.00                 NaN   99.4643       0.140173       0.382417                 NaN  0.130916E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1421.70        2500.00                 NaN   99.4670       0.380347       0.139793                 NaN  0.128923E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1420.61        2500.00                 NaN   99.4688       0.139809       0.378669                 NaN  0.126762E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1419.51        2500.00                 NaN   99.4720       0.376430       0.139167                 NaN  0.124226E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1418.42        2500.00                 NaN   99.1343       0.414583       0.261993                 NaN  0.361278E-001  0.152972                 NaN            NaN            NaN            NaN            NaN
  1417.33        2500.00                 NaN   98.4498       0.511473       0.489534                 NaN  0.844131E-001  0.464752                 NaN            NaN            NaN            NaN            NaN
  1416.24        2500.00                 NaN   98.4774       0.502569       0.481305                 NaN  0.823820E-001  0.456358                 NaN            NaN            NaN            NaN            NaN
  1415.14        2500.00                 NaN   98.5062       0.493797       0.471814                 NaN  0.804891E-001  0.447712                 NaN            NaN            NaN            NaN            NaN
  1414.05        2500.00                 NaN   98.4246       0.496073       0.522811                 NaN  0.843879E-001  0.472087                 NaN            NaN            NaN            NaN            NaN
  1412.96        2500.00                 NaN   98.6660       0.420443       0.442669                 NaN  0.711272E-001  0.399759                 NaN            NaN            NaN            NaN            NaN
  1411.87        2500.00                 NaN   98.5809       0.447189       0.471445                 NaN  0.752728E-001  0.425207                 NaN            NaN            NaN            NaN            NaN
  1410.77        2500.00                 NaN   98.6099       0.462989       0.437609                 NaN  0.732257E-001  0.416265                 NaN            NaN            NaN            NaN            NaN
  1409.68        2500.00                 NaN   98.6301       0.431678       0.456118                 NaN  0.717389E-001  0.410362                 NaN            NaN            NaN            NaN            NaN
  1408.59        2500.00                 NaN   98.6539       0.423106       0.449951                 NaN  0.700370E-001  0.403011                 NaN            NaN            NaN            NaN            NaN
  1407.50        2500.00                 NaN   98.6738       0.416606       0.443796                 NaN  0.686847E-001  0.397120                 NaN            NaN            NaN            NaN            NaN
  1406.40        2500.00                 NaN   98.6995       0.408538       0.435909                 NaN  0.669416E-001  0.389078                 NaN            NaN            NaN            NaN            NaN
  1405.31        2500.00                 NaN   98.7184       0.430757       0.401840                 NaN  0.655616E-001  0.383490                 NaN            NaN            NaN            NaN            NaN
  1404.22        2500.00                 NaN   98.7386       0.395356       0.424516                 NaN  0.641502E-001  0.377360                 NaN            NaN            NaN            NaN            NaN
  1403.13        2500.00                 NaN   98.7585       0.388396       0.419002                 NaN  0.627596E-001  0.371319                 NaN            NaN            NaN            NaN            NaN
  1402.03        2500.00                 NaN   98.7762       0.382835       0.413453                 NaN  0.615264E-001  0.365954                 NaN            NaN            NaN            NaN            NaN
  1400.94        2500.00                 NaN   98.7974       0.375070       0.408265                 NaN  0.598772E-001  0.359360                 NaN            NaN            NaN            NaN            NaN
  1399.85        2500.00                 NaN   98.8149       0.402597       0.369594                 NaN  0.588252E-001  0.354040                 NaN            NaN            NaN            NaN            NaN
  1398.76        2500.00                 NaN   98.8327       0.397821       0.363408                 NaN  0.574446E-001  0.348594                 NaN            NaN            NaN            NaN            NaN
  1397.66        2500.00                 NaN   98.8496       0.358135       0.392545                 NaN  0.562834E-001  0.343430                 NaN            NaN            NaN            NaN            NaN
  1396.57        2500.00                 NaN   98.8665       0.387813       0.352243                 NaN  0.551214E-001  0.338299                 NaN            NaN            NaN            NaN            NaN
  1395.48        2500.00                 NaN   98.8806       0.347254       0.384051                 NaN  0.540683E-001  0.334056                 NaN            NaN            NaN            NaN            NaN
  1394.39        2500.00                 NaN   98.8999       0.340781       0.378919                 NaN  0.525572E-001  0.327808                 NaN            NaN            NaN            NaN            NaN
  1393.29        2500.00                 NaN   98.9145       0.373999       0.336409                 NaN  0.515893E-001  0.323498                 NaN            NaN            NaN            NaN            NaN
  1392.20        2500.00                 NaN   98.9298       0.370199       0.330710                 NaN  0.504824E-001  0.318832                 NaN            NaN            NaN            NaN            NaN
  1391.11        2500.00                 NaN   98.9429       0.326565       0.365459                 NaN  0.499615E-001  0.315107                 NaN            NaN            NaN            NaN            NaN
  1390.02        2500.00                 NaN   98.9610       0.361874       0.319976                 NaN  0.481529E-001  0.309009                 NaN            NaN            NaN            NaN            NaN
  1388.92        2500.00                 NaN   98.9725       0.358214       0.316169                 NaN  0.473810E-001  0.305740                 NaN            NaN            NaN            NaN            NaN
  1387.83        2500.00                 NaN   98.9863       0.311695       0.354310                 NaN  0.462848E-001  0.301373                 NaN            NaN            NaN            NaN            NaN
  1386.74        2500.00                 NaN   99.2529       0.262073       0.228823                 NaN  0.338858E-001  0.222362                 NaN            NaN            NaN            NaN            NaN
  1385.65        2500.00                 NaN   98.7603       0.379370       0.436677                 NaN  0.555909E-001  0.368085                 NaN            NaN            NaN            NaN            NaN
  1384.55        2500.00                 NaN   99.0260       0.344337       0.297118                 NaN  0.433505E-001  0.289237                 NaN            NaN            NaN            NaN            NaN
  1383.46        2500.00                 NaN   99.0388       0.340456       0.292925                 NaN  0.425265E-001  0.285246                 NaN            NaN            NaN            NaN            NaN
  1382.37        2500.00                 NaN   99.0510       0.337229       0.288865                 NaN  0.415324E-001  0.281423                 NaN            NaN            NaN            NaN            NaN
  1381.28        2500.00                 NaN   99.9811       0.149921E-001            NaN            NaN  0.283236E-002  0.109027E-002            NaN            NaN            NaN            NaN            NaN
  1380.18        2500.00                 NaN   98.1616       0.548074       0.664027                 NaN  0.770210E-001  0.549229                 NaN            NaN            NaN            NaN            NaN
  1379.09        2500.00                 NaN   99.0858       0.328211       0.276458                 NaN  0.388640E-001  0.270630                 NaN            NaN            NaN            NaN            NaN
  1378.00        2500.00                 NaN   99.0920       0.273547       0.327075                 NaN  0.383354E-001  0.269015                 NaN            NaN            NaN            NaN            NaN
  1376.91        2500.00                 NaN   99.1126       0.267442       0.321100                 NaN  0.368572E-001  0.262025                 NaN            NaN            NaN            NaN            NaN
  1375.81        2500.00                 NaN   99.1182       0.320296       0.264695                 NaN  0.362974E-001  0.260490                 NaN            NaN            NaN            NaN            NaN
  1374.72        2500.00                 NaN   98.9513       0.316733       0.379417                 NaN  0.429620E-001  0.309539                 NaN            NaN            NaN            NaN            NaN
  1373.63        2500.00                 NaN   99.3167       0.250380       0.203851                 NaN  0.275576E-001  0.201551                 NaN            NaN            NaN            NaN            NaN
  1372.54        2500.00                 NaN   99.1492       0.312947       0.252969                 NaN  0.339729E-001  0.250927                 NaN            NaN            NaN            NaN            NaN
  1371.44        2500.00                 NaN   99.1588       0.250290       0.309860                 NaN  0.332038E-001  0.247861                 NaN            NaN            NaN            NaN            NaN
  1370.35        2500.00                 NaN   99.1694       0.307759       0.245890                 NaN  0.323814E-001  0.244619                 NaN            NaN            NaN            NaN            NaN
  1369.26        2500.00                 NaN   99.1782       0.305293       0.242962                 NaN  0.317097E-001  0.241817                 NaN            NaN            NaN            NaN            NaN
  1368.17        2500.00                 NaN   99.1875       0.303309       0.239356                 NaN  0.309418E-001  0.238942                 NaN            NaN            NaN            NaN            NaN
  1367.07        2500.00                 NaN   99.1960       0.236457       0.301034                 NaN  0.302626E-001  0.236276                 NaN            NaN            NaN            NaN            NaN
  1365.98        2500.00                 NaN   99.2057       0.232782       0.298859                 NaN  0.294769E-001  0.233179                 NaN            NaN            NaN            NaN            NaN
  1364.89        2500.00                 NaN   99.2141       0.297036       0.229482                 NaN  0.288113E-001  0.230526                 NaN            NaN            NaN            NaN            NaN
  1363.80        2500.00                 NaN   99.2224       0.295026       0.226510                 NaN  0.281381E-001  0.227927                 NaN            NaN            NaN            NaN            NaN
  1362.70        2500.00                 NaN   99.2308       0.292721       0.223669                 NaN  0.275209E-001  0.225306                 NaN            NaN            NaN            NaN            NaN
  1361.61        2500.00                 NaN   99.2226       0.224099       0.298173                 NaN  0.273769E-001  0.227753                 NaN            NaN            NaN            NaN            NaN
  1360.52        2500.00                 NaN   99.2637       0.212669       0.282966                 NaN  0.255050E-001  0.215138                 NaN            NaN            NaN            NaN            NaN
  1359.43        2500.00                 NaN   99.2549       0.287765       0.214131                 NaN  0.255156E-001  0.217722                 NaN            NaN            NaN            NaN            NaN
  1358.33        2500.00                 NaN   99.2627       0.211064       0.286237                 NaN  0.247993E-001  0.215215                 NaN            NaN            NaN            NaN            NaN
  1357.24        2500.00                 NaN   99.2696       0.284278       0.208366                 NaN  0.244451E-001  0.213318                 NaN            NaN            NaN            NaN            NaN
  1356.15        2500.00                 NaN   99.2783       0.205552       0.282608                 NaN  0.234686E-001  0.210120                 NaN            NaN            NaN            NaN            NaN
  1355.06        2500.00                 NaN   99.2849       0.202125       0.281761                 NaN  0.229870E-001  0.208233                 NaN            NaN            NaN            NaN            NaN
  1353.96        2500.00                 NaN   99.2919       0.280604       0.199242                 NaN  0.222963E-001  0.205971                 NaN            NaN            NaN            NaN            NaN
  1352.87        2500.00                 NaN   99.2989       0.196639       0.278983                 NaN  0.217229E-001  0.203775                 NaN            NaN            NaN            NaN            NaN
  1351.78        2500.00                 NaN   99.3059       0.193777       0.277647                 NaN  0.211458E-001  0.201569                 NaN            NaN            NaN            NaN            NaN
  1350.69        2500.00                 NaN   99.3125       0.191467       0.275990                 NaN  0.205996E-001  0.199413                 NaN            NaN            NaN            NaN            NaN
  1349.59        2500.00                 NaN   99.3189       0.275194       0.188484                 NaN  0.199873E-001  0.197428                 NaN            NaN            NaN            NaN            NaN
  1348.50        2500.00                 NaN   99.3255       0.273782       0.185992                 NaN  0.193987E-001  0.195283                 NaN            NaN            NaN            NaN            NaN
  1347.41        2500.00                 NaN   99.3321       0.183040       0.272889                 NaN  0.187892E-001  0.193141                 NaN            NaN            NaN            NaN            NaN
  1346.32        2500.00                 NaN   99.3376       0.181808       0.270558                 NaN  0.185312E-001  0.191499                 NaN            NaN            NaN            NaN            NaN
  1345.22        2500.00                 NaN   99.3447       0.177529       0.271193                 NaN  0.175682E-001  0.189048                 NaN            NaN            NaN            NaN            NaN
  1344.13        2500.00                 NaN   99.3504       0.269767       0.175315                 NaN  0.171417E-001  0.187351                 NaN            NaN            NaN            NaN            NaN
  1343.04        2500.00                 NaN   99.3559       0.268050       0.173460                 NaN  0.168452E-001  0.185727                 NaN            NaN            NaN            NaN            NaN
  1341.95        2500.00                 NaN   99.3627       0.267642       0.170387                 NaN  0.160149E-001  0.183285                 NaN            NaN            NaN            NaN            NaN
  1340.85        2500.00                 NaN   99.3679       0.266723       0.168011                 NaN  0.155845E-001  0.181774                 NaN            NaN            NaN            NaN            NaN
  1339.76        2500.00                 NaN   99.3732       0.266450       0.165352                 NaN  0.149825E-001  0.179984                 NaN            NaN            NaN            NaN            NaN
  1338.67        2500.00                 NaN   99.3800       0.258984       0.164838       0.418727E-002  0.137605E-001  0.178187                 NaN            NaN            NaN            NaN            NaN
  1337.58        2500.00                 NaN   99.4128       0.213458       0.979126E-001  0.993012E-001            NaN  0.176536                 NaN            NaN            NaN            NaN            NaN
  1336.48        2500.00                 NaN   99.4170       0.212063       0.981112E-001  0.978294E-001            NaN  0.174967                 NaN            NaN            NaN            NaN            NaN
  1335.39        2500.00                 NaN   99.0926       0.173737       0.323757       0.134645       0.415846E-002  0.271127                 NaN            NaN            NaN            NaN            NaN
  1334.30        2500.00                 NaN   99.8818       0.485829E-001  0.785683E-002  0.257141E-001            NaN  0.360665E-001            NaN            NaN            NaN            NaN            NaN
  1333.21        2500.00                 NaN   99.2966       0.133836       0.249707       0.110225                 NaN  0.209644                 NaN            NaN            NaN            NaN            NaN
  1332.11        2500.00                 NaN   99.4346       0.205858       0.971116E-001  0.934754E-001            NaN  0.168977                 NaN            NaN            NaN            NaN            NaN
  1331.02        2500.00                 NaN   99.4386       0.983055E-001  0.203365       0.922008E-001            NaN  0.167578                 NaN            NaN            NaN            NaN            NaN
  1329.93        2500.00                 NaN   99.4427       0.984118E-001  0.201872       0.908655E-001            NaN  0.166101                 NaN            NaN            NaN            NaN            NaN
  1328.84        2500.00                 NaN   99.4461       0.200658       0.982518E-001  0.899805E-001            NaN  0.164983                 NaN            NaN            NaN            NaN            NaN
  1327.74        2500.00                 NaN   99.4503       0.982727E-001  0.200024       0.881921E-001            NaN  0.163206                 NaN            NaN            NaN            NaN            NaN
  1326.65        2500.00                 NaN   99.4545       0.197985       0.980837E-001  0.874448E-001            NaN  0.161965                 NaN            NaN            NaN            NaN            NaN
  1325.56        2500.00                 NaN   99.4583       0.990207E-001  0.195836       0.861742E-001            NaN  0.160657                 NaN            NaN            NaN            NaN            NaN
  1324.47        2500.00                 NaN   99.4609       0.104575       0.191803       0.831851E-001            NaN  0.159572                 NaN            NaN            NaN            NaN            NaN
  1323.37        2500.00                 NaN   99.4665       0.195446       0.952700E-001  0.849586E-001            NaN  0.157791                 NaN            NaN            NaN            NaN            NaN
  1322.28        2500.00                 NaN   99.4696       0.100363       0.190978       0.823996E-001            NaN  0.156668                 NaN            NaN            NaN            NaN            NaN
  1321.19        2500.00                 NaN   99.4726       0.188879       0.101787       0.810896E-001            NaN  0.155669                 NaN            NaN            NaN            NaN            NaN
  1320.10        2500.00                 NaN   99.4770       0.188277       0.100851       0.798214E-001            NaN  0.154072                 NaN            NaN            NaN            NaN            NaN
  1319.00        2500.00                 NaN   99.4802       0.101740       0.186337       0.787833E-001            NaN  0.152986                 NaN            NaN            NaN            NaN            NaN
  1317.91        2500.00                 NaN   99.4846       0.183419       0.103797       0.768349E-001            NaN  0.151309                 NaN            NaN            NaN            NaN            NaN
  1316.82        2500.00                 NaN   99.4879       0.182553       0.103066       0.762327E-001            NaN  0.150297                 NaN            NaN            NaN            NaN            NaN
  1315.73        2500.00                 NaN   99.4907       0.104772       0.180937       0.744518E-001            NaN  0.149189                 NaN            NaN            NaN            NaN            NaN
  1314.63        2500.00                 NaN   99.4937       0.105684       0.179164       0.733110E-001            NaN  0.148116                 NaN            NaN            NaN            NaN            NaN
  1313.54        2500.00                 NaN   99.4985       0.102916       0.178741       0.732492E-001            NaN  0.146642                 NaN            NaN            NaN            NaN            NaN
  1312.45        2500.00                 NaN   87.3742        2.20576       0.526970       0.830744       0.566918E-001   1.60727        7.39834                 NaN            NaN            NaN            NaN
  1311.36        2500.00                 NaN   82.3810        2.64126        2.05533                 NaN  0.488824        2.27465        10.1589                 NaN            NaN            NaN            NaN
  1310.26        2500.00                 NaN   84.0995        2.41283        1.83247                 NaN  0.437476        2.05207        9.16561                 NaN            NaN            NaN            NaN
  1309.17        2500.00                 NaN   85.5029        2.22206        1.65552                 NaN  0.394622        1.87075        8.35416                 NaN            NaN            NaN            NaN
  1308.08        2500.00                 NaN   86.6632        2.06132        1.50862                 NaN  0.360431        1.72081        7.68560                 NaN            NaN            NaN            NaN
  1306.99        2500.00                 NaN   87.6201        1.92784        1.39064                 NaN  0.330966        1.59747        7.13301                 NaN            NaN            NaN            NaN
  1305.89        2500.00                 NaN   88.4273        1.82280        1.28382                 NaN  0.305803        1.49352        6.66681                 NaN            NaN            NaN            NaN
  1304.80        2500.00                 NaN   89.1094        1.19846        1.72631                 NaN  0.285416        1.40541        6.27501                 NaN            NaN            NaN            NaN
  1303.71        2500.00                 NaN   89.6884        1.11779        1.65331                 NaN  0.267683        1.33089        5.94198                 NaN            NaN            NaN            NaN
  1302.62        2500.00                 NaN   90.1846        1.59398        1.04611                 NaN  0.251927        1.26700        5.65635                 NaN            NaN            NaN            NaN
  1301.52        2500.00                 NaN   90.6044       0.973527        1.55460                 NaN  0.238737        1.21287        5.41586                 NaN            NaN            NaN            NaN
  1300.43        2500.00                 NaN   90.9763        1.53003       0.898615                 NaN  0.226790        1.16479        5.20345                 NaN            NaN            NaN            NaN
  1299.34        2500.00                 NaN   91.2847        1.54596       0.798983                 NaN  0.217162        1.12492        5.02828                 NaN            NaN            NaN            NaN
  1298.25        2500.00                 NaN   91.5511        1.69108       0.579559                 NaN  0.209191        1.09014        4.87890                 NaN            NaN            NaN            NaN
  1297.15        2500.00                 NaN   91.7791        2.20861                 NaN            NaN  0.201301        1.06056        4.75046                 NaN            NaN            NaN            NaN
  1296.06        2500.00                 NaN   91.9651        2.15572                 NaN            NaN  0.194998        1.03605        4.64818                 NaN            NaN            NaN            NaN
  1294.97        2500.00                 NaN   92.1235        2.10774                 NaN            NaN  0.190339        1.01436        4.56409                 NaN            NaN            NaN            NaN
  1293.88        2500.00                 NaN   92.2512        2.06635                 NaN            NaN  0.187016       0.996277        4.49920                 NaN            NaN            NaN            NaN
  1292.78        2500.00                 NaN   92.3417        2.03711                 NaN            NaN  0.183656       0.983276        4.45422                 NaN            NaN            NaN            NaN
  1291.69        2500.00                 NaN   92.4147        2.00865                 NaN            NaN  0.182132       0.971692        4.42279                 NaN            NaN            NaN            NaN
  1290.60        2500.00                 NaN   88.5330        2.77567                 NaN            NaN  0.228617        1.41900        6.77959                 NaN  0.264106                 NaN            NaN
  1289.51        2500.00                 NaN   79.8947        4.43145                 NaN            NaN  0.383194        2.39744        12.1493                 NaN  0.743840                 NaN            NaN
  1288.42        2500.00                 NaN   59.9803       0.362455        8.14529                 NaN  0.806034        4.65588        24.5676                 NaN   1.48248                 NaN            NaN
