|6.6.6
Archiving\03_Data\eqLP/QFM_m4.5/TIS/TIS_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       pxmn           Ni             Sp(TH)         iron           O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  1798.08        500.000        99.1873       0.807025       0.565077E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        99.1872       0.807114       0.565093E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        99.1871       0.807203       0.565108E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        99.1871       0.807293       0.565124E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        99.1870       0.807382       0.565140E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        99.1869       0.807472       0.565156E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        99.1868       0.807562       0.565172E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        500.000        99.1867       0.807651       0.565188E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        500.000        99.1866       0.807741       0.565204E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        500.000        99.1865       0.807831       0.565220E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        500.000        99.1864       0.807921       0.565237E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        500.000        99.1863       0.808011       0.565253E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        500.000        99.1862       0.808101       0.565270E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        500.000        99.1862       0.808191       0.565287E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        500.000        99.1861       0.808281       0.565303E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        500.000        99.1860       0.808371       0.565320E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        500.000        99.1859       0.808461       0.565337E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        500.000        99.1858       0.808551       0.565355E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        500.000        99.1857       0.808642       0.565372E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        500.000        99.1856       0.808732       0.565389E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        500.000        99.1855       0.808823       0.565407E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        500.000        99.1854       0.808913       0.565424E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        500.000        99.1853       0.809004       0.565442E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        500.000        99.1853       0.809094       0.565460E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        500.000        99.1852       0.809185       0.565478E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        500.000        99.1851       0.809276       0.565496E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        500.000        99.1850       0.809367       0.565514E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        500.000        99.1849       0.809457       0.565532E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        500.000        99.1848       0.809548       0.565551E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        500.000        99.1847       0.809639       0.565569E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        500.000        99.1846       0.809730       0.565588E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        500.000        99.1845       0.809821       0.565606E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        500.000        99.1844       0.809912       0.565625E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        500.000        99.1843       0.810004       0.565644E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        500.000        99.1842       0.810095       0.565663E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        500.000        99.1842       0.810186       0.565682E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        500.000        99.1841       0.810278       0.565701E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        500.000        99.1739       0.810439       0.565769E-002            NaN  0.995626E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.28        500.000        99.1685       0.810567       0.565814E-002            NaN  0.152687E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1673.08        500.000        99.1631       0.810695       0.565860E-002            NaN  0.205823E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.87        500.000        99.1494       0.810870       0.565938E-002  0.196219E-002  0.321000E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.1286       0.811052       0.566020E-002  0.122029E-001  0.425318E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1663.46        500.000        99.1079       0.811232       0.566101E-002  0.223180E-001  0.528758E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1660.26        500.000        99.0873       0.811412       0.566183E-002  0.324377E-001  0.632234E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1657.05        500.000        99.0668       0.811591       0.566264E-002  0.424518E-001  0.734611E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1653.85        500.000        98.7977       0.811781       0.549618E-002  0.531910E-001  0.703398E-001  0.261529                 NaN            NaN            NaN            NaN            NaN            NaN
  1650.64        500.000        97.9876       0.811987       0.496028E-002  0.654264E-001  0.369497E-001   1.09305                 NaN            NaN            NaN            NaN            NaN            NaN
  1647.44        500.000        97.1772       0.812190       0.442417E-002  0.776681E-001  0.354579E-002   1.92496                 NaN            NaN            NaN            NaN            NaN            NaN
  1644.23        500.000        96.4268       0.812563       0.394465E-002  0.887294E-001            NaN   2.66795                 NaN            NaN            NaN            NaN            NaN            NaN
  1641.03        500.000        95.6915       0.812949       0.346539E-002  0.994190E-001            NaN   3.39271                 NaN            NaN            NaN            NaN            NaN            NaN
  1637.82        500.000        94.9708       0.813330       0.299059E-002  0.109885                 NaN   4.10298                 NaN            NaN            NaN            NaN            NaN            NaN
  1634.62        500.000        94.2495       0.813709       0.251541E-002  0.120362                 NaN   4.81388                 NaN            NaN            NaN            NaN            NaN            NaN
  1631.41        500.000        93.5276       0.814085       0.203985E-002  0.130847                 NaN   5.52540                 NaN            NaN            NaN            NaN            NaN            NaN
  1628.21        500.000        92.8051       0.814458       0.156392E-002  0.141342                 NaN   6.23754                 NaN            NaN            NaN            NaN            NaN            NaN
  1625.00        500.000        92.1036       0.814824       0.109177E-002  0.151526                 NaN   6.92896                 NaN            NaN            NaN            NaN            NaN            NaN
  1621.79        500.000        91.4015       0.815187       0.619278E-003  0.161719                 NaN   7.62095                 NaN            NaN            NaN            NaN            NaN            NaN
  1618.59        500.000        90.7106       0.815545       0.151515E-003  0.171744                 NaN   8.30198                 NaN            NaN            NaN            NaN            NaN            NaN
  1615.38        500.000        90.0449       0.815891                 NaN  0.181575                 NaN   8.95760                 NaN            NaN            NaN            NaN            NaN            NaN
  1612.18        500.000        89.4144       0.816227                 NaN  0.190984                 NaN   9.57842                 NaN            NaN            NaN            NaN            NaN            NaN
  1608.97        500.000        88.7833       0.816559                 NaN  0.200401                 NaN   10.1997                 NaN            NaN            NaN            NaN            NaN            NaN
  1605.77        500.000        88.1519       0.816890                 NaN  0.209825                 NaN   10.8214                 NaN            NaN            NaN            NaN            NaN            NaN
  1602.56        500.000        87.5199       0.817218                 NaN  0.219256                 NaN   11.4436                 NaN            NaN            NaN            NaN            NaN            NaN
  1599.36        500.000        86.8875       0.817543                 NaN  0.228694                 NaN   12.0662                 NaN            NaN            NaN            NaN            NaN            NaN
  1596.15        500.000        86.2547       0.817866                 NaN  0.238139                 NaN   12.6893                 NaN            NaN            NaN            NaN            NaN            NaN
  1592.95        500.000        85.6214       0.818187                 NaN  0.247591                 NaN   13.3128                 NaN            NaN            NaN            NaN            NaN            NaN
  1589.74        500.000        84.9877       0.818504                 NaN  0.257050                 NaN   13.9367                 NaN            NaN            NaN            NaN            NaN            NaN
  1586.54        500.000        84.4192       0.818802                 NaN  0.265670                 NaN   14.4964                 NaN            NaN            NaN            NaN            NaN            NaN
  1583.33        500.000        83.8502       0.819097                 NaN  0.274296                 NaN   15.0564                 NaN            NaN            NaN            NaN            NaN            NaN
  1580.13        500.000        83.2809       0.819390                 NaN  0.282927                 NaN   15.6168                 NaN            NaN            NaN            NaN            NaN            NaN
  1576.92        500.000        82.7113       0.819680                 NaN  0.291564                 NaN   16.1775                 NaN            NaN            NaN            NaN            NaN            NaN
  1573.72        500.000        82.1413       0.819968                 NaN  0.300206                 NaN   16.7385                 NaN            NaN            NaN            NaN            NaN            NaN
  1570.51        500.000        81.5710       0.820254                 NaN  0.308854                 NaN   17.2999                 NaN            NaN            NaN            NaN            NaN            NaN
  1567.31        500.000        81.0004       0.820538                 NaN  0.317507                 NaN   17.8616                 NaN            NaN            NaN            NaN            NaN            NaN
  1564.10        500.000        80.4295       0.820819                 NaN  0.326166                 NaN   18.4236                 NaN            NaN            NaN            NaN            NaN            NaN
  1560.90        500.000        79.9287       0.821078                 NaN  0.334090                 NaN   18.9162                 NaN            NaN            NaN            NaN            NaN            NaN
  1557.69        500.000        79.4276       0.821334                 NaN  0.342019                 NaN   19.4090                 NaN            NaN            NaN            NaN            NaN            NaN
  1554.49        500.000        78.9263       0.821588                 NaN  0.349952                 NaN   19.9021                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.28        500.000        78.4248       0.821840                 NaN  0.357890                 NaN   20.3954                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.08        500.000        77.9231       0.822091                 NaN  0.365832                 NaN   20.8890                 NaN            NaN            NaN            NaN            NaN            NaN
  1544.87        500.000        77.4211       0.822339                 NaN  0.373777                 NaN   21.3828                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.67        500.000        76.9188       0.822585                 NaN  0.381727                 NaN   21.8769                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.46        500.000        76.4164       0.822829                 NaN  0.389681                 NaN   22.3711                 NaN            NaN            NaN            NaN            NaN            NaN
  1535.26        500.000        75.9794       0.823052                 NaN  0.396875                 NaN   22.8007                 NaN            NaN            NaN            NaN            NaN            NaN
  1532.05        500.000        75.5422       0.823273                 NaN  0.404072                 NaN   23.2304                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.85        500.000        75.1049       0.823492                 NaN  0.411272                 NaN   23.6603                 NaN            NaN            NaN            NaN            NaN            NaN
  1525.64        500.000        74.6674       0.823710                 NaN  0.418475                 NaN   24.0904                 NaN            NaN            NaN            NaN            NaN            NaN
  1522.44        500.000        74.2298       0.823926                 NaN  0.425682                 NaN   24.5206                 NaN            NaN            NaN            NaN            NaN            NaN
  1519.23        500.000        73.7919       0.824140                 NaN  0.432891                 NaN   24.9510                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.03        500.000        73.3540       0.824352                 NaN  0.440104                 NaN   25.3816                 NaN            NaN            NaN            NaN            NaN            NaN
  1512.82        500.000        72.9159       0.824562                 NaN  0.447319                 NaN   25.8123                 NaN            NaN            NaN            NaN            NaN            NaN
  1509.62        500.000        72.5121       0.824761                 NaN  0.454298                 NaN   26.2088                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.41        500.000        71.9431       0.825223                 NaN  0.456028                 NaN   26.4687       0.306961                 NaN            NaN            NaN            NaN            NaN
  1503.21        500.000        70.9383       0.826373                 NaN  0.445258                 NaN   26.3830        1.40711                 NaN            NaN            NaN            NaN            NaN
  1500.00        500.000        69.9308       0.827525                 NaN  0.434457                 NaN   26.2970        2.51029                 NaN            NaN            NaN            NaN            NaN
  1496.79        500.000        68.9499       0.828655                 NaN  0.421724                 NaN   26.2112        3.58860                 NaN            NaN            NaN            NaN            NaN
  1493.59        500.000        67.9664       0.829788                 NaN  0.408956                 NaN   26.1251        4.66981                 NaN            NaN            NaN            NaN            NaN
  1490.38        500.000        66.9802       0.830923                 NaN  0.396152                 NaN   26.0387        5.75394                 NaN            NaN            NaN            NaN            NaN
  1487.18        500.000        65.9915       0.832060                 NaN  0.383313                 NaN   25.9521        6.84100                 NaN            NaN            NaN            NaN            NaN
  1483.97        500.000        64.5644       0.833670                 NaN  0.416446                 NaN   25.7870        5.67065        2.72780                 NaN            NaN            NaN            NaN
  1480.77        500.000        62.6946       0.835762                 NaN  0.494282                 NaN   25.5738        2.52973        7.87183                 NaN            NaN            NaN            NaN
  1477.56        500.000        60.8491       0.837851                 NaN  0.562079                 NaN   25.3865                 NaN   12.3644                 NaN            NaN            NaN            NaN
  1474.36        500.000        59.2332       0.839764                 NaN  0.574587                 NaN   25.2173                 NaN   14.1352                 NaN            NaN            NaN            NaN
  1471.15        500.000        57.3361       0.841964                 NaN  0.586519                 NaN   25.1780                 NaN   14.8490        1.20844                 NaN            NaN            NaN
  1467.95        500.000        55.4761       0.844128                 NaN  0.598495                 NaN   25.1434                 NaN   2.44995        15.4879                 NaN            NaN            NaN
  1464.74        500.000        55.4745       0.844169                 NaN  0.598533                 NaN   25.1444                 NaN   2.45003        15.4884                 NaN            NaN            NaN
  1461.54        500.000        51.9482       0.848244                 NaN  0.622133                 NaN   25.0677                 NaN   16.7232        4.79052                 NaN            NaN            NaN
  1458.33        500.000        51.9465       0.848283                 NaN  0.622171                 NaN   25.0686                 NaN   16.7238        4.79066                 NaN            NaN            NaN
  1455.13        500.000        51.9449       0.848321                 NaN  0.622209                 NaN   25.0694                 NaN   16.7243        4.79081                 NaN            NaN            NaN
  1451.92        500.000        51.9433       0.848360                 NaN  0.622246                 NaN   25.0703                 NaN   16.7249        4.79096                 NaN            NaN            NaN
  1448.72        500.000        51.9417       0.848399                 NaN  0.622284                 NaN   25.0711                 NaN   16.7254        4.79110                 NaN            NaN            NaN
  1445.51        500.000        51.9400       0.848437                 NaN  0.622322                 NaN   25.0720                 NaN   16.7260        4.79125                 NaN            NaN            NaN
  1442.31        500.000        51.9384       0.848476                 NaN  0.622360                 NaN   25.0728                 NaN   16.7265        4.79140                 NaN            NaN            NaN
  1439.10        500.000        51.9368       0.848515                 NaN  0.622397                 NaN   25.0737                 NaN   16.7271        4.79154                 NaN            NaN            NaN
  1435.90        500.000        39.9472       0.862470                 NaN  0.724175                 NaN   24.6937                 NaN   21.2573        12.5151                 NaN            NaN            NaN
  1432.69        500.000        39.9457       0.862501                 NaN  0.724213                 NaN   24.6943                 NaN   21.2578        12.5154                 NaN            NaN            NaN
  1429.49        500.000        39.9443       0.862532                 NaN  0.724251                 NaN   24.6949                 NaN   21.2583        12.5157                 NaN            NaN            NaN
  1426.28        500.000        39.9429       0.862563                 NaN  0.724289                 NaN   24.6955                 NaN   21.2588        12.5159                 NaN            NaN            NaN
  1423.08        500.000        35.0472       0.868420                 NaN  0.785414                 NaN   24.4861                 NaN   15.6252        23.1877                 NaN            NaN            NaN
  1419.87        500.000        33.8703       0.869843                 NaN  0.801723                 NaN   24.4347                 NaN   23.6558        16.3466       0.210486E-001            NaN            NaN
  1416.67        500.000        31.0696       0.872133                 NaN  0.802650                 NaN   24.5982                 NaN   24.5762        17.1716       0.909658                 NaN            NaN
  1413.46        500.000        31.0684       0.872157                 NaN  0.802687                 NaN   24.5986                 NaN   24.5766        17.1718       0.909728                 NaN            NaN
  1410.26        500.000        26.3968       0.875969                 NaN  0.804304                 NaN   24.8610                 NaN   26.1480        18.4892        2.42479                 NaN            NaN
  1407.05        500.000        26.3958       0.875989                 NaN  0.804337                 NaN   24.8613                 NaN   26.1483        18.4893        2.42497                 NaN            NaN
  1403.85        500.000        26.3947       0.876010                 NaN  0.804370                 NaN   24.8616                 NaN   26.1486        18.4895        2.42514                 NaN            NaN
  1400.64        500.000        26.3937       0.876030                 NaN  0.804403                 NaN   24.8619                 NaN   26.1489        18.4897        2.42532                 NaN            NaN
  1397.44        500.000        26.3926       0.876050                 NaN  0.804436                 NaN   24.8622                 NaN   26.1493        18.4899        2.42549                 NaN            NaN
  1394.23        500.000        26.3916       0.876071                 NaN  0.804470                 NaN   24.8626                 NaN   26.1496        18.4900        2.42567                 NaN            NaN
  1391.03        500.000        26.3906       0.876091                 NaN  0.804503                 NaN   24.8629                 NaN   26.1499        18.4902        2.42584                 NaN            NaN
  1387.82        500.000        26.3895       0.876112                 NaN  0.804536                 NaN   24.8632                 NaN   26.1502        18.4904        2.42602                 NaN            NaN
  1384.62        500.000        15.0516       0.885394                 NaN  0.812450                 NaN   25.4361                 NaN   30.2437        21.1737        6.39698                 NaN            NaN
  1381.41        500.000        15.0511       0.885405                 NaN  0.812475                 NaN   25.4362                 NaN   30.2438        21.1737        6.39737                 NaN            NaN
  1378.21        500.000        15.0505       0.885417                 NaN  0.812501                 NaN   25.4363                 NaN   30.2439        21.1737        6.39777                 NaN            NaN
  1375.00        500.000        15.0500       0.885428                 NaN  0.812526                 NaN   25.4363                 NaN   30.2439        21.1737        6.39816                 NaN            NaN
  1371.79        500.000        15.0494       0.885440                 NaN  0.812551                 NaN   25.4364                 NaN   30.2440        21.1737        6.39856                 NaN            NaN
  1368.59        500.000        15.0489       0.885451                 NaN  0.812576                 NaN   25.4365                 NaN   30.2441        21.1736        6.39896                 NaN            NaN
  1365.38        500.000        15.0483       0.885463                 NaN  0.812601                 NaN   25.4365                 NaN   30.2441        21.1736        6.39935                 NaN            NaN
  1362.18        500.000        15.0477       0.885474                 NaN  0.812626                 NaN   25.4366                 NaN   30.2442        21.1736        6.39975                 NaN            NaN
  1358.97        500.000        9.10548       0.890459                 NaN  0.818789                 NaN   25.6468                 NaN   32.7727        21.8984        8.86726                 NaN            NaN
  1355.77        500.000        9.10520       0.890466                 NaN  0.818811                 NaN   25.6468                 NaN   32.7727        21.8983        8.86776                 NaN            NaN
  1352.56        500.000        9.10492       0.890474                 NaN  0.818832                 NaN   25.6467                 NaN   32.7726        21.8982        8.86827                 NaN            NaN
  1349.36        500.000        9.10464       0.890481                 NaN  0.818853                 NaN   25.6467                 NaN   32.7725        21.8981        8.86877                 NaN            NaN
  1346.15        500.000        9.10436       0.890487                 NaN  0.818874                 NaN   25.6466                 NaN   32.7724        21.8980        8.86928                 NaN            NaN
  1342.95        500.000        9.10408       0.890494                 NaN  0.818895                 NaN   25.6465                 NaN   32.7723        21.8979        8.86978                 NaN            NaN
  1339.74        500.000        9.10379       0.890501                 NaN  0.818916                 NaN   25.6465                 NaN   32.7723        21.8977        8.87028                 NaN            NaN
