|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.75/LAR/LAR_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1400.64        500.000        99.9128       0.127576E-003            NaN            NaN  0.425804E-001  0.444574E-001            NaN            NaN            NaN
  1399.64        500.000        98.9188       0.352510       0.268098                 NaN  0.131905       0.328729                 NaN            NaN            NaN
  1398.63        500.000        98.8512       0.377695       0.339789                 NaN  0.956649E-001  0.335673                 NaN            NaN            NaN
  1397.63        500.000        98.8658       0.333470       0.373118                 NaN  0.960653E-001  0.331559                 NaN            NaN            NaN
  1396.62        500.000        98.8513       0.332812       0.380066                 NaN  0.996320E-001  0.336149                 NaN            NaN            NaN
  1395.62        500.000        98.9175       0.311903       0.358067                 NaN  0.956056E-001  0.316930                 NaN            NaN            NaN
  1394.62        500.000        98.9064       0.362022       0.314596                 NaN  0.969880E-001  0.320025                 NaN            NaN            NaN
  1393.61        500.000        98.9162       0.307836       0.359989                 NaN  0.984489E-001  0.317504                 NaN            NaN            NaN
  1392.61        500.000        98.9270       0.357119       0.302309                 NaN  0.990893E-001  0.314472                 NaN            NaN            NaN
  1391.60        500.000        98.9394       0.296426       0.353855                 NaN  0.994469E-001  0.310850                 NaN            NaN            NaN
  1390.60        500.000        98.9514       0.350411       0.290564                 NaN  0.998574E-001  0.307738                 NaN            NaN            NaN
  1389.59        500.000        98.9648       0.283914       0.347314                 NaN  0.100251       0.303698                 NaN            NaN            NaN
  1388.59        500.000        98.9729       0.279721       0.345215                 NaN  0.100615       0.301573                 NaN            NaN            NaN
  1387.59        500.000        98.9791       0.343161       0.273806                 NaN  0.103573       0.300344                 NaN            NaN            NaN
  1386.58        500.000        99.0014       0.336322       0.270279                 NaN  0.991959E-001  0.292847                 NaN            NaN            NaN
  1385.58        500.000        99.0053       0.337144       0.262686                 NaN  0.102392       0.292442                 NaN            NaN            NaN
  1384.57        500.000        99.0184       0.257104       0.333585                 NaN  0.102408       0.288530                 NaN            NaN            NaN
  1383.57        500.000        99.0266       0.331364       0.253085                 NaN  0.102721       0.286228                 NaN            NaN            NaN
  1382.57        500.000        99.0370       0.328747       0.247936                 NaN  0.103044       0.283320                 NaN            NaN            NaN
  1381.56        500.000        99.0456       0.326998       0.242682                 NaN  0.103853       0.280869                 NaN            NaN            NaN
  1380.56        500.000        99.0563       0.238887       0.323379                 NaN  0.103676       0.277763                 NaN            NaN            NaN
  1379.55        500.000        99.0662       0.233214       0.321197                 NaN  0.104318       0.275043                 NaN            NaN            NaN
  1378.55        500.000        99.0756       0.318859       0.228586                 NaN  0.104587       0.272331                 NaN            NaN            NaN
  1377.55        500.000        99.0815       0.317506       0.224166                 NaN  0.106057       0.270800                 NaN            NaN            NaN
  1376.54        500.000        99.0515       0.328527       0.230912                 NaN  0.109714       0.279361                 NaN            NaN            NaN
  1375.54        500.000        99.1479       0.205315       0.295684                 NaN  0.998687E-001  0.251191                 NaN            NaN            NaN
  1374.53        500.000        99.1117       0.309456       0.211236                 NaN  0.105630       0.261932                 NaN            NaN            NaN
  1373.53        500.000        99.1192       0.206805       0.307940                 NaN  0.106200       0.259840                 NaN            NaN            NaN
  1372.52        500.000        98.9878       0.232945       0.356070                 NaN  0.124288       0.298853                 NaN            NaN            NaN
  1371.52        500.000        99.2789       0.166501       0.253285                 NaN  0.886400E-001  0.212711                 NaN            NaN            NaN
  1370.52        500.000        99.1454       0.194486       0.301307                 NaN  0.106628       0.252219                 NaN            NaN            NaN
  1369.51        500.000        99.1529       0.299148       0.189621                 NaN  0.107967       0.250379                 NaN            NaN            NaN
  1368.51        500.000        99.1626       0.295871       0.188781                 NaN  0.105817       0.246969                 NaN            NaN            NaN
  1367.50        500.000        99.1694       0.296525       0.176872                 NaN  0.111431       0.245809                 NaN            NaN            NaN
  1366.50        500.000        99.1743       0.186937       0.291253                 NaN  0.104030       0.243516                 NaN            NaN            NaN
  1365.50        500.000        99.1869       0.177147       0.290041                 NaN  0.106154       0.239762                 NaN            NaN            NaN
  1364.49        500.000        99.1924       0.289188       0.171700                 NaN  0.108116       0.238573                 NaN            NaN            NaN
  1363.49        500.000        99.2004       0.287086       0.168278                 NaN  0.107966       0.236296                 NaN            NaN            NaN
  1362.48        500.000        99.2071       0.285333       0.165434                 NaN  0.107870       0.234225                 NaN            NaN            NaN
  1361.48        500.000        99.2125       0.284267       0.162474                 NaN  0.108097       0.232693                 NaN            NaN            NaN
  1360.48        500.000        99.2235       0.158567       0.281036                 NaN  0.107609       0.229254                 NaN            NaN            NaN
  1359.47        500.000        99.2277       0.154344       0.280532                 NaN  0.109055       0.228368                 NaN            NaN            NaN
  1358.47        500.000        99.2365       0.276757       0.154453                 NaN  0.106938       0.225316                 NaN            NaN            NaN
  1357.46        500.000        99.2415       0.276599       0.149793                 NaN  0.108035       0.224050                 NaN            NaN            NaN
  1356.46        500.000        99.2491       0.147288       0.274033                 NaN  0.107800       0.221794                 NaN            NaN            NaN
  1355.46        500.000        99.2554       0.143805       0.272922                 NaN  0.107943       0.219921                 NaN            NaN            NaN
  1354.45        500.000        99.2623       0.270955       0.141661                 NaN  0.107339       0.217743                 NaN            NaN            NaN
  1353.45        500.000        99.2680       0.269681       0.138688                 NaN  0.107536       0.216091                 NaN            NaN            NaN
  1352.44        500.000        99.2752       0.267876       0.135489                 NaN  0.107472       0.213952                 NaN            NaN            NaN
  1351.44        500.000        99.2810       0.266136       0.133572                 NaN  0.107098       0.212148                 NaN            NaN            NaN
  1350.43        500.000        99.2876       0.264397       0.130673                 NaN  0.107079       0.210220                 NaN            NaN            NaN
  1349.43        500.000        99.2867       0.262602       0.138860                 NaN  0.101809       0.209982                 NaN            NaN            NaN
  1348.43        500.000        99.3047       0.262206       0.116372                 NaN  0.111316       0.205429                 NaN            NaN            NaN
  1347.42        500.000        99.3054       0.259180       0.124691                 NaN  0.105980       0.204762                 NaN            NaN            NaN
  1346.42        500.000        99.3112       0.257865       0.121492                 NaN  0.106286       0.203170                 NaN            NaN            NaN
  1345.41        500.000        99.3175       0.117952       0.256098                 NaN  0.106983       0.201515                 NaN            NaN            NaN
  1344.41        500.000        99.3241       0.254117       0.118315                 NaN  0.104585       0.198852                 NaN            NaN            NaN
  1343.41        500.000        99.3283       0.113731       0.254410                 NaN  0.105658       0.197910                 NaN            NaN            NaN
  1342.40        500.000        99.3343       0.251474       0.113875                 NaN  0.104470       0.195922                 NaN            NaN            NaN
  1341.40        500.000        99.3395       0.111433       0.250373                 NaN  0.104369       0.194347                 NaN            NaN            NaN
  1340.39        500.000        99.3442       0.110189       0.248905                 NaN  0.103900       0.192815                 NaN            NaN            NaN
  1339.39        500.000        99.4590       0.207098       0.859066E-001            NaN  0.885170E-001  0.159451                 NaN            NaN            NaN
  1338.39        500.000        99.2461       0.129159       0.285389                 NaN  0.118283       0.221077                 NaN            NaN            NaN
  1337.38        500.000        99.3595       0.103527       0.245100                 NaN  0.103649       0.188261                 NaN            NaN            NaN
  1336.38        500.000        99.3670       0.242017       0.103582                 NaN  0.101650       0.185739                 NaN            NaN            NaN
  1335.37        500.000        99.3705       0.101923       0.241596                 NaN  0.101409       0.184595                 NaN            NaN            NaN
  1334.37        500.000        99.3758       0.239820       0.100070                 NaN  0.101310       0.183042                 NaN            NaN            NaN
  1333.36        500.000        99.3799       0.987457E-001  0.239023                 NaN  0.100657       0.181659                 NaN            NaN            NaN
