|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3/LAR/LAR_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          San(TH)        San(TH)        ilm            q             
  1400.64        500.000        99.6878       0.233391                 NaN            NaN  0.787853E-001            NaN            NaN            NaN            NaN            NaN
  1399.64        500.000        98.9201       0.578993       0.179889                 NaN  0.320977                 NaN            NaN            NaN            NaN            NaN
  1398.63        500.000        98.8383       0.354441       0.453808                 NaN  0.327966       0.254990E-001            NaN            NaN            NaN            NaN
  1397.63        500.000        98.8591       0.373421       0.337271                 NaN  0.332169       0.980209E-001            NaN            NaN            NaN            NaN
  1396.62        500.000        98.8465       0.336513       0.379547                 NaN  0.336022       0.101416                 NaN            NaN            NaN            NaN
  1395.62        500.000        98.9035       0.361528       0.317013                 NaN  0.319803       0.981502E-001            NaN            NaN            NaN            NaN
  1394.62        500.000        98.8957       0.364185       0.317775                 NaN  0.322146       0.100172                 NaN            NaN            NaN            NaN
  1393.61        500.000        98.9060       0.362646       0.310292                 NaN  0.319222       0.101791                 NaN            NaN            NaN            NaN
  1392.61        500.000        98.9194       0.358105       0.305692                 NaN  0.315497       0.101282                 NaN            NaN            NaN            NaN
  1391.60        500.000        98.9317       0.299658       0.354565                 NaN  0.312088       0.101954                 NaN            NaN            NaN            NaN
  1390.60        500.000        98.9430       0.351569       0.293660                 NaN  0.309017       0.102712                 NaN            NaN            NaN            NaN
  1389.59        500.000        98.9517       0.288394       0.350012                 NaN  0.306682       0.103223                 NaN            NaN            NaN            NaN
  1388.59        500.000        98.9674       0.282353       0.345059                 NaN  0.302040       0.103128                 NaN            NaN            NaN            NaN
  1387.59        500.000        99.6440       0.954085E-001  0.117711                 NaN  0.105546       0.373685E-001            NaN            NaN            NaN            NaN
  1386.58        500.000        98.3187       0.565400       0.455506                 NaN  0.490791       0.169622                 NaN            NaN            NaN            NaN
  1385.58        500.000        98.9969       0.266483       0.337775                 NaN  0.293842       0.105042                 NaN            NaN            NaN            NaN
  1384.57        500.000        99.0087       0.261282       0.334550                 NaN  0.290310       0.105112                 NaN            NaN            NaN            NaN
  1383.57        500.000        99.0166       0.255340       0.333069                 NaN  0.288522       0.106517                 NaN            NaN            NaN            NaN
  1382.57        500.000        99.0301       0.251207       0.328922                 NaN  0.284124       0.105627                 NaN            NaN            NaN            NaN
  1381.56        500.000        99.0383       0.245778       0.326956                 NaN  0.282161       0.106823                 NaN            NaN            NaN            NaN
  1380.56        500.000        99.0486       0.241192       0.324285                 NaN  0.279101       0.106862                 NaN            NaN            NaN            NaN
  1379.55        500.000        99.0579       0.236003       0.322073                 NaN  0.276558       0.107501                 NaN            NaN            NaN            NaN
  1378.55        500.000        99.0669       0.231520       0.319798                 NaN  0.273928       0.107835                 NaN            NaN            NaN            NaN
  1377.55        500.000        99.0760       0.317548       0.226587                 NaN  0.271406       0.108439                 NaN            NaN            NaN            NaN
  1376.54        500.000        98.9890       0.246498       0.348162                 NaN  0.296767       0.119539                 NaN            NaN            NaN            NaN
  1375.54        500.000        99.1899       0.194807       0.279761                 NaN  0.237990       0.975269E-001            NaN            NaN            NaN            NaN
  1374.53        500.000        99.1038       0.310351       0.212937                 NaN  0.263532       0.109401                 NaN            NaN            NaN            NaN
  1373.53        500.000        98.3053       0.584880       0.400712                 NaN  0.498884       0.210228                 NaN            NaN            NaN            NaN
  1372.52        500.000        99.8773       0.288008E-001  0.427573E-001            NaN  0.358469E-001  0.152540E-001            NaN            NaN            NaN            NaN
  1371.52        500.000        99.1878       0.282896       0.189045                 NaN  0.238667       0.101640                 NaN            NaN            NaN            NaN
  1370.52        500.000        99.1372       0.196383       0.302002                 NaN  0.253825       0.110605                 NaN            NaN            NaN            NaN
  1369.51        500.000        99.1455       0.192889       0.299674                 NaN  0.251426       0.110538                 NaN            NaN            NaN            NaN
  1368.51        500.000        99.1074       0.314319       0.198578                 NaN  0.262780       0.116939                 NaN            NaN            NaN            NaN
  1367.50        500.000        99.2064       0.280034       0.175270                 NaN  0.233422       0.104842                 NaN            NaN            NaN            NaN
  1366.50        500.000        99.1697       0.181376       0.293401                 NaN  0.244439       0.111102                 NaN            NaN            NaN            NaN
  1365.50        500.000        99.1770       0.291976       0.176801                 NaN  0.242468       0.111751                 NaN            NaN            NaN            NaN
