|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3/LAR/LAR_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          San(TH)        San(TH)        ilm            q             
  1400.64        500.000        99.7283       0.191658                 NaN            NaN  0.800312E-001            NaN            NaN            NaN            NaN            NaN
  1399.64        500.000        99.0482       0.475517       0.150029                 NaN  0.326216                 NaN            NaN            NaN            NaN            NaN
  1398.63        500.000        98.9794       0.295457       0.372452                 NaN  0.333220       0.195203E-001            NaN            NaN            NaN            NaN
  1397.63        500.000        99.0002       0.311017       0.276561                 NaN  0.337323       0.749353E-001            NaN            NaN            NaN            NaN
  1396.62        500.000        98.9900       0.275651       0.315844                 NaN  0.341067       0.774227E-001            NaN            NaN            NaN            NaN
  1395.62        500.000        99.0407       0.300606       0.259479                 NaN  0.324423       0.748159E-001            NaN            NaN            NaN            NaN
  1394.62        500.000        99.0347       0.302579       0.259838                 NaN  0.326638       0.762248E-001            NaN            NaN            NaN            NaN
  1393.61        500.000        99.0446       0.301066       0.253475                 NaN  0.323505       0.773487E-001            NaN            NaN            NaN            NaN
  1392.61        500.000        99.0571       0.297026       0.249480                 NaN  0.319560       0.768470E-001            NaN            NaN            NaN            NaN
  1391.60        500.000        99.0686       0.244329       0.293858                 NaN  0.315940       0.772464E-001            NaN            NaN            NaN            NaN
  1390.60        500.000        99.0793       0.291128       0.239220                 NaN  0.312664       0.777064E-001            NaN            NaN            NaN            NaN
  1389.59        500.000        99.0876       0.234712       0.289549                 NaN  0.310136       0.779551E-001            NaN            NaN            NaN            NaN
  1388.59        500.000        99.1021       0.229577       0.285262                 NaN  0.305275       0.777836E-001            NaN            NaN            NaN            NaN
  1387.59        500.000        99.6908       0.774391E-001  0.971241E-001            NaN  0.106564       0.281177E-001            NaN            NaN            NaN            NaN
  1386.58        500.000        98.5394       0.467016       0.369965                 NaN  0.495949       0.127670                 NaN            NaN            NaN            NaN
  1385.58        500.000        99.1301       0.216032       0.278507                 NaN  0.296502       0.788672E-001            NaN            NaN            NaN            NaN
  1384.57        500.000        99.1412       0.211626       0.275632                 NaN  0.292777       0.788049E-001            NaN            NaN            NaN            NaN
  1383.57        500.000        99.1486       0.206631       0.274194                 NaN  0.290812       0.797449E-001            NaN            NaN            NaN            NaN
  1382.57        500.000        99.1612       0.203070       0.270522                 NaN  0.286218       0.789466E-001            NaN            NaN            NaN            NaN
  1381.56        500.000        99.1690       0.198500       0.268679                 NaN  0.284081       0.797345E-001            NaN            NaN            NaN            NaN
  1380.56        500.000        99.1787       0.194609       0.266260                 NaN  0.280842       0.796371E-001            NaN            NaN            NaN            NaN
  1379.55        500.000        99.1874       0.190244       0.264220                 NaN  0.278125       0.800044E-001            NaN            NaN            NaN            NaN
  1378.55        500.000        99.1960       0.186441       0.262115                 NaN  0.275323       0.801250E-001            NaN            NaN            NaN            NaN
  1377.55        500.000        99.2046       0.260021       0.182308                 NaN  0.272632       0.804566E-001            NaN            NaN            NaN            NaN
  1376.54        500.000        99.1305       0.198105       0.284858                 NaN  0.297958       0.885470E-001            NaN            NaN            NaN            NaN
  1375.54        500.000        99.3040       0.156406       0.228663                 NaN  0.238757       0.721321E-001            NaN            NaN            NaN            NaN
  1374.53        500.000        99.2306       0.253512       0.170837                 NaN  0.264263       0.808096E-001            NaN            NaN            NaN            NaN
  1373.53        500.000        98.5460       0.477356       0.321280                 NaN  0.500279       0.155088                 NaN            NaN            NaN            NaN
  1372.52        500.000        99.8951       0.230337E-001  0.348220E-001            NaN  0.358638E-001  0.112212E-001            NaN            NaN            NaN            NaN
  1371.52        500.000        99.3048       0.230433       0.151198                 NaN  0.238889       0.747218E-001            NaN            NaN            NaN            NaN
  1370.52        500.000        99.2621       0.156935       0.245807                 NaN  0.253933       0.812059E-001            NaN            NaN            NaN            NaN
  1369.51        500.000        99.2699       0.153996       0.243700                 NaN  0.251385       0.810400E-001            NaN            NaN            NaN            NaN
  1368.51        500.000        99.2380       0.255360       0.158393                 NaN  0.262589       0.856137E-001            NaN            NaN            NaN            NaN
  1367.50        500.000        99.3234       0.227297       0.139639                 NaN  0.233090       0.766185E-001            NaN            NaN            NaN            NaN
  1366.50        500.000        99.2926       0.144385       0.237973                 NaN  0.243961       0.811069E-001            NaN            NaN            NaN            NaN
  1365.50        500.000        99.2995       0.236601       0.140610                 NaN  0.241849       0.814687E-001            NaN            NaN            NaN            NaN
  1364.49        500.000        99.3066       0.234160       0.138856                 NaN  0.239335       0.810897E-001            NaN            NaN            NaN            NaN
  1363.49        500.000        99.3135       0.232869       0.135489                 NaN  0.237069       0.810716E-001            NaN            NaN            NaN            NaN
  1362.48        500.000        99.3201       0.131807       0.231715                 NaN  0.235023       0.813826E-001            NaN            NaN            NaN            NaN
  1361.48        500.000        99.3274       0.130675       0.228985                 NaN  0.232356       0.805761E-001            NaN            NaN            NaN            NaN
  1360.48        500.000        99.3341       0.227873       0.126594                 NaN  0.230265       0.811581E-001            NaN            NaN            NaN            NaN
  1359.47        500.000        99.3404       0.124298       0.226197                 NaN  0.228136       0.809484E-001            NaN            NaN            NaN            NaN
  1358.47        500.000        99.3470       0.224558       0.121641                 NaN  0.225948       0.808783E-001            NaN            NaN            NaN            NaN
  1357.46        500.000        99.3531       0.222910       0.119403                 NaN  0.223870       0.806824E-001            NaN            NaN            NaN            NaN
  1356.46        500.000        99.3592       0.116960       0.221332                 NaN  0.221871       0.806260E-001            NaN            NaN            NaN            NaN
  1355.46        500.000        99.3656       0.220119       0.113662                 NaN  0.219807       0.808487E-001            NaN            NaN            NaN            NaN
  1354.45        500.000        99.3719       0.112642       0.217995                 NaN  0.217542       0.799637E-001            NaN            NaN            NaN            NaN
  1353.45        500.000        99.3788       0.109281       0.216381                 NaN  0.215281       0.802862E-001            NaN            NaN            NaN            NaN
  1352.44        500.000        99.3846       0.106933       0.215035                 NaN  0.213361       0.801123E-001            NaN            NaN            NaN            NaN
  1351.44        500.000        99.3900       0.213737       0.104721                 NaN  0.211463       0.800555E-001            NaN            NaN            NaN            NaN
  1350.43        500.000        99.3952       0.102682       0.212277                 NaN  0.209950       0.799362E-001            NaN            NaN            NaN            NaN
  1349.43        500.000        99.4021       0.210223       0.101587                 NaN  0.207188       0.789401E-001            NaN            NaN            NaN            NaN
  1348.43        500.000        99.4072       0.986129E-001  0.209103                 NaN  0.205705       0.794256E-001            NaN            NaN            NaN            NaN
  1347.42        500.000        99.4123       0.207777       0.966997E-001            NaN  0.203970       0.792560E-001            NaN            NaN            NaN            NaN
  1346.42        500.000        99.4187       0.206074       0.950848E-001            NaN  0.201635       0.785366E-001            NaN            NaN            NaN            NaN
  1345.41        500.000        99.4237       0.205102       0.925657E-001            NaN  0.200018       0.786631E-001            NaN            NaN            NaN            NaN
  1344.41        500.000        99.4279       0.103524       0.199578                 NaN  0.197259       0.717335E-001            NaN            NaN            NaN            NaN
  1343.41        500.000        99.4355       0.205467       0.781132E-001            NaN  0.197057       0.839056E-001            NaN            NaN            NaN            NaN
  1342.40        500.000        99.4386       0.876860E-001  0.201200                 NaN  0.194853       0.776829E-001            NaN            NaN            NaN            NaN
  1341.40        500.000        99.4448       0.198879       0.869141E-001            NaN  0.192564       0.768057E-001            NaN            NaN            NaN            NaN
  1340.39        500.000        99.4490       0.197831       0.854562E-001            NaN  0.191087       0.765774E-001            NaN            NaN            NaN            NaN
  1339.39        500.000        99.4486       0.196662       0.844030E-001            NaN  0.192393       0.779809E-001            NaN            NaN            NaN            NaN
  1338.39        500.000        99.4664       0.193990       0.808431E-001            NaN  0.184176       0.745618E-001            NaN            NaN            NaN            NaN
  1337.38        500.000        99.4620       0.194303       0.815493E-001            NaN  0.186519       0.756350E-001            NaN            NaN            NaN            NaN
  1336.38        500.000        99.4699       0.800066E-001  0.191799                 NaN  0.183664       0.746290E-001            NaN            NaN            NaN            NaN
  1335.37        500.000        99.4743       0.774468E-001  0.190904                 NaN  0.182382       0.750006E-001            NaN            NaN            NaN            NaN
  1334.37        500.000        99.4786       0.189464       0.767847E-001            NaN  0.180776       0.743455E-001            NaN            NaN            NaN            NaN
