|6.6.6
Archiving\03_Data\fracLP/QFM_m5/YM20/YM20_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         melt(TH)       mang           iron           Ni             pxmn           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  2000.00        500.000        98.2836       0.218954        1.48323       0.142207E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        500.000        98.2796       0.218146        1.48589       0.142212E-001  0.212293E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        500.000        98.2805       0.218980        1.48631       0.142214E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        500.000        98.2729       0.215482        1.48831       0.142219E-001  0.904951E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        500.000        98.2348       0.201217        1.50381       0.142246E-001  0.459262E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        500.000        98.2018       0.185912        1.51258       0.142264E-001  0.854453E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        500.000        98.2565       0.208106        1.49300       0.142232E-001  0.281602E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        500.000        98.1034       0.140267        1.53884       0.142315E-001  0.203302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        500.000        98.0600       0.120156        1.55041       0.142338E-001  0.255238                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        500.000        98.0167       0.100088        1.56194       0.142361E-001  0.307066                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        500.000        97.9737       0.801661E-001   1.57340       0.142383E-001  0.358523                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        500.000        97.9309       0.603367E-001   1.58481       0.142406E-001  0.409745                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        500.000        97.8882       0.405800E-001   1.59617       0.142428E-001  0.460783                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        500.000        97.8456       0.208442E-001   1.60750       0.142450E-001  0.511771                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        500.000        97.8034       0.129972E-002   1.61876       0.142473E-001  0.562270                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        500.000        97.7933                 NaN   1.62676       0.142486E-001  0.565712                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        500.000        97.7854                 NaN   1.63450       0.142498E-001  0.565802                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        500.000        97.7776                 NaN   1.64224       0.142511E-001  0.565892                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        500.000        97.7698                 NaN   1.64994       0.142523E-001  0.565982                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        500.000        97.7620                 NaN   1.65763       0.142536E-001  0.566072                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        500.000        97.7543                 NaN   1.66530       0.142548E-001  0.566162                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        500.000        97.7581                 NaN   1.66142       0.142545E-001  0.566187                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        500.000        97.7388                 NaN   1.68059       0.142573E-001  0.566341                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        500.000        97.7311                 NaN   1.68821       0.142586E-001  0.566430                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000        97.7234                 NaN   1.69580       0.142598E-001  0.566519                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        97.7158                 NaN   1.70338       0.142611E-001  0.566608                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        97.7081                 NaN   1.71094       0.142623E-001  0.566697                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        97.7005                 NaN   1.71848       0.142635E-001  0.566786                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        97.6929                 NaN   1.72599       0.142648E-001  0.566875                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        97.6853                 NaN   1.73351       0.142660E-001  0.566963                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        97.6777                 NaN   1.74099       0.142672E-001  0.567052                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        97.6701                 NaN   1.74846       0.142685E-001  0.567140                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        97.6626                 NaN   1.75590       0.142697E-001  0.567228                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        97.6551                 NaN   1.76333       0.142709E-001  0.567317                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        97.6260                 NaN   1.79223       0.142751E-001  0.567524                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        97.6401                 NaN   1.77814       0.142734E-001  0.567492                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        97.6326                 NaN   1.78551       0.142746E-001  0.567580                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        97.6156                 NaN   1.80244       0.142771E-001  0.567721                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        97.6178                 NaN   1.80021       0.142770E-001  0.567755                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        97.6104                 NaN   1.80752       0.142782E-001  0.567843                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        97.6030                 NaN   1.81483       0.142794E-001  0.567930                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        97.5956                 NaN   1.82211       0.142806E-001  0.568017                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        97.5882                 NaN   1.82938       0.142819E-001  0.568104                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        97.5809                 NaN   1.83662       0.142831E-001  0.568191                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        97.5736                 NaN   1.84385       0.142843E-001  0.568278                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        97.5663                 NaN   1.85106       0.142855E-001  0.568365                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        97.5590                 NaN   1.85825       0.142867E-001  0.568451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        97.5517                 NaN   1.86543       0.142879E-001  0.568538                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        97.2387                 NaN   1.86857       0.142047E-001  0.568708       0.309853                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.6274                 NaN  0.189922E-002            NaN            NaN  0.370711                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.5203                 NaN  0.211273E-003            NaN            NaN  0.479466                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.5200                 NaN  0.716992E-004            NaN            NaN  0.479951                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.5151                 NaN  0.268160E-005            NaN            NaN  0.484869                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.6146                 NaN            NaN            NaN            NaN  0.385398                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.4557                 NaN            NaN            NaN            NaN  0.544344                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.5333                 NaN  0.919996E-003            NaN            NaN  0.465803                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.5352                 NaN  0.706574E-003            NaN            NaN  0.464141                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.5366                 NaN            NaN            NaN            NaN  0.463361                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.5415                 NaN  0.562819E-002            NaN            NaN  0.452854                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.5456                 NaN            NaN            NaN            NaN  0.454372                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.5439                 NaN            NaN            NaN            NaN  0.456132                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.5526                 NaN            NaN            NaN            NaN  0.447400                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.5408                 NaN            NaN            NaN            NaN  0.459212                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.5498                 NaN            NaN            NaN            NaN  0.450240                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.5526                 NaN            NaN            NaN            NaN  0.447401                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.5533                 NaN            NaN            NaN            NaN  0.446667                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.5542                 NaN            NaN            NaN            NaN  0.445822                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
