|6.6.6
Archiving\03_Data\Deqfrac/QFM_m2.75/YM20/YM20_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q              hed           
  1618.59        2500.00        99.8021                 NaN  0.191561       0.637516E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.04        2500.00        99.1481                 NaN  0.778647       0.732918E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.49        2500.00        99.9942                 NaN            NaN  0.402762E-002  0.176408E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1613.94        2500.00        98.3333                 NaN   1.47753       0.189202                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.39        2500.00        99.1667                 NaN  0.737890       0.954097E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.84        2500.00        99.1822                 NaN  0.726064       0.917251E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.29        2500.00        99.1860                 NaN  0.723511       0.904800E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.74        2500.00        99.1931                 NaN  0.716944       0.899411E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.19        2500.00        99.2040                 NaN  0.707975       0.880554E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.64        2500.00        99.6155                 NaN  0.342133       0.423436E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.09        2500.00        98.8131                 NaN   1.05651       0.130373                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.54        2500.00        99.2282                 NaN  0.687153       0.846199E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.99        2500.00        99.2338                 NaN  0.682596       0.835778E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.44        2500.00        99.2411                 NaN  0.677012       0.819116E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.89        2500.00        99.2486                 NaN  0.669640       0.817334E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.33        2500.00        99.2530                 NaN  0.668170       0.788302E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.78        2500.00        99.2639                 NaN  0.657793       0.782874E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.23        2500.00        99.2676                 NaN  0.654547       0.778904E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
