|6.6.6
Archiving\03_Data\eqLP/QFM_m5/WD94/WD94_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       pxmn           iron           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        96.6347       0.719061        2.64621                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        96.6241       0.719211        2.65674                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        96.6134       0.719361        2.66727                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        96.6027       0.719511        2.67780                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        96.5920       0.719661        2.68834                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        96.5813       0.719811        2.69888                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        96.5706       0.719960        2.70942                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        96.5599       0.720110        2.71997                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        96.5492       0.720260        2.73052                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        96.5388       0.720408        2.74078                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        96.5284       0.720555        2.75105                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        96.5180       0.720703        2.76132                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        96.5076       0.720851        2.77159                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        96.4971       0.720998        2.78186                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        96.4867       0.721146        2.79214                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        96.4763       0.721294        2.80242                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        96.4659       0.721441        2.81270                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        96.4557       0.721587        2.82271                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        96.4456       0.721733        2.83271                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        96.4354       0.721878        2.84272                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        96.4252       0.722024        2.85273                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        96.4151       0.722169        2.86275                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        96.4049       0.722315        2.87276                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        96.3948       0.722460        2.88278                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        96.3846       0.722606        2.89281                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        96.3747       0.722749        2.90255                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        96.3648       0.722893        2.91230                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        96.3549       0.723036        2.92206                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        96.3450       0.723180        2.93181                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        96.3351       0.723323        2.94157                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        96.3252       0.723467        2.95133                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        96.3153       0.723610        2.96109                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        96.3054       0.723754        2.97086                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        96.2957       0.723896        2.98042                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        96.2860       0.724038        2.98999                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        96.2763       0.724180        2.99956                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        96.2665       0.724322        3.00913                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        96.2569       0.724463        3.01861                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        96.2473       0.724604        3.02808                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        95.8448       0.724882        3.03228       0.398074                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        95.2564       0.725222        3.03361       0.984796                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        94.6944       0.725537        3.03320        1.54686                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        94.1320       0.725852        3.03279        2.10939                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        93.5691       0.726166        3.03237        2.67238                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        93.0057       0.726479        3.03195        3.23584                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        92.4419       0.726790        3.03153        3.79975                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        91.8777       0.727101        3.03110        4.36412                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        91.3130       0.727411        3.03066        4.92894                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        90.7478       0.727720        3.03022        5.49422                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        90.2175       0.727993        3.02671        6.02782                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        89.6867       0.728265        3.02320        6.56180                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        89.1556       0.728536        3.01968        7.09614                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        88.6242       0.728806        3.01616        7.63086                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        88.0924       0.729075        3.01263        8.16593                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        87.5602       0.729342        3.00909        8.70136                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        87.0277       0.729609        3.00554        9.23716                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        86.4948       0.729875        3.00199        9.77331                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        85.9765       0.730116        2.99567        10.2977                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        85.4578       0.730355        2.98935        10.8225                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        84.9389       0.730594        2.98302        11.3475                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        84.4196       0.730832        2.97668        11.8728                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        83.9082       0.731060        2.96974        12.3910                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        83.3923       0.731284        2.96158        12.9135       0.135436E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        82.8697       0.731514        2.95235        13.4337       0.127458E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        82.3468       0.731742        2.94312        13.9542       0.241446E-001            NaN            NaN            NaN            NaN            NaN            NaN
