|6.6.6
Archiving\03_Data\eqLP/QFM_m5/WD94/WD94_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       pxmn           iron           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        92.6067       0.866546        6.52676                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        92.5812       0.866609        6.55221                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        92.5557       0.866671        6.57767                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        92.5301       0.866733        6.60313                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        92.5046       0.866795        6.62859                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        92.4791       0.866857        6.65406                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        92.4535       0.866920        6.67953                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        92.4280       0.866982        6.70501                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        92.4025       0.867044        6.73049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        92.3776       0.867104        6.75526                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        92.3528       0.867165        6.78003                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        92.3280       0.867225        6.80481                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        92.3031       0.867286        6.82959                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        92.2783       0.867346        6.85437                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        92.2534       0.867407        6.87916                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        92.2286       0.867467        6.90395                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        92.2037       0.867528        6.92874                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        92.1796       0.867587        6.95284                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        92.1554       0.867646        6.97695                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        92.1312       0.867705        7.00105                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        92.1071       0.867763        7.02516                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        92.0829       0.867822        7.04928                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        92.0587       0.867881        7.07340                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        92.0345       0.867940        7.09752                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        92.0104       0.867999        7.12164                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        91.9869       0.868056        7.14508                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        91.9634       0.868113        7.16853                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        91.9398       0.868171        7.19198                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        91.9163       0.868228        7.21543                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        91.8928       0.868285        7.23889                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        91.8693       0.868342        7.26235                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        91.8458       0.868400        7.28581                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        91.8223       0.868457        7.30927                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        91.7992       0.868513        7.33224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        91.7762       0.868569        7.35521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        91.7532       0.868625        7.37818                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        91.7302       0.868681        7.40115                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        91.7074       0.868736        7.42389                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        91.6846       0.868792        7.44662                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        91.2594       0.868812        7.45465       0.417116                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        90.6446       0.868813        7.45483        1.03176                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        90.0584       0.868804        7.45091        1.62193                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        89.4721       0.868795        7.44700        2.21209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        88.8859       0.868785        7.44308        2.80223                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        88.2997       0.868776        7.43916        3.39236                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        87.7135       0.868767        7.43524        3.98248                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        87.1273       0.868758        7.43132        4.57259                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        86.5412       0.868749        7.42740        5.16268                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        85.9550       0.868740        7.42348        5.75276                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        85.4063       0.868713        7.41228        6.31268                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        84.8577       0.868686        7.40108        6.87256                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        84.3091       0.868659        7.38987        7.43240                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        83.7605       0.868632        7.37867        7.99221                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        83.2119       0.868605        7.36747        8.55199                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        82.6634       0.868578        7.35627        9.11173                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        82.1149       0.868552        7.34507        9.67143                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        81.5665       0.868525        7.33387        10.2311                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        81.0342       0.868482        7.31605        10.7812                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        80.5020       0.868439        7.29823        11.3313                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        79.9699       0.868396        7.28041        11.8813                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        79.4378       0.868352        7.26260        12.4313                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        78.9143       0.868306        7.24337        12.9741                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        78.3864       0.868252        7.22119        13.5222       0.193966E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        77.8494       0.868192        7.19630        14.0678       0.182574E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        77.3125       0.868132        7.17141        14.6134       0.345729E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        76.7787       0.868056        7.14048        15.1624       0.503712E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        76.2449       0.867981        7.10955        15.7114       0.661668E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        75.7113       0.867906        7.07863        16.2603       0.819597E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        75.1777       0.867831        7.04771        16.8090       0.977498E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        74.6442       0.867756        7.01679        17.3577       0.113537                 NaN            NaN            NaN            NaN            NaN            NaN
