|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.75/TAY13/TAY13_1.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         ilm            q             
  1557.69        500.000        99.7622       0.150247       0.875542E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.29        500.000        99.3172       0.644194       0.386468E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.89        500.000        99.3336       0.628005       0.383454E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.50        500.000        99.3312       0.632997       0.357866E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.10        500.000        99.3401       0.624114       0.357869E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.70        500.000        99.3438       0.622189       0.340520E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.30        500.000        99.3503       0.614547       0.351479E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.91        500.000        99.3555       0.610789       0.337313E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.51        500.000        99.3513       0.617973       0.307104E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.11        500.000        99.3736       0.594945       0.315041E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.71        500.000        99.3705       0.598274       0.312486E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.32        500.000        99.3754       0.594113       0.304671E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.92        500.000        99.3801       0.591034       0.288415E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.52        500.000        99.3839       0.587892       0.282512E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.12        500.000        99.3901       0.583246       0.266907E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.72        500.000        99.3938       0.580229       0.259579E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.33        500.000        99.3980       0.575958       0.260104E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.93        500.000        99.7894       0.201237       0.937147E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.53        500.000        99.0211       0.935500       0.433984E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.13        500.000        98.8641        1.09821       0.376784E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.74        500.000        99.9516       0.463052E-001  0.213760E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.34        500.000        99.8250       0.167970       0.698736E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.94        500.000        99.0366       0.927994       0.353874E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.54        500.000        99.0250       0.722057       0.252949                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.14        500.000        99.8977                 NaN  0.102349                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.75        500.000        98.2099        1.79008                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.35        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.95        500.000       100.0000                 NaN  0.641428E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.55        500.000        99.5260       0.473965                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.16        500.000        99.7432       0.256815                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.76        500.000        99.1885       0.811496                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.36        500.000        99.4616       0.538363                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.96        500.000        99.4564       0.543632                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.57        500.000        99.6586       0.341437                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.17        500.000        99.2787       0.721261       0.198048E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        500.000        99.4731       0.526886                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.37        500.000        99.4760       0.524032                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.97        500.000        99.4794       0.520592                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.58        500.000        99.4843       0.515725                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.18        500.000        99.4898       0.477645       0.325666E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.78        500.000        99.4309       0.569105       0.411497E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.38        500.000        99.6326       0.270876       0.965324E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.99        500.000        99.4443       0.555749                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.59        500.000        99.4823       0.517655                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.19        500.000        99.5055       0.494521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.79        500.000        99.5055       0.494451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.39        500.000        99.5088       0.491212                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.00        500.000        99.5109       0.489140                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.60        500.000        99.5149       0.475198       0.988890E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.20        500.000        99.5172       0.482757                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.80        500.000        99.5173       0.482723       0.413619E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.41        500.000        99.5212       0.475253       0.356246E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.01        500.000        99.5242       0.475800                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.61        500.000        99.5285       0.471455                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.21        500.000        99.5303       0.469689                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.82        500.000        99.5318       0.468159                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.42        500.000        99.5331       0.466928       0.444608E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.02        500.000        99.5945       0.405526                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.62        500.000        99.4812       0.518837                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.22        500.000        99.5428       0.457247                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.83        500.000        99.5331       0.466942                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.43        500.000        99.5592       0.440843                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.03        500.000        99.5490       0.451031                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.63        500.000        99.5527       0.447254                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.24        500.000        99.5534       0.446588                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.84        500.000        99.5611       0.438913                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.44        500.000        99.5519       0.448095                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.04        500.000        99.5604       0.439559                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.65        500.000        99.5630       0.436954                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.25        500.000        99.5654       0.434579                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.85        500.000        99.5640       0.436001       0.100572E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.45        500.000        99.5691       0.430861                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.05        500.000        99.5700       0.429954                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.66        500.000        99.5714       0.428635                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.26        500.000        99.5730       0.426954                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.86        500.000        99.5748       0.425179                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.46        500.000        99.5771       0.422913                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.07        500.000        99.5779       0.422120                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.67        500.000        99.5801       0.419911                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
