|6.6.6
Archiving\03_Data\eqfracLP/QFM_m5/Y98/Y98_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        iron           Opx(TH)        an             San(TH)        ilm            q             
  1464.74        500.000        92.2106                 NaN   4.77864        2.85472       0.155996                 NaN            NaN            NaN            NaN            NaN
  1463.58        500.000        99.7638                 NaN  0.111294                 NaN  0.260382E-002  0.122327                 NaN            NaN            NaN            NaN
  1462.41        500.000        98.4122                 NaN   1.00056       0.555266       0.319867E-001            NaN            NaN            NaN            NaN            NaN
  1461.25        500.000        99.0934                 NaN  0.553141       0.336292       0.171248E-001            NaN            NaN            NaN            NaN            NaN
  1460.08        500.000        99.1013                 NaN  0.548467       0.333443       0.167936E-001            NaN            NaN            NaN            NaN            NaN
  1458.92        500.000        99.1089                 NaN  0.330792       0.543722       0.165451E-001            NaN            NaN            NaN            NaN            NaN
  1457.75        500.000        99.1166                 NaN  0.327988       0.539212       0.162123E-001            NaN            NaN            NaN            NaN            NaN
  1456.59        500.000        99.1246                 NaN  0.534276       0.325215       0.158987E-001            NaN            NaN            NaN            NaN            NaN
  1455.42        500.000        99.0950                 NaN  0.336567       0.552185       0.162753E-001            NaN            NaN            NaN            NaN            NaN
  1454.26        500.000        99.1761                 NaN  0.503344       0.305748       0.147790E-001            NaN            NaN            NaN            NaN            NaN
  1453.09        500.000        99.1476                 NaN  0.520747       0.316678       0.150039E-001            NaN            NaN            NaN            NaN            NaN
  1451.93        500.000        99.1541                 NaN  0.314277       0.516894       0.147764E-001            NaN            NaN            NaN            NaN            NaN
  1450.76        500.000        99.1308                 NaN  0.531025       0.323131       0.150579E-001            NaN            NaN            NaN            NaN            NaN
  1449.60        500.000        98.8818                 NaN  0.406546       0.567664       0.275628E-001            NaN  0.116433                 NaN            NaN            NaN
  1448.43        500.000        96.3292                 NaN   1.28310        1.19308       0.138699                 NaN   1.05593                 NaN            NaN            NaN
  1447.27        500.000        96.4734                 NaN   1.14764        1.23129       0.132379                 NaN   1.01525                 NaN            NaN            NaN
  1446.10        500.000        96.3007                 NaN   1.28855        1.20585       0.138260                 NaN   1.06663                 NaN            NaN            NaN
  1444.94        500.000        97.0454                 NaN   1.02949       0.963468       0.109835                 NaN  0.851790                 NaN            NaN            NaN
  1443.77        500.000        96.8536                 NaN   1.09528        1.02701       0.116420                 NaN  0.907712                 NaN            NaN            NaN
  1442.61        500.000        96.9639                 NaN   1.05626       0.991657       0.111732                 NaN  0.876442                 NaN            NaN            NaN
  1441.44        500.000        97.0655                 NaN  0.959234        1.02021       0.107407                 NaN  0.847677                 NaN            NaN            NaN
  1440.28        500.000        97.1620                 NaN  0.928746       0.985478       0.103381                 NaN  0.820360                 NaN            NaN            NaN
  1439.12        500.000        97.2520                 NaN  0.953472       0.900089       0.996179E-001            NaN  0.794870                 NaN            NaN            NaN
  1437.95        500.000        97.3398                 NaN  0.871535       0.923184       0.957713E-001            NaN  0.769663                 NaN            NaN            NaN
  1436.79        500.000        97.4189                 NaN  0.894299       0.846610       0.926196E-001            NaN  0.747582                 NaN            NaN            NaN
  1435.62        500.000        97.4962                 NaN  0.867708       0.821413       0.892584E-001            NaN  0.725428                 NaN            NaN            NaN
  1434.46        500.000        97.5664                 NaN  0.842537       0.799207       0.863658E-001            NaN  0.705466                 NaN            NaN            NaN
  1433.29        500.000        97.6363                 NaN  0.818262       0.776502       0.833755E-001            NaN  0.685557                 NaN            NaN            NaN
  1432.13        500.000        97.7013                 NaN  0.795153       0.756038       0.805923E-001            NaN  0.666960                 NaN            NaN            NaN
  1430.96        500.000        97.7632                 NaN  0.735745       0.773673       0.780129E-001            NaN  0.649332                 NaN            NaN            NaN
  1429.80        500.000        97.8226                 NaN  0.716764       0.752661       0.755543E-001            NaN  0.632431                 NaN            NaN            NaN
  1428.63        500.000        97.8765                 NaN  0.699452       0.733692       0.733013E-001            NaN  0.617076                 NaN            NaN            NaN
