|6.6.6
Archiving\03_Data\eqfracLP/QFM_m5/Y98/Y98_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        iron           Opx(TH)        an             San(TH)        ilm            q             
  1464.74        500.000        93.2788                 NaN   4.18185        2.48047       0.588728E-001            NaN            NaN            NaN            NaN            NaN
  1463.58        500.000        99.7981                 NaN  0.962707E-001            NaN  0.971692E-003  0.104613                 NaN            NaN            NaN            NaN
  1462.41        500.000        98.6436                 NaN  0.866868       0.477571       0.119540E-001            NaN            NaN            NaN            NaN            NaN
  1461.25        500.000        99.2263                 NaN  0.478538       0.288781       0.639132E-002            NaN            NaN            NaN            NaN            NaN
  1460.08        500.000        99.2333                 NaN  0.474276       0.286170       0.626566E-002            NaN            NaN            NaN            NaN            NaN
  1458.92        500.000        99.2401                 NaN  0.283745       0.469965       0.617091E-002            NaN            NaN            NaN            NaN            NaN
  1457.75        500.000        99.2469                 NaN  0.281177       0.465848       0.604482E-002            NaN            NaN            NaN            NaN            NaN
  1456.59        500.000        99.2541                 NaN  0.461365       0.278655       0.592592E-002            NaN            NaN            NaN            NaN            NaN
  1455.42        500.000        99.2291                 NaN  0.288214       0.476651       0.606456E-002            NaN            NaN            NaN            NaN            NaN
  1454.26        500.000        99.2986                 NaN  0.434262       0.261674       0.550468E-002            NaN            NaN            NaN            NaN            NaN
  1453.09        500.000        99.2745                 NaN  0.449066       0.270869       0.558690E-002            NaN            NaN            NaN            NaN            NaN
  1451.93        500.000        99.2803                 NaN  0.268670       0.445535       0.550040E-002            NaN            NaN            NaN            NaN            NaN
  1450.76        500.000        99.2608                 NaN  0.457530       0.276090       0.560353E-002            NaN            NaN            NaN            NaN            NaN
  1449.60        500.000        99.0335                 NaN  0.347210       0.488926       0.102552E-001            NaN  0.120095                 NaN            NaN            NaN
  1448.43        500.000        96.7313                 NaN   1.09715        1.02902       0.516820E-001            NaN   1.09080                 NaN            NaN            NaN
  1447.27        500.000        96.8637                 NaN  0.988417        1.05120       0.492641E-001            NaN   1.04747                 NaN            NaN            NaN
  1446.10        500.000        96.7130                 NaN   1.09872        1.03746       0.514009E-001            NaN   1.09941                 NaN            NaN            NaN
