|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.5/TAY13/TAY13_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1596.15        2500.00       0.423386E-002   99.4922       0.503608                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.66        2500.00       0.174643E-003   99.2427       0.727127       0.300407E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.16        2500.00                 NaN   99.2393       0.665280       0.954431E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.67        2500.00                 NaN   99.2500       0.657207       0.928185E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.17        2500.00                 NaN   99.2561       0.651381       0.925289E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        2500.00                 NaN   99.2611       0.647137       0.917222E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.19        2500.00                 NaN   99.2680       0.642641       0.893116E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.69        2500.00                 NaN   99.2763       0.634999       0.886738E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.20        2500.00                 NaN   99.2559       0.656010       0.881023E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.70        2500.00                 NaN   99.3147       0.599353       0.859343E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.21        2500.00                 NaN   99.2896       0.623149       0.872364E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.71        2500.00                 NaN   99.3064       0.609212       0.843592E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.22        2500.00                 NaN   99.3070       0.609829       0.831478E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        2500.00                 NaN   99.3124       0.605635       0.819311E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.23        2500.00                 NaN   99.3167       0.592904       0.904342E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        2500.00                 NaN   99.3259       0.604393       0.697039E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.24        2500.00                 NaN   99.3286       0.592683       0.787054E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.75        2500.00                 NaN   99.3367       0.584648       0.786840E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.26        2500.00                 NaN   99.3397       0.583812       0.764932E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.76        2500.00                 NaN   99.3478       0.576351       0.758388E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.27        2500.00                 NaN   99.3508       0.574872       0.743651E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.77        2500.00                 NaN   99.3539       0.572351       0.737900E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.28        2500.00                 NaN   99.3661       0.560961       0.729417E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        2500.00                 NaN   99.3644       0.565821       0.698034E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.29        2500.00                 NaN   99.3738       0.555479       0.706731E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        2500.00                 NaN   99.5313       0.416529       0.521833E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        2500.00                 NaN   99.1325       0.775068       0.924312E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.81        2500.00                 NaN   99.4803       0.461349       0.583899E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.31        2500.00                 NaN   99.3909       0.542447       0.666778E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.82        2500.00                 NaN   99.6839       0.285090       0.310566E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.33        2500.00                 NaN   99.1125       0.790073       0.974568E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.83        2500.00                 NaN   99.4035       0.532343       0.641842E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.34        2500.00                 NaN   99.4126       0.524842       0.625469E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.84        2500.00                 NaN   99.4143       0.523552       0.621346E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.35        2500.00                 NaN   99.4176       0.521562       0.607937E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00                 NaN   99.4228       0.517403       0.598127E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.36        2500.00                 NaN   99.4276       0.511401       0.609911E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.87        2500.00                 NaN   99.4315       0.510737       0.577440E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.37        2500.00                 NaN   99.4351       0.507357       0.575372E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.88        2500.00                 NaN   99.4402       0.502661       0.571195E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.39        2500.00                 NaN   99.4429       0.501002       0.561479E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.89        2500.00                 NaN   99.4478       0.497076       0.551259E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.40        2500.00                 NaN   99.4513       0.494051       0.546905E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.90        2500.00                 NaN   99.2821       0.650465       0.673926E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.41        2500.00                 NaN   99.6293       0.335087       0.356500E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.92        2500.00                 NaN   99.4619       0.486104       0.519805E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.42        2500.00                 NaN   99.4663       0.484161       0.494963E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        2500.00                 NaN   99.4665       0.485336       0.481669E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.43        2500.00                 NaN   99.4719       0.481030       0.470636E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.94        2500.00                 NaN   99.4734       0.479035       0.475746E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.44        2500.00                 NaN   99.4809       0.473156       0.459379E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.95        2500.00                 NaN   98.9583        1.01291       0.112415E-001  0.174982E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.46        2500.00                 NaN   99.9753                 NaN  0.246631E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.96        2500.00                 NaN   99.5178       0.415948       0.662729E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.47        2500.00                 NaN   99.4915       0.465545       0.429406E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.97        2500.00                 NaN   99.4951       0.462807       0.420773E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.48        2500.00                 NaN   99.4983       0.459948       0.417582E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.99        2500.00                 NaN   99.6372       0.333493       0.293302E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.49        2500.00                 NaN   99.3663       0.584880       0.488178E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.00        2500.00                 NaN   99.5070       0.454360       0.386557E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.50        2500.00                 NaN   99.5090       0.452908       0.380504E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.01        2500.00                 NaN   99.5281       0.431272       0.405941E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.52        2500.00                 NaN   99.5012       0.464061       0.347514E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.02        2500.00                 NaN   99.5173       0.447486       0.352225E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.53        2500.00                 NaN   99.5204       0.444886       0.347479E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.03        2500.00                 NaN   99.5222       0.445138       0.326427E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.54        2500.00                 NaN   99.5251       0.434079       0.407951E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.04        2500.00                 NaN   99.5283       0.449467       0.222722E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.55        2500.00                 NaN   99.5309       0.437523       0.315365E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        2500.00                 NaN   99.5333       0.436324       0.303851E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.56        2500.00                 NaN   99.5346       0.436499       0.289343E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.07        2500.00                 NaN   99.5369       0.435775       0.273171E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.57        2500.00                 NaN   99.5401       0.430224       0.296651E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.08        2500.00                 NaN   99.5251       0.396247       0.187134E-001            NaN  0.599664E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1485.59        2500.00                 NaN   99.4745       0.164945                 NaN            NaN  0.360549                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.09        2500.00                 NaN   99.4156       0.342101E-001  0.304642E-001            NaN  0.519761                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.60        2500.00                 NaN   99.1074                 NaN            NaN            NaN  0.892612                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.10        2500.00                 NaN   99.8746                 NaN  0.201940E-002            NaN  0.123392                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.61        2500.00                 NaN   99.2248                 NaN            NaN            NaN  0.775197                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.12        2500.00                 NaN   99.3613                 NaN            NaN            NaN  0.638749                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.62        2500.00                 NaN   99.3948                 NaN            NaN            NaN  0.605190                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.13        2500.00                 NaN   99.4223                 NaN            NaN            NaN  0.577729                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.63        2500.00                 NaN   99.3872                 NaN            NaN            NaN  0.612779                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.14        2500.00                 NaN   99.3806                 NaN            NaN            NaN  0.619442                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.64        2500.00                 NaN   99.2827                 NaN  0.127105E-005            NaN  0.190795       0.526526                 NaN            NaN            NaN            NaN            NaN
