|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.25/ALH/ALH_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1525.64        500.000       0.196198E-001   99.9470       0.333859E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.32        500.000                 NaN   99.4765       0.378413E-001  0.485639                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.01        500.000                 NaN   99.4461       0.705891E-002  0.546828                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.69        500.000                 NaN   99.4480       0.605890E-002  0.545915                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.37        500.000                 NaN   99.4515       0.608629E-002  0.542395                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.05        500.000                 NaN   99.4506       0.244027E-002  0.546924                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.74        500.000                 NaN   99.3943       0.803248E-002  0.597674                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.42        500.000                 NaN   99.5299       0.431949E-002  0.465755                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.10        500.000                 NaN   99.4605       0.420966E-002  0.535293                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        500.000                 NaN   99.4738       0.322867E-002  0.523021                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.47        500.000                 NaN   99.4714       0.833407E-002  0.520225                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.15        500.000                 NaN   99.1678                 NaN  0.832222                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.83        500.000                 NaN   99.7646       0.185930E-002  0.233549                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.51        500.000                 NaN   99.6659       0.125133E-002  0.332857                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.20        500.000                 NaN   99.3191       0.632469E-002  0.674536                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.88        500.000                 NaN   99.5023       0.106850       0.390828                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.56        500.000                 NaN   99.4790                 NaN  0.520970                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.24        500.000                 NaN   99.5065                 NaN  0.493474                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.93        500.000                 NaN   99.4962                 NaN  0.503771                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.61        500.000                 NaN   99.4984                 NaN  0.501556                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.29        500.000                 NaN   99.5018                 NaN  0.498206                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.97        500.000                 NaN   99.5050       0.797517E-002  0.487060                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.66        500.000                 NaN   99.5066                 NaN  0.493364                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.34        500.000                 NaN   99.4467                 NaN  0.253695       0.299603                 NaN            NaN            NaN            NaN            NaN            NaN
  1494.02        500.000                 NaN   99.3263                 NaN  0.145880E-001  0.659153                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.71        500.000                 NaN   99.4386                 NaN  0.100314E-001  0.551347                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.39        500.000                 NaN   99.3819                 NaN  0.866613E-002  0.609475                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.07        500.000                 NaN   99.3855                 NaN  0.648683E-002  0.607966                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.75        500.000                 NaN   99.3854                 NaN  0.432982E-002  0.610230                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.44        500.000                 NaN   99.3840                 NaN  0.200266E-002  0.613969                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.12        500.000                 NaN   99.3865                 NaN  0.147626E-001  0.598714                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.80        500.000                 NaN   99.3846                 NaN  0.100034E-001  0.605443                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.48        500.000                 NaN   99.3850                 NaN  0.309482E-002  0.611942                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.17        500.000                 NaN   99.3810                 NaN  0.588150E-001  0.560175                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.85        500.000                 NaN   99.3898                 NaN            NaN  0.610233                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.53        500.000                 NaN   99.3811                 NaN            NaN  0.618872                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.21        500.000                 NaN   99.3209                 NaN            NaN  0.679069                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.90        500.000                 NaN   99.4373                 NaN            NaN  0.562698                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.58        500.000                 NaN   99.3739                 NaN            NaN  0.626133                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.26        500.000                 NaN   99.3728                 NaN            NaN  0.627209                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.94        500.000                 NaN   99.2337                 NaN            NaN  0.766274                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.63        500.000                 NaN   99.4960                 NaN            NaN  0.504045                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.31        500.000                 NaN   99.3530                 NaN            NaN  0.640872       0.608813E-002            NaN            NaN            NaN            NaN            NaN
