|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.5/EETA/EETA_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1461.54        2500.00       0.608898E-002   99.9075       0.864356E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.38        2500.00       0.493594E-003   99.3361       0.905798E-001  0.572814                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.23        2500.00       0.840702E-003   99.3014       0.203556       0.494217                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00       0.801331E-003   99.3052       0.491668       0.202347                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.91        2500.00       0.809373E-003   99.2946       0.205202       0.499377                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.76        2500.00       0.717123E-003   99.3255       0.477440       0.196347                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.60        2500.00       0.694996E-003   99.3151       0.484613       0.199569                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00       0.685313E-003   99.3189       0.197956       0.482454                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.29        2500.00       0.670844E-003   99.2920       0.505273       0.197642                 NaN  0.437549E-002            NaN            NaN            NaN            NaN
  1451.13        2500.00       0.584259E-003   99.3592       0.453251       0.187003                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.97        2500.00       0.565951E-003   99.3297       0.477908       0.187199                 NaN  0.465318E-002            NaN            NaN            NaN            NaN
  1448.82        2500.00       0.546062E-003   99.3334       0.194357       0.471704                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.66        2500.00       0.512777E-003   99.2875       0.206982       0.505047                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.50        2500.00       0.449256E-003   99.3874       0.432958       0.179200                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.35        2500.00       0.441725E-003   99.3441       0.471651       0.174047                 NaN  0.972359E-002            NaN            NaN            NaN            NaN
  1444.19        2500.00       0.338931E-003   99.3531       0.482032       0.129153                 NaN  0.353485E-001            NaN            NaN            NaN            NaN
  1443.03        2500.00       0.368505E-003   99.3524       0.469267       0.162299                 NaN  0.156610E-001            NaN            NaN            NaN            NaN
  1441.88        2500.00       0.398704E-003   99.3515       0.188363       0.459711                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.72        2500.00       0.360161E-003   99.3521       0.462157       0.183239                 NaN  0.209704E-002            NaN            NaN            NaN            NaN
  1439.56        2500.00       0.404698E-003   99.0660       0.684851       0.218351                 NaN  0.303657E-001            NaN            NaN            NaN            NaN
  1438.41        2500.00       0.152556E-003   99.6666       0.243214       0.792978E-001            NaN  0.107358E-001            NaN            NaN            NaN            NaN
  1437.25        2500.00       0.226242E-003   99.4376       0.412244       0.131088                 NaN  0.188133E-001            NaN            NaN            NaN            NaN
  1436.09        2500.00       0.261030E-003   99.2987       0.513365       0.164644                 NaN  0.230542E-001            NaN            NaN            NaN            NaN
  1434.93        2500.00       0.234721E-003   99.3711       0.159921       0.455869                 NaN  0.129182E-001            NaN            NaN            NaN            NaN
  1433.78        2500.00       0.179572E-003   99.3763       0.135003       0.461694                 NaN  0.267731E-001            NaN            NaN            NaN            NaN
  1432.62        2500.00       0.676702E-002   98.5424       0.532932       0.322125                 NaN  0.186906       0.408847                 NaN            NaN            NaN
