|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2/TIS/TIS_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             Sp(TH)         ilm            San(TH)        q             
  1426.28        500.000        94.8870        3.14457        1.96841                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1425.21        500.000        99.4428       0.361541       0.195630                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1424.14        500.000        99.4464       0.194537       0.359098                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1423.07        500.000        99.4474       0.194186       0.358368                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.01        500.000        99.4511       0.355837       0.193055                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.94        500.000        99.4580       0.351347       0.190625                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.87        500.000        99.4585       0.351039       0.190460                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1418.80        500.000        99.4614       0.189137       0.349460                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.73        500.000        99.4563       0.191089       0.352572                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1416.66        500.000        99.4750       0.184230       0.340735                 NaN  0.110970E-005            NaN            NaN            NaN            NaN            NaN
  1415.60        500.000        99.4699       0.186091       0.343981                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1414.53        500.000        99.3853       0.220878       0.350816                 NaN            NaN  0.429716E-001            NaN            NaN            NaN            NaN
  1413.46        500.000        98.4906       0.585295       0.446619                 NaN            NaN  0.477479                 NaN            NaN            NaN            NaN
  1412.39        500.000        98.5972       0.543974       0.415110                 NaN            NaN  0.443721                 NaN            NaN            NaN            NaN
  1411.32        500.000        98.5747       0.552421       0.421995                 NaN            NaN  0.450849                 NaN            NaN            NaN            NaN
  1410.25        500.000        97.0725        1.12717       0.874869                 NaN  0.486707E-003  0.925002                 NaN            NaN            NaN            NaN
  1409.19        500.000        99.9781       0.672093E-002  0.833315E-002            NaN            NaN  0.685141E-002            NaN            NaN            NaN            NaN
  1408.12        500.000        98.7882       0.474135       0.352531                 NaN            NaN  0.383220       0.188617E-002            NaN            NaN            NaN
  1407.05        500.000        98.6486       0.522752       0.401313                 NaN            NaN  0.427321                 NaN            NaN            NaN            NaN
  1405.98        500.000        98.6662       0.516819       0.395319                 NaN            NaN  0.421680                 NaN            NaN            NaN            NaN
  1404.91        500.000        98.5866       0.426017       0.448031                 NaN  0.765958E-001  0.462782                 NaN            NaN            NaN            NaN
  1403.84        500.000        98.7928       0.414258       0.230245                 NaN  0.149785       0.412865                 NaN            NaN            NaN            NaN
  1402.78        500.000        98.7154       0.379826       0.409132                 NaN  0.739526E-001  0.421658                 NaN            NaN            NaN            NaN
  1401.71        500.000        98.7330       0.421160       0.303702                 NaN  0.117156       0.424987                 NaN            NaN            NaN            NaN
  1400.64        500.000        98.7481       0.417383       0.295981                 NaN  0.118145       0.420388                 NaN            NaN            NaN            NaN
  1399.57        500.000        98.7642       0.413630       0.288125                 NaN  0.118703       0.415369                 NaN            NaN            NaN            NaN
  1398.50        500.000        98.7768       0.281467       0.410373                 NaN  0.119737       0.411667                 NaN            NaN            NaN            NaN
  1397.43        500.000        98.7962       0.405738       0.272674                 NaN  0.119931       0.405425                 NaN            NaN            NaN            NaN
  1396.37        500.000        98.8098       0.265171       0.402678                 NaN  0.120907       0.401409                 NaN            NaN            NaN            NaN
  1395.30        500.000        98.8242       0.399345       0.257992                 NaN  0.121547       0.396927                 NaN            NaN            NaN            NaN
  1394.23        500.000        98.8379       0.396242       0.250930                 NaN  0.122210       0.392680                 NaN            NaN            NaN            NaN
  1393.16        500.000        98.8508       0.392491       0.244203                 NaN  0.123470       0.389084                 NaN            NaN            NaN            NaN
  1392.09        500.000        98.8682       0.236869       0.388923                 NaN  0.122973       0.383030                 NaN            NaN            NaN            NaN
  1391.02        500.000        99.6074       0.810161E-001  0.135137                 NaN  0.433002E-001  0.133120                 NaN            NaN            NaN            NaN
  1389.96        500.000        98.1620       0.635133       0.375449                 NaN  0.204550       0.622861                 NaN            NaN            NaN            NaN
  1388.89        500.000        98.9040       0.380917       0.217016                 NaN  0.125746       0.372341                 NaN            NaN            NaN            NaN
  1387.82        500.000        98.9194       0.210288       0.377207                 NaN  0.125747       0.367379                 NaN            NaN            NaN            NaN
  1386.75        500.000        98.9316       0.204150       0.374425                 NaN  0.126248       0.363546                 NaN            NaN            NaN            NaN
  1385.68        500.000        98.9427       0.371924       0.198076                 NaN  0.127140       0.360181                 NaN            NaN            NaN            NaN
  1384.61        500.000        98.9550       0.192070       0.369128                 NaN  0.127480       0.356296                 NaN            NaN            NaN            NaN
  1383.55        500.000        98.9665       0.185798       0.366511                 NaN  0.128356       0.352871                 NaN            NaN            NaN            NaN
  1382.48        500.000        98.9782       0.363912       0.180304                 NaN  0.128576       0.348986                 NaN            NaN            NaN            NaN
  1381.41        500.000        98.9893       0.361515       0.174551                 NaN  0.129000       0.345625                 NaN            NaN            NaN            NaN
  1380.34        500.000        99.0012       0.168741       0.358904                 NaN  0.129371       0.341820                 NaN            NaN            NaN            NaN
  1379.27        500.000        99.0121       0.356642       0.163047                 NaN  0.129799       0.338378                 NaN            NaN            NaN            NaN
  1378.20        500.000        99.0221       0.354430       0.157941                 NaN  0.130262       0.335217                 NaN            NaN            NaN            NaN
  1377.13        500.000        99.0288       0.154905       0.351554                 NaN  0.131332       0.333413                 NaN            NaN            NaN            NaN
  1376.07        500.000        99.0478       0.146607       0.348390                 NaN  0.130451       0.326787                 NaN            NaN            NaN            NaN
  1375.00        500.000        99.0539       0.347268       0.142193                 NaN  0.131438       0.325178                 NaN            NaN            NaN            NaN
  1373.93        500.000        99.0638       0.345514       0.136480                 NaN  0.132020       0.322179                 NaN            NaN            NaN            NaN
  1372.86        500.000        99.0722       0.132083       0.344070                 NaN  0.132228       0.319411                 NaN            NaN            NaN            NaN
  1371.79        500.000        99.0847       0.340630       0.126842                 NaN  0.132367       0.315418                 NaN            NaN            NaN            NaN
  1370.72        500.000        99.0938       0.122731       0.338672                 NaN  0.132428       0.312406                 NaN            NaN            NaN            NaN
  1369.66        500.000        99.1025       0.336950       0.117922                 NaN  0.132938       0.309715                 NaN            NaN            NaN            NaN
  1368.59        500.000        99.1116       0.113338       0.335002                 NaN  0.133256       0.306771                 NaN            NaN            NaN            NaN
  1367.52        500.000        99.1198       0.333044       0.107219                 NaN  0.135006       0.304940                 NaN            NaN            NaN            NaN
  1366.45        500.000        99.1342       0.329210       0.105720                 NaN  0.132084       0.298746                 NaN            NaN            NaN            NaN
  1365.38        500.000        99.1388       0.329125       0.100548                 NaN  0.133593       0.297908                 NaN            NaN            NaN            NaN
  1364.31        500.000        99.1479       0.326730       0.964483E-001            NaN  0.133801       0.295136                 NaN            NaN            NaN            NaN
