|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2/TIS/TIS_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             Sp(TH)         ilm            San(TH)        q             
  1426.28        500.000        94.0572        3.63521        2.30755                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1425.21        500.000        99.3473       0.421423       0.231272                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1424.14        500.000        99.3512       0.230085       0.418731                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1423.07        500.000        99.3521       0.229801       0.418065                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.01        500.000        99.3561       0.415298       0.228563                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.94        500.000        99.3640       0.410196       0.225829                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.87        500.000        99.3642       0.410026       0.225749                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1418.80        500.000        99.3673       0.224308       0.408356                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.73        500.000        99.3611       0.226737       0.412162                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1416.66        500.000        99.3828       0.218722       0.398494                 NaN  0.141096E-005            NaN            NaN            NaN            NaN            NaN
  1415.60        500.000        99.3764       0.221070       0.402487                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1414.53        500.000        99.2857       0.262509       0.410639                 NaN            NaN  0.411955E-001            NaN            NaN            NaN            NaN
  1413.46        500.000        98.3241       0.695687       0.522703                 NaN            NaN  0.457509                 NaN            NaN            NaN            NaN
  1412.39        500.000        98.4414       0.647131       0.486182                 NaN            NaN  0.425282                 NaN            NaN            NaN            NaN
  1411.32        500.000        98.4156       0.657643       0.494541                 NaN            NaN  0.432176                 NaN            NaN            NaN            NaN
  1410.25        500.000        96.7471        1.34171        1.02498                 NaN  0.624314E-003  0.885546                 NaN            NaN            NaN            NaN
  1409.19        500.000        99.9756       0.790074E-002  0.995582E-002            NaN            NaN  0.658081E-002            NaN            NaN            NaN            NaN
  1408.12        500.000        98.6495       0.565908       0.413996                 NaN            NaN  0.367642       0.293694E-002            NaN            NaN            NaN
  1407.05        500.000        98.4942       0.624280       0.471560                 NaN            NaN  0.409966                 NaN            NaN            NaN            NaN
  1405.98        500.000        98.5129       0.617696       0.464782                 NaN            NaN  0.404642                 NaN            NaN            NaN            NaN
  1404.91        500.000        98.4204       0.509560       0.527135                 NaN  0.987183E-001  0.444171                 NaN            NaN            NaN            NaN
  1403.84        500.000        98.6464       0.487918       0.275760                 NaN  0.193408       0.396499                 NaN            NaN            NaN            NaN
  1402.78        500.000        98.5620       0.455216       0.482157                 NaN  0.956314E-001  0.405044                 NaN            NaN            NaN            NaN
  1401.71        500.000        98.5788       0.496720       0.364323                 NaN  0.151733       0.408396                 NaN            NaN            NaN            NaN
  1400.64        500.000        98.5945       0.492672       0.355405                 NaN  0.153269       0.404138                 NaN            NaN            NaN            NaN
  1399.57        500.000        98.6113       0.488662       0.346314                 NaN  0.154242       0.399476                 NaN            NaN            NaN            NaN
  1398.50        500.000        98.6241       0.338676       0.485208                 NaN  0.155905       0.396079                 NaN            NaN            NaN            NaN
  1397.43        500.000        98.6449       0.480131       0.328367                 NaN  0.156352       0.390241                 NaN            NaN            NaN            NaN
  1396.37        500.000        98.6590       0.319630       0.476905                 NaN  0.157888       0.386542                 NaN            NaN            NaN            NaN
  1395.30        500.000        98.6739       0.473378       0.311297                 NaN  0.158983       0.382394                 NaN            NaN            NaN            NaN
  1394.23        500.000        98.6882       0.470121       0.303085                 NaN  0.160122       0.378470                 NaN            NaN            NaN            NaN
  1393.16        500.000        98.7016       0.466001       0.295237                 NaN  0.162035       0.375175                 NaN            NaN            NaN            NaN
  1392.09        500.000        98.7199       0.286683       0.462239                 NaN  0.161659       0.369508                 NaN            NaN            NaN            NaN
  1391.02        500.000        99.5551       0.982569E-001  0.160954                 NaN  0.571451E-001  0.128564                 NaN            NaN            NaN            NaN
  1389.96        500.000        97.9194       0.755418       0.454817                 NaN  0.269498       0.600852                 NaN            NaN            NaN            NaN
  1388.89        500.000        98.7568       0.453937       0.263419                 NaN  0.166126       0.359710                 NaN            NaN            NaN            NaN
  1387.82        500.000        98.7731       0.255505       0.449883                 NaN  0.166406       0.355092                 NaN            NaN            NaN            NaN
  1386.75        500.000        98.7858       0.248317       0.447029                 NaN  0.167334       0.351560                 NaN            NaN            NaN            NaN
  1385.68        500.000        98.7971       0.444416       0.241192                 NaN  0.168822       0.348481                 NaN            NaN            NaN            NaN
  1384.61        500.000        98.8100       0.234103       0.441495                 NaN  0.169546       0.344899                 NaN            NaN            NaN            NaN
  1383.55        500.000        98.8218       0.226701       0.438739                 NaN  0.170969       0.341760                 NaN            NaN            NaN            NaN
  1382.48        500.000        98.8340       0.436065       0.220209                 NaN  0.171589       0.338174                 NaN            NaN            NaN            NaN
  1381.41        500.000        98.8454       0.433625       0.213429                 NaN  0.172429       0.335094                 NaN            NaN            NaN            NaN
  1380.34        500.000        98.8578       0.206532       0.430868                 NaN  0.173210       0.331584                 NaN            NaN            NaN            NaN
  1379.27        500.000        98.8692       0.428587       0.199760                 NaN  0.174051       0.328423                 NaN            NaN            NaN            NaN
  1378.20        500.000        98.8794       0.426339       0.193719                 NaN  0.175003       0.325533                 NaN            NaN            NaN            NaN
  1377.13        500.000        98.8858       0.190248       0.423211                 NaN  0.176814       0.323960                 NaN            NaN            NaN            NaN
  1376.07        500.000        98.9065       0.180182       0.419846                 NaN  0.175816       0.317704                 NaN            NaN            NaN            NaN
  1375.00        500.000        98.9124       0.418914       0.174949                 NaN  0.177462       0.316318                 NaN            NaN            NaN            NaN
  1373.93        500.000        98.9226       0.417204       0.168097                 NaN  0.178525       0.313580                 NaN            NaN            NaN            NaN
  1372.86        500.000        98.9311       0.162859       0.415875                 NaN  0.179149       0.311066                 NaN            NaN            NaN            NaN
  1371.79        500.000        98.9444       0.412093       0.156551                 NaN  0.179602       0.307358                 NaN            NaN            NaN            NaN
  1370.72        500.000        98.9536       0.151650       0.410158                 NaN  0.179996       0.304602                 NaN            NaN            NaN            NaN
  1369.66        500.000        98.9625       0.408489       0.145867                 NaN  0.180989       0.302159                 NaN            NaN            NaN            NaN
  1368.59        500.000        98.9720       0.140338       0.406509                 NaN  0.181720       0.299467                 NaN            NaN            NaN            NaN
  1367.52        500.000        98.9804       0.404466       0.132883                 NaN  0.184360       0.297861                 NaN            NaN            NaN            NaN
  1366.45        500.000        98.9958       0.400312       0.131200                 NaN  0.180732       0.291990                 NaN            NaN            NaN            NaN
  1365.38        500.000        99.0000       0.400601       0.124913                 NaN  0.183100       0.291350                 NaN            NaN            NaN            NaN
  1364.31        500.000        99.0095       0.398089       0.119947                 NaN  0.183682       0.288819                 NaN            NaN            NaN            NaN
  1363.25        500.000        99.0181       0.113386       0.397647                 NaN  0.184597       0.286315                 NaN            NaN            NaN            NaN
  1362.18        500.000        99.0274       0.394359       0.110916                 NaN  0.183911       0.283366                 NaN            NaN            NaN            NaN
  1361.11        500.000        99.0350       0.393275       0.106022                 NaN  0.184523       0.281209                 NaN            NaN            NaN            NaN
  1360.04        500.000        99.0436       0.391543       0.101163                 NaN  0.184939       0.278770                 NaN            NaN            NaN            NaN
  1358.97        500.000        99.0534       0.389191       0.958603E-001            NaN  0.185492       0.276044                 NaN            NaN            NaN            NaN
  1357.90        500.000        99.0611       0.934489E-001  0.387452                 NaN  0.184467       0.273492                 NaN            NaN            NaN            NaN
  1356.84        500.000        99.0682       0.866084E-001  0.386563                 NaN  0.186815       0.271791                 NaN            NaN            NaN            NaN
  1355.77        500.000        99.0774       0.849259E-001  0.383430                 NaN  0.185456       0.268750                 NaN            NaN            NaN            NaN
  1354.70        500.000        99.0845       0.798303E-001  0.382919                 NaN  0.186009       0.266745                 NaN            NaN            NaN            NaN
  1353.63        500.000        99.0927       0.763328E-001  0.380820                 NaN  0.185836       0.264342                 NaN            NaN            NaN            NaN
  1352.56        500.000        99.0999       0.725222E-001  0.379600                 NaN  0.185828       0.262140                 NaN            NaN            NaN            NaN
  1351.49        500.000        99.1067       0.378125       0.690333E-001            NaN  0.186002       0.260128                 NaN            NaN            NaN            NaN
  1350.43        500.000        99.1159       0.656778E-001  0.375641                 NaN  0.185455       0.257320                 NaN            NaN            NaN            NaN
  1349.36        500.000        99.1218       0.622654E-001  0.374915                 NaN  0.185420       0.255553                 NaN            NaN            NaN            NaN
  1348.29        500.000        99.1294       0.579048E-001  0.372516                 NaN  0.186429       0.253752                 NaN            NaN            NaN            NaN
  1347.22        500.000        99.1380       0.541689E-001  0.372030                 NaN  0.185195       0.250610                 NaN            NaN            NaN            NaN
  1346.15        500.000        99.1445       0.521701E-001  0.369469                 NaN  0.185074       0.248813                 NaN            NaN            NaN            NaN
  1345.08        500.000        99.1492       0.478869E-001  0.370329                 NaN  0.185324       0.247293                 NaN            NaN            NaN            NaN
  1344.02        500.000        99.1600       0.469908E-001  0.364885                 NaN  0.184021       0.244142                 NaN            NaN            NaN            NaN
  1342.95        500.000        99.1624       0.366100       0.437277E-001            NaN  0.184566       0.243195                 NaN            NaN            NaN            NaN
  1341.88        500.000        99.1717       0.362023       0.449397E-001            NaN  0.181390       0.239900                 NaN            NaN            NaN            NaN
  1340.81        500.000        99.1780       0.405156E-001  0.361220                 NaN  0.182026       0.238238                 NaN            NaN            NaN            NaN
