|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.75/LAR/LAR_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        an             O(HP)          San(TH)        ilm            q             
  1391.03        500.000       0.857430E-002   99.9367       0.371045E-001            NaN  0.175965E-001            NaN            NaN            NaN            NaN
  1390.05        500.000                 NaN   99.0910       0.399446       0.221842       0.287758       0.163489E-005            NaN            NaN            NaN
  1389.07        500.000                 NaN   99.0744       0.259663       0.379369       0.286529                 NaN            NaN            NaN            NaN
  1388.09        500.000                 NaN   99.0842       0.358701       0.260060       0.285630       0.113665E-001            NaN            NaN            NaN
  1387.11        500.000       0.457964E-003   99.0993       0.250730       0.273354       0.294994       0.811482E-001            NaN            NaN            NaN
  1386.13        500.000                 NaN   99.1075       0.272375       0.245707       0.292629       0.818156E-001            NaN            NaN            NaN
  1385.15        500.000                 NaN   99.1172       0.240899       0.270175       0.289535       0.821600E-001            NaN            NaN            NaN
  1384.17        500.000                 NaN   99.1254       0.268181       0.236608       0.287196       0.825995E-001            NaN            NaN            NaN
  1383.19        500.000                 NaN   99.1355       0.265234       0.232623       0.283947       0.826979E-001            NaN            NaN            NaN
  1382.21        500.000                 NaN   99.1442       0.262982       0.228548       0.281307       0.830045E-001            NaN            NaN            NaN
  1381.23        500.000                 NaN   99.1529       0.224298       0.260711       0.278711       0.834229E-001            NaN            NaN            NaN
  1380.25        500.000                 NaN   99.1609       0.258773       0.220088       0.276301       0.839565E-001            NaN            NaN            NaN
  1379.27        500.000                 NaN   99.1709       0.256084       0.216248       0.273058       0.837595E-001            NaN            NaN            NaN
  1378.29        500.000       0.294977E-002   99.1817       0.243294       0.220219       0.269771       0.820787E-001            NaN            NaN            NaN
  1377.31        500.000                 NaN   99.1885       0.207352       0.252708       0.267296       0.841029E-001            NaN            NaN            NaN
  1376.33        500.000       0.108796E-003   98.3374       0.424036       0.516492       0.548378       0.173616                 NaN            NaN            NaN
  1375.35        500.000                 NaN   99.9639       0.110075E-001  0.967970E-002  0.118498E-001  0.351759E-002            NaN            NaN            NaN
  1374.37        500.000                 NaN   99.9648       0.118352E-001  0.653440E-002  0.118448E-001  0.499000E-002            NaN            NaN            NaN
  1373.39        500.000                 NaN   98.5570       0.360154       0.449495       0.476939       0.156375                 NaN            NaN            NaN
  1372.41        500.000                 NaN   99.2262       0.190407       0.241827       0.256050       0.855567E-001            NaN            NaN            NaN
  1371.43        500.000                 NaN   99.1310       0.271806       0.211964       0.287991       0.972248E-001            NaN            NaN            NaN
  1370.45        500.000                 NaN   99.3436       0.157524       0.205850       0.217847       0.752171E-001            NaN            NaN            NaN
  1369.47        500.000                 NaN   99.2495       0.236000       0.179315       0.248853       0.863681E-001            NaN            NaN            NaN
  1368.49        500.000                 NaN   99.2547       0.234412       0.176975       0.247298       0.865866E-001            NaN            NaN            NaN
  1367.51        500.000                 NaN   99.1237       0.209542       0.275921       0.290971       0.998794E-001            NaN            NaN            NaN
  1366.53        500.000                 NaN   99.3979       0.190426       0.139564       0.199735       0.723579E-001            NaN            NaN            NaN
  1365.55        500.000                 NaN   99.2757       0.167010       0.229065       0.240821       0.873668E-001            NaN            NaN            NaN
  1364.57        500.000                 NaN   99.2822       0.164393       0.227421       0.238705       0.872607E-001            NaN            NaN            NaN
  1363.59        500.000                 NaN   99.2018       0.180571       0.253298       0.265704       0.985798E-001            NaN            NaN            NaN
  1362.61        500.000                 NaN   99.3840       0.138174       0.195874       0.205158       0.768317E-001            NaN            NaN            NaN
  1361.63        500.000                 NaN   99.3006       0.221856       0.157309       0.232870       0.873180E-001            NaN            NaN            NaN
  1360.65        500.000                 NaN   99.3098       0.150183       0.220876       0.230242       0.888680E-001            NaN            NaN            NaN
  1359.67        500.000                 NaN   99.3155       0.149241       0.218588       0.228422       0.882610E-001            NaN            NaN            NaN
  1358.69        500.000                 NaN   99.3216       0.217349       0.145859       0.226574       0.886661E-001            NaN            NaN            NaN
  1357.71        500.000                 NaN   99.3276       0.215534       0.144218       0.224475       0.881427E-001            NaN            NaN            NaN
  1356.73        500.000                 NaN   99.3334       0.214177       0.140849       0.222772       0.887538E-001            NaN            NaN            NaN
  1355.75        500.000                 NaN   99.3394       0.138494       0.212578       0.220850       0.886817E-001            NaN            NaN            NaN
  1354.77        500.000                 NaN   99.3450       0.211110       0.135825       0.219122       0.889203E-001            NaN            NaN            NaN
  1353.79        500.000                 NaN   99.3510       0.133477       0.209401       0.217247       0.888978E-001            NaN            NaN            NaN
  1352.81        500.000                 NaN   99.3558       0.130537       0.208315       0.215872       0.894632E-001            NaN            NaN            NaN
  1351.83        500.000                 NaN   99.2744       0.234649       0.146917       0.243048       0.100945                 NaN            NaN            NaN
  1350.85        500.000                 NaN   99.4566       0.176629       0.108215       0.182041       0.765428E-001            NaN            NaN            NaN
  1349.87        500.000                 NaN   99.3733       0.204354       0.121767       0.210365       0.902003E-001            NaN            NaN            NaN
  1348.89        500.000                 NaN   99.3789       0.123234       0.201934       0.208048       0.879280E-001            NaN            NaN            NaN
  1347.91        500.000                 NaN   99.1913       0.263365       0.162052       0.270133       0.113189                 NaN            NaN            NaN
  1346.93        500.000                 NaN   99.5744       0.139807       0.787797E-001  0.143092       0.638952E-001            NaN            NaN            NaN
  1345.95        500.000                 NaN   99.3950       0.198209       0.115133       0.202947       0.887236E-001            NaN            NaN            NaN
  1344.97        500.000                 NaN   99.3996       0.112665       0.197000       0.201647       0.890640E-001            NaN            NaN            NaN
  1343.99        500.000                 NaN   99.4042       0.195929       0.110409       0.200219       0.892663E-001            NaN            NaN            NaN
  1343.01        500.000                 NaN   99.4093       0.194536       0.108920       0.198418       0.888061E-001            NaN            NaN            NaN
  1342.03        500.000                 NaN   99.4145       0.192949       0.107072       0.196793       0.887171E-001            NaN            NaN            NaN
  1341.05        500.000                 NaN   99.4186       0.104624       0.192244       0.195570       0.889878E-001            NaN            NaN            NaN
  1340.07        500.000                 NaN   99.4245       0.190416       0.102983       0.193507       0.885781E-001            NaN            NaN            NaN
  1339.09        500.000                 NaN   99.4282       0.189552       0.101431       0.192352       0.884892E-001            NaN            NaN            NaN
  1338.11        500.000                 NaN   99.4336       0.995186E-001  0.187947       0.190574       0.883916E-001            NaN            NaN            NaN
  1337.13        500.000                 NaN   99.4379       0.979233E-001  0.186702       0.189185       0.882849E-001            NaN            NaN            NaN
  1336.15        500.000                 NaN   99.4435       0.185369       0.948559E-001  0.187586       0.886990E-001            NaN            NaN            NaN
  1335.17        500.000                 NaN   99.4473       0.947400E-001  0.184223       0.185997       0.877327E-001            NaN            NaN            NaN
  1334.19        500.000                 NaN   99.4500       0.895371E-001  0.184229       0.185832       0.903717E-001            NaN            NaN            NaN
  1333.21        500.000                 NaN   99.4571       0.180696       0.947493E-001  0.182079       0.853637E-001            NaN            NaN            NaN
  1332.23        500.000                 NaN   99.4595       0.904380E-001  0.180743       0.182041       0.872796E-001            NaN            NaN            NaN
  1331.25        500.000                 NaN   99.6184       0.624886E-001  0.128546       0.128533       0.620485E-001            NaN            NaN            NaN
  1330.27        500.000                 NaN   99.3128       0.114096       0.230625       0.231094       0.111419                 NaN            NaN            NaN
  1329.29        500.000                 NaN   99.4725       0.177512       0.857107E-001  0.177669       0.866510E-001            NaN            NaN            NaN
  1328.31        500.000                 NaN   99.4768       0.176390       0.841803E-001  0.176216       0.864248E-001            NaN            NaN            NaN
  1327.33        500.000                 NaN   99.4813       0.175018       0.826557E-001  0.174798       0.862630E-001            NaN            NaN            NaN
  1326.35        500.000                 NaN   99.8874       0.744313E-001  0.556430E-002  0.248959E-001  0.767916E-002            NaN            NaN            NaN
  1325.37        500.000                 NaN   99.0852       0.160553       0.270734       0.320840       0.162629                 NaN            NaN            NaN
  1324.39        500.000                 NaN   99.4925       0.171621       0.800225E-001  0.170893       0.849695E-001            NaN            NaN            NaN
  1323.41        500.000                 NaN   99.4971       0.170501       0.779252E-001  0.169404       0.850980E-001            NaN            NaN            NaN
  1322.43        500.000                 NaN   99.5004       0.776316E-001  0.169493       0.168110       0.843212E-001            NaN            NaN            NaN
  1321.45        500.000                 NaN   99.5017       0.757388E-001  0.169393       0.167885       0.852332E-001            NaN            NaN            NaN
  1320.47        500.000                 NaN   99.5089       0.166212       0.778352E-001  0.164867       0.821477E-001            NaN            NaN            NaN
  1319.49        500.000                 NaN   99.5119       0.652372E-001  0.168862       0.165213       0.888345E-001            NaN            NaN            NaN
  1318.51        500.000                 NaN   99.5134       0.843134E-001  0.162707       0.162618       0.769169E-001            NaN            NaN            NaN
  1317.53        500.000                 NaN   99.5192       0.729309E-001  0.163969       0.161601       0.823169E-001            NaN            NaN            NaN
  1316.55        500.000                 NaN   99.5195       0.983914E-001  0.156612       0.158736       0.667983E-001            NaN            NaN            NaN
  1315.57        500.000                 NaN   99.5281       0.457219E-001  0.168446       0.161283       0.964293E-001            NaN            NaN            NaN
  1314.59        500.000                 NaN   99.7394       0.272362E-002  0.997045E-001  0.916531E-001  0.665004E-001            NaN            NaN            NaN
  1313.61        500.000                 NaN   99.3224       0.138467       0.221076       0.223458       0.946163E-001            NaN            NaN            NaN
  1312.63        500.000                 NaN   99.5356       0.158728       0.700608E-001  0.155881       0.797749E-001            NaN            NaN            NaN
  1311.65        500.000                 NaN   99.5391       0.690554E-001  0.157812       0.154647       0.794041E-001            NaN            NaN            NaN
  1310.67        500.000                 NaN   99.5417       0.156756       0.677195E-001  0.154061       0.797174E-001            NaN            NaN            NaN
  1309.69        500.000                 NaN   99.5457       0.702300E-001  0.155401       0.151780       0.768658E-001            NaN            NaN            NaN
  1308.71        500.000                 NaN   99.5490       0.154432       0.678234E-001  0.151121       0.776603E-001            NaN            NaN            NaN
  1307.73        500.000                 NaN   99.5522       0.153216       0.673864E-001  0.150017       0.771679E-001            NaN            NaN            NaN
  1306.75        500.000                 NaN   99.5542       0.152957       0.670882E-001  0.149194       0.765451E-001            NaN            NaN            NaN
  1305.77        500.000                 NaN   99.5585       0.151012       0.676561E-001  0.147534       0.753159E-001            NaN            NaN            NaN
  1304.79        500.000                 NaN   99.5606       0.151029       0.646728E-001  0.147305       0.764403E-001            NaN            NaN            NaN
  1303.81        500.000                 NaN   99.5624       0.800954E-001  0.145820       0.144647       0.670254E-001            NaN            NaN            NaN
  1302.83        500.000                 NaN   99.5681       0.151084       0.548880E-001  0.145434       0.804711E-001            NaN            NaN            NaN
  1301.85        500.000                 NaN   99.5706       0.146822       0.667208E-001  0.143176       0.727131E-001            NaN            NaN            NaN
  1300.87        500.000                 NaN   99.4090       0.201703       0.925084E-001  0.196980       0.997605E-001            NaN            NaN            NaN
  1299.89        500.000                 NaN   99.7406       0.887233E-001  0.408521E-001  0.862586E-001  0.435891E-001            NaN            NaN            NaN
  1298.91        500.000                 NaN   99.7633       0.141858E-001  0.119871       0.947650E-001  0.787066E-002            NaN            NaN            NaN
  1297.93        500.000                 NaN   99.3962       0.273081       0.105613E-001  0.185504       0.134684                 NaN            NaN            NaN
  1296.95        500.000                 NaN   99.5828       0.141504       0.672949E-001  0.138850       0.695721E-001            NaN            NaN            NaN
  1295.97        500.000                 NaN   99.5880       0.681313E-001  0.140105       0.136363       0.673593E-001            NaN            NaN            NaN
  1294.99        500.000                 NaN   99.5891       0.670642E-001  0.139567       0.136377       0.679380E-001            NaN            NaN            NaN
  1294.01        500.000                 NaN   99.5910       0.676998E-001  0.138410       0.135733       0.671586E-001            NaN            NaN            NaN
  1293.03        500.000                 NaN   99.5946       0.677165E-001  0.137877       0.133978       0.658678E-001            NaN            NaN            NaN
  1292.05        500.000                 NaN   99.5967       0.681620E-001  0.136510       0.133464       0.652100E-001            NaN            NaN            NaN
