|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.75/LAR/LAR_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        an             O(HP)          San(TH)        ilm            q             
  1391.03        500.000       0.136059E-001   99.9243       0.449179E-001            NaN  0.172176E-001            NaN            NaN            NaN            NaN
  1390.05        500.000                 NaN   98.9709       0.483361       0.264417       0.281340       0.211728E-005            NaN            NaN            NaN
  1389.07        500.000                 NaN   98.9507       0.309669       0.459413       0.280215                 NaN            NaN            NaN            NaN
  1388.09        500.000                 NaN   98.9608       0.434707       0.310336       0.279428       0.147497E-001            NaN            NaN            NaN
  1387.11        500.000       0.727699E-003   98.9746       0.304095       0.326422       0.288705       0.105441                 NaN            NaN            NaN
  1386.13        500.000                 NaN   98.9833       0.325501       0.298257       0.286512       0.106478                 NaN            NaN            NaN
  1385.15        500.000                 NaN   98.9936       0.292679       0.323087       0.283605       0.107056                 NaN            NaN            NaN
  1384.17        500.000                 NaN   99.0022       0.320918       0.287697       0.281436       0.107785                 NaN            NaN            NaN
  1383.19        500.000                 NaN   99.0128       0.317642       0.283114       0.278373       0.108049                 NaN            NaN            NaN
  1382.21        500.000                 NaN   99.0219       0.315171       0.278383       0.275906       0.108627                 NaN            NaN            NaN
  1381.23        500.000                 NaN   99.0311       0.273438       0.312683       0.273482       0.109314                 NaN            NaN            NaN
  1380.25        500.000                 NaN   99.0395       0.310564       0.268529       0.271238       0.110156                 NaN            NaN            NaN
  1379.27        500.000                 NaN   99.0501       0.307578       0.264082       0.268176       0.110055                 NaN            NaN            NaN
  1378.29        500.000       0.471958E-002   99.0605       0.292463       0.269215       0.265068       0.107991                 NaN            NaN            NaN
  1377.31        500.000                 NaN   99.0688       0.253635       0.303957       0.262759       0.110805                 NaN            NaN            NaN
  1376.33        500.000       0.174314E-003   98.0905       0.519103       0.621639       0.538904       0.229728                 NaN            NaN            NaN
  1375.35        500.000                 NaN   99.9585       0.132755E-001  0.118908E-001  0.116736E-001  0.466112E-002            NaN            NaN            NaN
  1374.37        500.000                 NaN   99.9594       0.143018E-001  0.802766E-002  0.116686E-001  0.662690E-002            NaN            NaN            NaN
  1373.39        500.000                 NaN   98.3404       0.441651       0.541716       0.469252       0.206972                 NaN            NaN            NaN
  1372.41        500.000                 NaN   99.1083       0.233942       0.291965       0.252297       0.113512                 NaN            NaN            NaN
  1371.43        500.000                 NaN   98.9980       0.328353       0.260587       0.283879       0.129155                 NaN            NaN            NaN
  1370.45        500.000                 NaN   99.2423       0.193873       0.248903       0.214894       0.100060                 NaN            NaN            NaN
  1369.47        500.000                 NaN   99.1330       0.285568       0.220868       0.245559       0.115045                 NaN            NaN            NaN
  1368.49        500.000                 NaN   99.1382       0.283879       0.218208       0.244142       0.115527                 NaN            NaN            NaN
  1367.51        500.000                 NaN   98.9853       0.258864       0.334707       0.287362       0.133798                 NaN            NaN            NaN
  1366.53        500.000                 NaN   99.3024       0.230995       0.172405       0.197423       0.968215E-001            NaN            NaN            NaN
  1365.55        500.000                 NaN   99.1604       0.206448       0.278019       0.238102       0.117044                 NaN            NaN            NaN
  1364.57        500.000                 NaN   99.1671       0.203412       0.276286       0.236127       0.117073                 NaN            NaN            NaN
  1363.59        500.000                 NaN   99.0731       0.223598       0.307894       0.262946       0.132439                 NaN            NaN            NaN
  1362.61        500.000                 NaN   99.2839       0.171287       0.238308       0.203176       0.103373                 NaN            NaN            NaN
  1361.63        500.000                 NaN   99.1864       0.270132       0.195171       0.230703       0.117643                 NaN            NaN            NaN
  1360.65        500.000                 NaN   99.1963       0.186486       0.269146       0.228217       0.119869                 NaN            NaN            NaN
  1359.67        500.000                 NaN   99.2023       0.185452       0.266526       0.226529       0.119213                 NaN            NaN            NaN
  1358.69        500.000                 NaN   99.2086       0.265246       0.181414       0.224811       0.119921                 NaN            NaN            NaN
  1357.71        500.000                 NaN   99.2150       0.263236       0.179540       0.222844       0.119391                 NaN            NaN            NaN
  1356.73        500.000                 NaN   99.2211       0.261771       0.175503       0.221268       0.120381                 NaN            NaN            NaN
  1355.75        500.000                 NaN   99.2273       0.172727       0.260033       0.219474       0.120456                 NaN            NaN            NaN
  1354.77        500.000                 NaN   99.2332       0.258453       0.169539       0.217870       0.120941                 NaN            NaN            NaN
  1353.79        500.000                 NaN   99.2395       0.166771       0.256529       0.216119       0.121094                 NaN            NaN            NaN
  1352.81        500.000                 NaN   99.2445       0.163233       0.255410       0.214866       0.122017                 NaN            NaN            NaN
  1351.83        500.000                 NaN   99.1482       0.287958       0.183895       0.242025       0.137873                 NaN            NaN            NaN
  1350.85        500.000                 NaN   99.3613       0.216949       0.135589       0.181413       0.104736                 NaN            NaN            NaN
  1349.87        500.000                 NaN   99.2629       0.251184       0.152670       0.209719       0.123541                 NaN            NaN            NaN
  1348.89        500.000                 NaN   99.2688       0.154655       0.248382       0.207521       0.120594                 NaN            NaN            NaN
  1347.91        500.000                 NaN   99.0466       0.324422       0.203804       0.269549       0.155664                 NaN            NaN            NaN
  1346.93        500.000                 NaN   99.4977       0.172313       0.990866E-001  0.142933       0.879296E-001            NaN            NaN            NaN
  1345.95        500.000                 NaN   99.2857       0.244405       0.144891       0.202765       0.122201                 NaN            NaN            NaN
  1344.97        500.000                 NaN   99.2906       0.141900       0.243092       0.201576       0.122830                 NaN            NaN            NaN
  1343.99        500.000                 NaN   99.2953       0.241967       0.139186       0.200259       0.123273                 NaN            NaN            NaN
  1343.01        500.000                 NaN   99.3007       0.240450       0.137438       0.198567       0.122822                 NaN            NaN            NaN
  1342.03        500.000                 NaN   99.3062       0.238677       0.135224       0.197049       0.122867                 NaN            NaN            NaN
  1341.05        500.000                 NaN   99.3104       0.132243       0.238015       0.195933       0.123407                 NaN            NaN            NaN
  1340.07        500.000                 NaN   99.3168       0.235921       0.130291       0.193974       0.122999                 NaN            NaN            NaN
  1339.09        500.000                 NaN   99.3205       0.235033       0.128438       0.192924       0.123072                 NaN            NaN            NaN
  1338.11        500.000                 NaN   99.3263       0.126141       0.233253       0.191248       0.123085                 NaN            NaN            NaN
  1337.13        500.000                 NaN   99.3308       0.124230       0.231897       0.189960       0.123092                 NaN            NaN            NaN
  1336.15        500.000                 NaN   99.3369       0.230389       0.120420       0.188461       0.123798                 NaN            NaN            NaN
  1335.17        500.000                 NaN   99.3408       0.120405       0.229179       0.186969       0.122664                 NaN            NaN            NaN
  1334.19        500.000                 NaN   99.3433       0.113893       0.229384       0.186909       0.126508                 NaN            NaN            NaN
  1333.21        500.000                 NaN   99.3513       0.225179       0.120643       0.183239       0.119682                 NaN            NaN            NaN
  1332.23        500.000                 NaN   99.3535       0.115252       0.225417       0.183305       0.122547                 NaN            NaN            NaN
  1331.25        500.000                 NaN   99.5430       0.797272E-001  0.160487       0.129516       0.872890E-001            NaN            NaN            NaN
  1330.27        500.000                 NaN   99.1767       0.145616       0.288008       0.232892       0.156790                 NaN            NaN            NaN
  1329.29        500.000                 NaN   99.3672       0.221920       0.109515       0.179209       0.122151                 NaN            NaN            NaN
  1328.31        500.000                 NaN   99.3718       0.220698       0.107655       0.177846       0.121975                 NaN            NaN            NaN
  1327.33        500.000                 NaN   99.3766       0.219140       0.105800       0.176516       0.121915                 NaN            NaN            NaN
  1326.35        500.000                 NaN   99.8635       0.932927E-001  0.713104E-002  0.251631E-001  0.108777E-001            NaN            NaN            NaN
  1325.37        500.000                 NaN   98.9006       0.205705       0.339297       0.324104       0.230293                 NaN            NaN            NaN
  1324.39        500.000                 NaN   99.3884       0.215441       0.102703       0.172872       0.120581                 NaN            NaN            NaN
  1323.41        500.000                 NaN   99.3933       0.214198       0.100098       0.171466       0.120904                 NaN            NaN            NaN
  1322.43        500.000                 NaN   99.3968       0.998152E-001  0.213125       0.170254       0.119979                 NaN            NaN            NaN
  1321.45        500.000                 NaN   99.3977       0.974724E-001  0.213178       0.170125       0.121503                 NaN            NaN            NaN
  1320.47        500.000                 NaN   99.4060       0.209338       0.100258       0.167164       0.117198                 NaN            NaN            NaN
  1319.49        500.000                 NaN   99.4085       0.841074E-001  0.212873       0.167613       0.126921                 NaN            NaN            NaN
  1318.51        500.000                 NaN   99.4108       0.108795       0.205275       0.165077       0.110045                 NaN            NaN            NaN
  1317.53        500.000                 NaN   99.4168       0.941843E-001  0.207024       0.164140       0.117898                 NaN            NaN            NaN
  1316.55        500.000                 NaN   99.4178       0.127179       0.197903       0.161321       0.958072E-001            NaN            NaN            NaN
  1315.57        500.000                 NaN   99.4253       0.591537E-001  0.213040       0.164007       0.138493                 NaN            NaN            NaN
  1314.59        500.000                 NaN   99.6815       0.352583E-002  0.126187       0.932752E-001  0.955623E-001            NaN            NaN            NaN
  1313.61        500.000                 NaN   99.1771       0.179373       0.279940       0.227399       0.136174                 NaN            NaN            NaN
  1312.63        500.000                 NaN   99.4340       0.201248       0.908825E-001  0.158793       0.115028                 NaN            NaN            NaN
