|6.6.6
Archiving\03_Data\Deqfrac/QFM_m4/K22/K22_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)         ne             lc            
  1631.41        2500.00        99.3722       0.575425       0.523558E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.83        2500.00        98.9371       0.958942       0.103916                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.25        2500.00        98.9473       0.950312       0.102405                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.66        2500.00        99.7336       0.160748       0.105636                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.08        2500.00        98.1995        1.70512       0.954095E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.50        2500.00        98.9746       0.925963       0.994239E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.92        2500.00        99.0000       0.904329       0.956763E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.33        2500.00        99.0027       0.901728       0.955702E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.75        2500.00        98.9800       0.922550       0.974839E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.17        2500.00        99.0581       0.851971       0.899627E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.59        2500.00        99.0263       0.883140       0.906022E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.00        2500.00        99.0531       0.856671       0.902675E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.42        2500.00        99.0561       0.855834       0.880313E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.84        2500.00        99.6952       0.276497       0.283194E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.26        2500.00        99.2573       0.675918       0.667606E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.67        2500.00        98.2696        1.56668       0.163678                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.09        2500.00        99.0927       0.823631       0.836438E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.51        2500.00        99.0988       0.820293       0.809300E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.93        2500.00        99.1127       0.807006       0.803051E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.34        2500.00        99.1177       0.803184       0.791365E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.76        2500.00        99.1271       0.782420       0.905074E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.18        2500.00        99.1361       0.799819       0.640560E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.60        2500.00        99.1436       0.780515       0.758408E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.01        2500.00        99.1531       0.772246       0.746192E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.43        2500.00        98.9956       0.911639       0.927925E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.85        2500.00        99.3338       0.608070       0.581548E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.27        2500.00        99.1786       0.751539       0.698723E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        2500.00        99.1821       0.748187       0.697242E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.10        2500.00        99.1926       0.738625       0.687947E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.52        2500.00        99.1974       0.734855       0.677117E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.94        2500.00        99.2056       0.726323       0.680857E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.35        2500.00        99.2150       0.720056       0.649395E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.77        2500.00        99.2169       0.721197       0.619078E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.19        2500.00        99.6100       0.362699       0.273163E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.61        2500.00        98.8475        1.09394       0.585491E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.02        2500.00        99.2386       0.666316       0.951308E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.44        2500.00        99.2470       0.692871       0.601384E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.86        2500.00        99.2530       0.687377       0.596090E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.28        2500.00        99.2597       0.682870       0.574254E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.69        2500.00        99.2661       0.676981       0.569289E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.11        2500.00        99.2180       0.722805       0.591503E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.53        2500.00        99.3305       0.618725       0.507855E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.95        2500.00        99.2808       0.665571       0.535870E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.36        2500.00        99.2928       0.654590       0.526433E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.78        2500.00        99.2946       0.653937       0.514949E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.20        2500.00        99.3017       0.647342       0.509610E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.62        2500.00        99.3069       0.643008       0.501001E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.03        2500.00        99.3115       0.640077       0.484070E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.45        2500.00        99.3145       0.638747       0.468009E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.87        2500.00        99.3238       0.628814       0.474329E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.29        2500.00        99.3227       0.633458       0.438635E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.70        2500.00        99.3326       0.623084       0.442687E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.12        2500.00        99.1219       0.824341       0.538070E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.54        2500.00        99.5554       0.415944       0.287011E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.96        2500.00        99.9922                 NaN  0.778900E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.37        2500.00        98.7025        1.22652       0.710058E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.79        2500.00        99.3503       0.611579       0.381576E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.21        2500.00        99.3679       0.592484       0.396330E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.63        2500.00        99.2462       0.694558       0.592053E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.04        2500.00        99.4915       0.490064       0.184367E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.46        2500.00        99.3739       0.589923       0.361948E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.88        2500.00        99.3770       0.588694       0.343067E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.30        2500.00        99.3816       0.584763       0.336419E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.71        2500.00        99.2869       0.255469       0.113343E-001            NaN  0.446267                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.13        2500.00        99.2126                 NaN  0.100920E-001            NaN  0.777294                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.55        2500.00        99.2032                 NaN  0.131772E-004            NaN  0.796824                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.97        2500.00        99.2037                 NaN            NaN            NaN  0.796257                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.38        2500.00        99.2033                 NaN  0.163259E-005            NaN  0.796712                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.80        2500.00        99.2029                 NaN            NaN            NaN  0.797096                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.22        2500.00        99.1993                 NaN            NaN            NaN  0.800672                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.64        2500.00        99.1971                 NaN            NaN            NaN  0.802943                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.05        2500.00        99.1927                 NaN            NaN            NaN  0.807296                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.47        2500.00        99.1907                 NaN            NaN            NaN  0.809279                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.89        2500.00        99.1825                 NaN            NaN            NaN  0.817483                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.31        2500.00        99.1727                 NaN            NaN            NaN  0.827252                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.72        2500.00        99.1761                 NaN            NaN            NaN  0.823895                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.14        2500.00        98.2849       0.189667                 NaN            NaN  0.750292       0.775166                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.56        2500.00        99.6179                 NaN            NaN            NaN  0.147355       0.234696                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.98        2500.00        98.4957                 NaN            NaN            NaN  0.580861       0.923436                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.39        2500.00        98.7293                 NaN            NaN            NaN  0.491586       0.779126                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.81        2500.00        98.7436                 NaN            NaN            NaN  0.485125       0.771235                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.23        2500.00        98.7569                 NaN            NaN            NaN  0.762638       0.480448                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.65        2500.00        98.7658                 NaN            NaN            NaN  0.476394       0.757786                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.06        2500.00        98.7871                 NaN            NaN            NaN  0.744687       0.468235                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.48        2500.00        98.7924                 NaN            NaN            NaN  0.742620       0.465023                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.90        2500.00        98.8074                 NaN            NaN            NaN  0.458932       0.733678                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.32        2500.00        98.8166                 NaN            NaN            NaN  0.728027       0.455367                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.73        2500.00        98.8287                 NaN            NaN            NaN  0.450131       0.721202                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.15        2500.00        98.8404                 NaN            NaN            NaN  0.446434       0.713151                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.57        2500.00        98.8515                 NaN            NaN            NaN  0.441544       0.706935                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.99        2500.00        98.8628                 NaN            NaN            NaN  0.436380       0.700863                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.40        2500.00        98.8736                 NaN  0.106533E-003            NaN  0.432370       0.693889                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.82        2500.00        98.8832                 NaN            NaN            NaN  0.689391       0.427400                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.24        2500.00        98.8944                 NaN            NaN            NaN  0.682322       0.423232                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.66        2500.00        98.9013                 NaN            NaN            NaN  0.420257       0.678469                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.07        2500.00        98.9146                 NaN            NaN            NaN  0.415806       0.669576                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.49        2500.00        98.9199                 NaN            NaN            NaN  0.667221       0.412883                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.91        2500.00        98.9357                 NaN            NaN            NaN  0.657828       0.406508                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.33        2500.00        98.9389                 NaN            NaN            NaN  0.403861       0.657244                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
