|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.75/EETA/EETA_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          O(HP)          an             San(TH)        ilm            q             
  1439.10        2500.00       0.205787E-002   86.6012        4.51092        8.88580                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.00        2500.00       0.476154E-003   99.3647       0.213893       0.420972                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.90        2500.00       0.467860E-003   99.3663       0.213615       0.419626                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.80        2500.00       0.449151E-003   99.3692       0.417967       0.212356                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.70        2500.00       0.418480E-003   99.3722       0.211582       0.415823                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.60        2500.00       0.121818E-002   97.6309       0.740022        1.60253       0.252938E-001            NaN            NaN            NaN            NaN            NaN
  1432.50        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1431.40        2500.00       0.377219E-004  100.0000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1430.30        2500.00       0.752617E-004   99.8763       0.430396E-001  0.805976E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1429.20        2500.00       0.301705E-003   99.4165       0.386854       0.196376                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.09        2500.00       0.299307E-003   99.3849       0.408058       0.206733                 NaN            NaN            NaN            NaN            NaN            NaN
  1426.99        2500.00       0.272576E-003   99.3870       0.406819       0.205955                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.89        2500.00       0.276084E-003   99.3888       0.205067       0.405897                 NaN            NaN            NaN            NaN            NaN            NaN
  1424.79        2500.00       0.235429E-003   99.3908       0.404592       0.204418                 NaN            NaN            NaN            NaN            NaN            NaN
  1423.69        2500.00                 NaN   98.7747       0.421613       0.490234       0.134727E-001            NaN  0.299930                 NaN            NaN            NaN
  1422.59        2500.00                 NaN   98.5306       0.291936       0.502911       0.231763                 NaN  0.442746                 NaN            NaN            NaN
  1421.49        2500.00                 NaN   98.5478       0.284182       0.498816       0.231492                 NaN  0.437755                 NaN            NaN            NaN
  1420.39        2500.00                 NaN   98.5631       0.495054       0.277076       0.231608                 NaN  0.433160                 NaN            NaN            NaN
  1419.29        2500.00                 NaN   98.5810       0.269400       0.490670       0.231168                 NaN  0.427786                 NaN            NaN            NaN
  1418.19        2500.00                 NaN   98.5966       0.262828       0.486648       0.230845                 NaN  0.423123                 NaN            NaN            NaN
  1417.09        2500.00                 NaN   98.6110       0.255817       0.483364       0.230984                 NaN  0.418841                 NaN            NaN            NaN
  1415.99        2500.00                 NaN   98.6261       0.248806       0.479852       0.230838                 NaN  0.414382                 NaN            NaN            NaN
  1414.89        2500.00                 NaN   98.6375       0.475589       0.242959       0.232429                 NaN  0.411554                 NaN            NaN            NaN
  1413.79        2500.00                 NaN   98.6615       0.236375       0.470556       0.228341                 NaN  0.403263                 NaN            NaN            NaN
  1412.69        2500.00                 NaN   98.6696       0.229186       0.469472       0.230379                 NaN  0.401354                 NaN            NaN            NaN
  1411.59        2500.00                 NaN   98.6841       0.465646       0.222979       0.230269                 NaN  0.397048                 NaN            NaN            NaN
  1410.49        2500.00                 NaN   98.6987       0.462175       0.216694       0.229820                 NaN  0.392655                 NaN            NaN            NaN
  1409.39        2500.00                 NaN   98.7112       0.210636       0.459360       0.229904                 NaN  0.388874                 NaN            NaN            NaN
  1408.29        2500.00                 NaN   98.7250       0.456282       0.204354       0.229607                 NaN  0.384754                 NaN            NaN            NaN
  1407.19        2500.00                 NaN   98.7377       0.198344       0.453272       0.229649                 NaN  0.381050                 NaN            NaN            NaN
  1406.08        2500.00                 NaN   98.7510       0.192734       0.450128       0.229170                 NaN  0.376931                 NaN            NaN            NaN
  1404.98        2500.00                 NaN   98.7628       0.446817       0.186305       0.230082                 NaN  0.373983                 NaN            NaN            NaN
