|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.75/EETA/EETA_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          O(HP)          an             San(TH)        ilm            q             
  1439.10        2500.00       0.137765E-002   88.2564        3.92066        7.82155                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.00        2500.00       0.313137E-003   99.4535       0.182466       0.363755                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.90        2500.00       0.307791E-003   99.4551       0.182125       0.362439                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.80        2500.00       0.295693E-003   99.4579       0.360863       0.180967                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.70        2500.00       0.275651E-003   99.4606       0.180224       0.358879                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.60        2500.00       0.805038E-003   97.9635       0.631081        1.38445       0.201455E-001            NaN            NaN            NaN            NaN            NaN
  1432.50        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1431.40        2500.00       0.248690E-004  100.0000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1430.30        2500.00       0.496664E-004   99.8940       0.365548E-001  0.694030E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1429.20        2500.00       0.199241E-003   99.4998       0.333186       0.166844                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.09        2500.00       0.197792E-003   99.4729       0.351330       0.175568                 NaN            NaN            NaN            NaN            NaN            NaN
  1426.99        2500.00       0.180205E-003   99.4749       0.350107       0.174810                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.89        2500.00       0.182619E-003   99.4767       0.173955       0.349144                 NaN            NaN            NaN            NaN            NaN            NaN
  1424.79        2500.00       0.155832E-003   99.4786       0.347889       0.173322                 NaN            NaN            NaN            NaN            NaN            NaN
  1423.69        2500.00                 NaN   98.8956       0.362463       0.415581       0.106529E-001            NaN  0.315728                 NaN            NaN            NaN
  1422.59        2500.00                 NaN   98.6715       0.247313       0.432160       0.183018                 NaN  0.466006                 NaN            NaN            NaN
  1421.49        2500.00                 NaN   98.6880       0.240538       0.428314       0.182529                 NaN  0.460592                 NaN            NaN            NaN
  1420.39        2500.00                 NaN   98.7030       0.424769       0.234319       0.182294                 NaN  0.455595                 NaN            NaN            NaN
  1419.29        2500.00                 NaN   98.7202       0.227628       0.420692       0.181717                 NaN  0.449777                 NaN            NaN            NaN
  1418.19        2500.00                 NaN   98.7354       0.221869       0.416905       0.181151                 NaN  0.444709                 NaN            NaN            NaN
  1417.09        2500.00                 NaN   98.7495       0.215759       0.413752       0.180971                 NaN  0.440042                 NaN            NaN            NaN
  1415.99        2500.00                 NaN   98.7642       0.209643       0.410409       0.180570                 NaN  0.435187                 NaN            NaN            NaN
  1414.89        2500.00                 NaN   98.7754       0.406444       0.204572       0.181528                 NaN  0.432047                 NaN            NaN            NaN
  1413.79        2500.00                 NaN   98.7981       0.198824       0.401856       0.178064                 NaN  0.423170                 NaN            NaN            NaN
  1412.69        2500.00                 NaN   98.8065       0.192595       0.400585       0.179353                 NaN  0.420997                 NaN            NaN            NaN
  1411.59        2500.00                 NaN   98.8205       0.397010       0.187209       0.178989                 NaN  0.416306                 NaN            NaN            NaN
  1410.49        2500.00                 NaN   98.8346       0.393734       0.181774       0.178368                 NaN  0.411525                 NaN            NaN            NaN
  1409.39        2500.00                 NaN   98.8470       0.176516       0.390998       0.178141                 NaN  0.407387                 NaN            NaN            NaN
  1408.29        2500.00                 NaN   98.8603       0.388083       0.171103       0.177638                 NaN  0.402894                 NaN            NaN            NaN
  1407.19        2500.00                 NaN   98.8726       0.165922       0.385210       0.177389                 NaN  0.398838                 NaN            NaN            NaN
  1406.08        2500.00                 NaN   98.8856       0.161076       0.382213       0.176729                 NaN  0.394349                 NaN            NaN            NaN
  1404.98        2500.00                 NaN   98.8971       0.379102       0.155572       0.177169                 NaN  0.391085                 NaN            NaN            NaN
  1403.88        2500.00                 NaN   98.9113       0.151949       0.375869       0.175397                 NaN  0.385506                 NaN            NaN            NaN
  1402.78        2500.00                 NaN   98.9200       0.144968       0.375830       0.176264                 NaN  0.382982                 NaN            NaN            NaN
  1401.68        2500.00                 NaN   98.9311       0.372485       0.141983       0.175530                 NaN  0.378866                 NaN            NaN            NaN
  1400.58        2500.00                 NaN   98.9451       0.368122       0.138609       0.174134                 NaN  0.373991                 NaN            NaN            NaN
  1399.48        2500.00                 NaN   98.9539       0.132233       0.367569       0.174801                 NaN  0.371471                 NaN            NaN            NaN
  1398.38        2500.00                 NaN   98.9672       0.129134       0.363160       0.173828                 NaN  0.366672                 NaN            NaN            NaN
  1397.28        2500.00                 NaN   98.9763       0.124133       0.361837       0.173873                 NaN  0.363840                 NaN            NaN            NaN
  1396.18        2500.00                 NaN   98.9878       0.359014       0.120462       0.172974                 NaN  0.359749                 NaN            NaN            NaN
  1395.08        2500.00                 NaN   98.9965       0.116353       0.357922       0.172659                 NaN  0.356572                 NaN            NaN            NaN
  1393.98        2500.00                 NaN   99.0066       0.111900       0.355154       0.172820                 NaN  0.353567                 NaN            NaN            NaN
  1392.88        2500.00                 NaN   99.0210       0.108257       0.351438       0.171219                 NaN  0.348055                 NaN            NaN            NaN
  1391.78        2500.00                 NaN   99.0277       0.349922       0.104853       0.171482                 NaN  0.346030                 NaN            NaN            NaN
  1390.68        2500.00                 NaN   99.0387       0.100672       0.347967       0.170624                 NaN  0.342087                 NaN            NaN            NaN
