|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.25/ALH/ALH_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Sp(TH)         Sp(TH)         an             San(TH)        ilm            q             
  1551.28        2500.00        99.7789       0.144269E-001  0.206676                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.90        2500.00        99.4101       0.513734       0.761202E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.52        2500.00        99.3958       0.542387       0.618378E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.14        2500.00        99.1661       0.747521       0.864253E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.75        2500.00        99.6294       0.332869       0.377174E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.37        2500.00        99.4129       0.527893       0.592472E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.99        2500.00        99.9997                 NaN  0.259690E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.61        2500.00        98.8253        1.05686       0.117792                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.23        2500.00        99.3860       0.559434       0.545587E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        99.4470       0.501382       0.515859E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.46        2500.00        99.4224       0.509512       0.680433E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.08        2500.00        99.4300       0.525980       0.440177E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.70        2500.00        99.4316       0.512311       0.560676E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.32        2500.00        98.1451        1.69761       0.157283                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.94        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.56        2500.00        99.9812                 NaN  0.187905E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.17        2500.00        99.5792       0.396636       0.241223E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.79        2500.00        99.5169       0.442251       0.408557E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.41        2500.00        99.4482       0.503180       0.486204E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.03        2500.00        99.4553       0.495387       0.493485E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.65        2500.00        99.3997       0.541850       0.584707E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.27        2500.00        99.5203       0.437376       0.423489E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.88        2500.00        99.4598       0.492899       0.473388E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.50        2500.00        99.4659       0.490316       0.437853E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.12        2500.00        99.4699       0.483602       0.465402E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.74        2500.00        99.4710       0.484827       0.441999E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.36        2500.00        99.4729       0.482735       0.443437E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.98        2500.00        99.4776       0.478763       0.436015E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.59        2500.00        99.4793       0.477988       0.427467E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
