|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.25/ALH/ALH_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Sp(TH)         Sp(TH)         an             San(TH)        ilm            q             
  1551.28        2500.00        99.8106       0.127600E-001  0.176629                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.90        2500.00        99.4804       0.454500       0.650676E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.52        2500.00        99.4675       0.479716       0.528320E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.14        2500.00        99.2652       0.661002       0.738220E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.75        2500.00        99.6736       0.294177       0.321853E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.37        2500.00        99.4829       0.466564       0.505611E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.99        2500.00        99.9998                 NaN  0.221697E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.61        2500.00        98.9652       0.934301       0.100494                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.23        2500.00        99.4592       0.494314       0.464969E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        99.5134       0.442679       0.439427E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.46        2500.00        99.4922       0.449822       0.579372E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.08        2500.00        99.4983       0.464239       0.374744E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.70        2500.00        99.5003       0.451979       0.477044E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.32        2500.00        98.3655        1.50065       0.133860                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.94        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.56        2500.00        99.9840                 NaN  0.159533E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.17        2500.00        99.6298       0.349703       0.204959E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.79        2500.00        99.5756       0.389725       0.346852E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.41        2500.00        99.5153       0.443422       0.412631E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.03        2500.00        99.5218       0.436383       0.418641E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.65        2500.00        99.4734       0.477097       0.495413E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
