|6.6.6
Archiving\03_Data\eqLP/QFM_m3.5/Y98/Y98_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       pxmn           Ni             Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  2000.00        500.000        99.0123       0.964007       0.236614E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.0123       0.964006       0.236614E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.0123       0.964006       0.236614E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.0123       0.964005       0.236613E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.0123       0.964005       0.236613E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.0123       0.964004       0.236613E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.0123       0.964004       0.236613E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.0123       0.964004       0.236613E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.0123       0.964003       0.236613E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.0123       0.964003       0.236613E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.0123       0.964002       0.236613E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.0123       0.964002       0.236613E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.0123       0.964001       0.236612E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.0123       0.964001       0.236612E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.0123       0.964000       0.236612E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.0123       0.964000       0.236612E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.0123       0.963999       0.236612E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.0123       0.963999       0.236612E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.0123       0.963998       0.236612E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.0123       0.963998       0.236612E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.0123       0.963997       0.236611E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.0123       0.963997       0.236611E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        99.0123       0.963996       0.236611E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        99.0123       0.963996       0.236611E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        99.0123       0.963995       0.236611E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        99.0123       0.963994       0.236611E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        99.0123       0.963994       0.236611E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        99.0123       0.963993       0.236610E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        99.0123       0.963993       0.236610E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        99.0123       0.963992       0.236610E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        99.0123       0.963991       0.236610E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        99.0123       0.963991       0.236610E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        99.0123       0.963990       0.236610E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        99.0123       0.963990       0.236610E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        99.0124       0.963989       0.236609E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        99.0124       0.963988       0.236609E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        99.0124       0.963988       0.236609E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        99.0124       0.963987       0.236609E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        99.0124       0.963986       0.236609E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        99.0124       0.963986       0.236609E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        99.0124       0.963985       0.236608E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        99.0124       0.963984       0.236608E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        99.0124       0.963984       0.236608E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        99.0124       0.963983       0.236608E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        99.0124       0.963982       0.236608E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        99.0124       0.963982       0.236608E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        99.0124       0.963981       0.236607E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        99.0124       0.963980       0.236607E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        99.0124       0.963979       0.236607E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        99.0124       0.963979       0.236607E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        99.0124       0.963978       0.236607E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        99.0124       0.963977       0.236606E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        99.0124       0.963976       0.236606E-001            NaN            NaN            NaN            NaN            NaN            NaN
