|6.6.6
Archiving\03_Data\eqLP/QFM_m3.5/Y98/Y98_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       pxmn           Ni             Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  2000.00        500.000        99.2192       0.772504       0.831562E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.2191       0.772577       0.831563E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.2190       0.772650       0.831565E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.2190       0.772724       0.831568E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.2189       0.772797       0.831570E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.2188       0.772871       0.831572E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.2187       0.772945       0.831575E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.2187       0.773018       0.831578E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.2186       0.773092       0.831581E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.2185       0.773166       0.831584E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.2184       0.773240       0.831588E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.2184       0.773314       0.831592E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.2183       0.773388       0.831595E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.2182       0.773462       0.831599E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.2181       0.773536       0.831604E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.2181       0.773610       0.831608E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.2180       0.773684       0.831613E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.2179       0.773759       0.831617E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.2179       0.773833       0.831622E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.2178       0.773907       0.831628E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.2177       0.773982       0.831633E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.2176       0.774056       0.831639E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        99.2176       0.774131       0.831644E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        99.2175       0.774206       0.831650E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        99.2174       0.774280       0.831656E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        99.2173       0.774355       0.831663E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        99.2173       0.774430       0.831669E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        99.2172       0.774505       0.831676E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        99.2171       0.774580       0.831683E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        99.2170       0.774655       0.831690E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        99.2170       0.774730       0.831697E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        99.2169       0.774805       0.831704E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        99.2168       0.774880       0.831712E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        99.2167       0.774956       0.831719E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        99.2167       0.775031       0.831727E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        99.2166       0.775106       0.831735E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        99.2165       0.775182       0.831744E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        99.2164       0.775257       0.831752E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        99.2163       0.775333       0.831761E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        99.2163       0.775408       0.831770E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        99.2162       0.775484       0.831779E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        99.2161       0.775560       0.831788E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        99.2160       0.775636       0.831797E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        99.2160       0.775712       0.831807E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        99.2159       0.775787       0.831816E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        99.2158       0.775863       0.831826E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        99.2157       0.775939       0.831836E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        99.2157       0.776016       0.831846E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        99.2156       0.776092       0.831857E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        99.2155       0.776168       0.831867E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        99.2154       0.776244       0.831878E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        99.2154       0.776321       0.831889E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        99.2153       0.776397       0.831900E-002            NaN            NaN            NaN            NaN            NaN            NaN
