|6.6.6
Archiving\03_Data\Deqfrac/QFM_m0.5/K22/K22_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm           
  1621.79        2500.00       0.498539E-002   99.3348       0.660220                 NaN            NaN            NaN            NaN            NaN            NaN
  1620.23        2500.00                 NaN   99.0921       0.902687       0.520400E-002            NaN            NaN            NaN            NaN            NaN
  1618.67        2500.00                 NaN   99.0950       0.847656       0.572945E-001            NaN            NaN            NaN            NaN            NaN
  1617.11        2500.00                 NaN   99.0995       0.810992       0.895309E-001            NaN            NaN            NaN            NaN            NaN
  1615.56        2500.00                 NaN   99.1101       0.801423       0.884633E-001            NaN            NaN            NaN            NaN            NaN
  1614.00        2500.00       0.496685E-002   96.6447        2.99402       0.356297                 NaN            NaN            NaN            NaN            NaN
  1612.44        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.88        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.32        2500.00                 NaN   99.9596       0.403974E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1607.76        2500.00                 NaN   99.1916       0.732496       0.758755E-001            NaN            NaN            NaN            NaN            NaN
  1606.21        2500.00                 NaN   99.1640       0.755446       0.805443E-001            NaN            NaN            NaN            NaN            NaN
  1604.65        2500.00                 NaN   99.1726       0.747620       0.798011E-001            NaN            NaN            NaN            NaN            NaN
  1603.09        2500.00                 NaN   99.1802       0.741966       0.777953E-001            NaN            NaN            NaN            NaN            NaN
  1601.53        2500.00                 NaN   99.1876       0.735959       0.764733E-001            NaN            NaN            NaN            NaN            NaN
  1599.97        2500.00                 NaN   99.1970       0.725770       0.772759E-001            NaN            NaN            NaN            NaN            NaN
  1598.41        2500.00                 NaN   99.1998       0.725756       0.744181E-001            NaN            NaN            NaN            NaN            NaN
  1596.86        2500.00                 NaN   99.2186       0.708131       0.732774E-001            NaN            NaN            NaN            NaN            NaN
  1595.30        2500.00                 NaN   99.2211       0.705742       0.731175E-001            NaN            NaN            NaN            NaN            NaN
  1593.74        2500.00                 NaN   99.2277       0.700808       0.715107E-001            NaN            NaN            NaN            NaN            NaN
  1592.18        2500.00                 NaN   99.2330       0.695295       0.716905E-001            NaN            NaN            NaN            NaN            NaN
  1590.62        2500.00                 NaN   99.2457       0.685692       0.686425E-001            NaN            NaN            NaN            NaN            NaN
  1589.06        2500.00                 NaN   97.2009        2.54719       0.251883                 NaN            NaN            NaN            NaN            NaN
  1587.51        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.95        2500.00                 NaN   99.9567       0.503542E-002  0.383056E-001            NaN            NaN            NaN            NaN            NaN
  1584.39        2500.00                 NaN   99.8590       0.123517       0.174632E-001            NaN            NaN            NaN            NaN            NaN
  1582.83        2500.00                 NaN   99.3094       0.659930       0.307001E-001            NaN            NaN            NaN            NaN            NaN
  1581.27        2500.00                 NaN   99.1554       0.807820       0.367460E-001            NaN            NaN            NaN            NaN            NaN
  1579.71        2500.00                 NaN   99.4201       0.527326       0.525894E-001            NaN            NaN            NaN            NaN            NaN
  1578.16        2500.00                 NaN   99.9060       0.872254E-001  0.676468E-002            NaN            NaN            NaN            NaN            NaN
  1576.60        2500.00                 NaN   98.6931        1.19492       0.111944                 NaN            NaN            NaN            NaN            NaN
  1575.04        2500.00                 NaN   99.3080       0.633623       0.583415E-001            NaN            NaN            NaN            NaN            NaN
  1573.48        2500.00                 NaN   99.3148       0.627893       0.572800E-001            NaN            NaN            NaN            NaN            NaN
  1571.92        2500.00                 NaN   99.3217       0.620852       0.574672E-001            NaN            NaN            NaN            NaN            NaN
  1570.36        2500.00                 NaN   99.3255       0.618878       0.555949E-001            NaN            NaN            NaN            NaN            NaN
  1568.81        2500.00                 NaN   99.3289       0.616144       0.549084E-001            NaN            NaN            NaN            NaN            NaN
  1567.25        2500.00                 NaN   99.3393       0.607249       0.534545E-001            NaN            NaN            NaN            NaN            NaN
  1565.69        2500.00                 NaN   99.3442       0.603488       0.523554E-001            NaN            NaN            NaN            NaN            NaN
  1564.13        2500.00                 NaN   99.3476       0.599917       0.524874E-001            NaN            NaN            NaN            NaN            NaN
  1562.57        2500.00                 NaN   99.3553       0.594283       0.504522E-001            NaN            NaN            NaN            NaN            NaN
  1561.01        2500.00                 NaN   99.3590       0.591108       0.499410E-001            NaN            NaN            NaN            NaN            NaN
  1559.46        2500.00                 NaN   99.3637       0.581253       0.550756E-001            NaN            NaN            NaN            NaN            NaN
  1557.90        2500.00                 NaN   97.3625        2.44887       0.188653                 NaN            NaN            NaN            NaN            NaN
  1556.34        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.78        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.22        2500.00                 NaN   99.9922       0.775352E-002  0.398447E-005            NaN            NaN            NaN            NaN            NaN
  1551.66        2500.00                 NaN   99.6660       0.309438       0.246006E-001            NaN            NaN            NaN            NaN            NaN
  1550.10        2500.00                 NaN   99.2393       0.656688       0.104017                 NaN            NaN            NaN            NaN            NaN
  1548.55        2500.00                 NaN   99.4422       0.557816                 NaN            NaN            NaN            NaN            NaN            NaN
  1546.99        2500.00                 NaN   99.4027       0.563135       0.341734E-001            NaN            NaN            NaN            NaN            NaN
