|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1/WD94/WD94_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1564.10        500.000        99.9811       0.189484E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.69        500.000        99.4498       0.649603E-001  0.485259                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.27        500.000        99.3902       0.335824E-001  0.576217                 NaN            NaN            NaN            NaN            NaN            NaN
  1559.86        500.000        99.3951       0.321541E-001  0.572729                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.44        500.000        99.3941       0.303553E-001  0.575519                 NaN            NaN            NaN            NaN            NaN            NaN
  1557.03        500.000        99.4088       0.295787E-001  0.561632                 NaN            NaN            NaN            NaN            NaN            NaN
  1555.62        500.000        99.4106       0.309339E-001  0.558488                 NaN            NaN            NaN            NaN            NaN            NaN
  1554.20        500.000        99.4174       0.288033E-001  0.553751                 NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        500.000        99.4040       0.284575E-001  0.567554                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        99.6986       0.114422E-001  0.289995                 NaN            NaN            NaN            NaN            NaN            NaN
  1549.96        500.000        99.1742       0.389006E-001  0.786870                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.55        500.000        99.4355       0.264689E-001  0.538031                 NaN            NaN            NaN            NaN            NaN            NaN
  1547.13        500.000        99.4357       0.249602E-001  0.539382                 NaN            NaN            NaN            NaN            NaN            NaN
  1545.72        500.000        99.4511       0.247196E-001  0.524225                 NaN            NaN            NaN            NaN            NaN            NaN
  1544.31        500.000        99.5096       0.243151E-001  0.466074                 NaN            NaN            NaN            NaN            NaN            NaN
  1542.89        500.000        99.3966       0.257690E-001  0.577647                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.48        500.000        99.3987       0.212374E-001  0.580025                 NaN            NaN            NaN            NaN            NaN            NaN
  1540.07        500.000        99.5212       0.198880E-001  0.458930                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.65        500.000        99.4490       0.993333E-002  0.541111                 NaN            NaN            NaN            NaN            NaN            NaN
  1537.24        500.000        99.4914       0.314347E-001  0.477131                 NaN            NaN            NaN            NaN            NaN            NaN
  1535.82        500.000        99.4761       0.203267E-001  0.503621                 NaN            NaN            NaN            NaN            NaN            NaN
  1534.41        500.000        99.5896       0.170368E-001  0.393321                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.00        500.000        99.3771       0.226615E-001  0.600241                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.58        500.000        99.4881       0.178357E-001  0.494086                 NaN            NaN            NaN            NaN            NaN            NaN
  1530.17        500.000        99.4929       0.173253E-001  0.489745                 NaN            NaN            NaN            NaN            NaN            NaN
