|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m2.75/T13/T13_1.tab                   
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       melt(TH)       melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1599.36        500.000        99.9717                 NaN            NaN  0.282641E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1597.86        500.000        99.0261                 NaN            NaN  0.973867                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.36        500.000        99.0310                 NaN            NaN  0.963841       0.520644E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.85        500.000        99.0401                 NaN            NaN  0.907941       0.519190E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.35        500.000        99.0316                 NaN            NaN  0.919387       0.489746E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.85        500.000        99.0789                 NaN            NaN  0.871986       0.491579E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.35        500.000        99.0711                 NaN            NaN  0.880016       0.488413E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.84        500.000        99.0775                 NaN            NaN  0.876250       0.462219E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.34        500.000        99.0911                 NaN            NaN  0.862267       0.466562E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.84        500.000        99.0970                 NaN            NaN  0.857383       0.456259E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.34        500.000        99.1092                 NaN            NaN  0.846414       0.443933E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.84        500.000        98.6106                 NaN            NaN   1.32207       0.673519E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
