|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m2.75/T13/T13_3.tab                   
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       melt(TH)       melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1599.36        500.000        99.9751                 NaN            NaN  0.248563E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1597.86        500.000        99.1429                 NaN            NaN  0.857137                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.36        500.000        99.1474                 NaN            NaN  0.848163       0.444227E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.85        500.000        99.1570                 NaN            NaN  0.798706       0.442817E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.35        500.000        99.1495                 NaN            NaN  0.808696       0.417579E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.85        500.000        99.1914                 NaN            NaN  0.766661       0.418897E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.35        500.000        99.1849                 NaN            NaN  0.773507       0.416011E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.84        500.000        99.1907                 NaN            NaN  0.769976       0.393498E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.34        500.000        99.2029                 NaN            NaN  0.757394       0.396987E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.84        500.000        99.2082                 NaN            NaN  0.752971       0.388150E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.34        500.000        99.2192                 NaN            NaN  0.743054       0.377401E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.84        500.000        98.7817                 NaN            NaN   1.16106       0.572649E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.33        500.000        99.6672                 NaN            NaN  0.317473       0.153027E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.83        500.000        99.2533                 NaN            NaN  0.714392       0.323236E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.33        500.000        99.2483                 NaN            NaN  0.717638       0.340484E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.83        500.000        99.2518                 NaN            NaN  0.715166       0.330287E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.33        500.000        99.2686                 NaN            NaN  0.699044       0.323197E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.82        500.000        99.2682                 NaN            NaN  0.702372       0.294163E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.32        500.000        99.2797                 NaN            NaN  0.690187       0.300712E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.82        500.000        99.2839                 NaN            NaN  0.686892       0.291648E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.32        500.000        99.2904                 NaN            NaN  0.682034       0.275172E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.81        500.000        99.2980                 NaN            NaN  0.674550       0.274615E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.31        500.000        99.2951                 NaN            NaN  0.676012       0.288989E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.81        500.000        99.3201                 NaN            NaN  0.654408       0.254722E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.31        500.000        99.3194                 NaN            NaN  0.657011       0.235630E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.81        500.000        99.4057                 NaN            NaN  0.572008       0.223011E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.30        500.000        99.2461                 NaN            NaN  0.729887       0.240429E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        500.000        99.3363                 NaN            NaN  0.642106       0.216245E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        500.000        99.3379                 NaN            NaN  0.639662       0.224065E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.80        500.000        99.3519                 NaN            NaN  0.627726       0.203710E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.30        500.000        99.3492                 NaN            NaN  0.634435       0.163630E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        500.000        99.3597                 NaN            NaN  0.621494       0.188089E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.29        500.000        99.3083                 NaN            NaN  0.669382       0.223623E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.79        500.000        99.4266                 NaN            NaN  0.559181       0.142333E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.29        500.000        99.3614                 NaN            NaN  0.590392       0.482432E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.78        500.000        99.4002                 NaN            NaN  0.549707       0.501407E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.28        500.000        99.3831                 NaN            NaN  0.616868                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.78        500.000        99.3973                 NaN            NaN  0.585152       0.175497E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.28        500.000        99.3848                 NaN            NaN  0.613305       0.190456E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.78        500.000        99.4006                 NaN            NaN  0.599392                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.27        500.000        99.3250                 NaN            NaN  0.675010                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.77        500.000        99.4867                 NaN            NaN  0.513284                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.27        500.000        99.4138                 NaN            NaN  0.586211       0.890589E-006            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.77        500.000        99.4166                 NaN            NaN  0.581348       0.208336E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.27        500.000        99.4225                 NaN            NaN  0.570435       0.709905E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.76        500.000        99.4256                 NaN            NaN  0.569033       0.533171E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.26        500.000        99.4315                 NaN            NaN  0.552220       0.162833E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.76        500.000        98.8606                 NaN            NaN   1.07935       0.600825E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.26        500.000        99.8506                 NaN            NaN  0.142964       0.640972E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.75        500.000        99.9139                 NaN            NaN  0.843301E-001  0.181628E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.25        500.000        99.1538                 NaN            NaN  0.846175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.75        500.000        99.4523                 NaN            NaN  0.542268       0.539695E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.25        500.000        99.4543                 NaN            NaN  0.545749                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.75        500.000        99.4631                 NaN            NaN  0.526368       0.105658E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.24        500.000        99.4626                 NaN            NaN  0.537402                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.74        500.000        99.4673                 NaN            NaN  0.532699                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.24        500.000        99.4667                 NaN            NaN  0.500346       0.329976E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.74        500.000        99.4851                 NaN            NaN  0.514893                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.23        500.000        99.4776                 NaN            NaN  0.522381                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.73        500.000        99.4801                 NaN            NaN  0.519897                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.23        500.000        99.4873                 NaN            NaN  0.512690                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.73        500.000        99.4881                 NaN            NaN  0.511875                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.23        500.000        99.4913                 NaN            NaN  0.508652                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.72        500.000        99.4957                 NaN            NaN  0.504266                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.22        500.000        99.4737                 NaN            NaN  0.526302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.72        500.000        99.6918                 NaN            NaN  0.308210       0.362644E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.22        500.000        99.3415                 NaN            NaN  0.658543                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.72        500.000        99.5066                 NaN            NaN  0.493410                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.21        500.000        99.4664                 NaN            NaN  0.533644                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.71        500.000        99.5872                 NaN            NaN  0.412764                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.21        500.000        99.4883                 NaN            NaN  0.511676                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.71        500.000        98.9444                 NaN            NaN   1.05558                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
