|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.5/Y98/Y98_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             ilm            San(TH)        San(TH)        q             
  1490.38        2500.00       0.445485E-002   97.6770                 NaN            NaN  0.707833        1.55101                 NaN  0.597034E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1489.15        2500.00       0.828276E-005   99.1496                 NaN            NaN  0.273284       0.577142                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.92        2500.00       0.998623E-003   99.1541                 NaN            NaN  0.273997       0.570926                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.69        2500.00       0.141263E-002   99.1621                 NaN            NaN  0.564175       0.272294                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.46        2500.00       0.137887E-002   99.1667                 NaN            NaN  0.270730       0.561149                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.23        2500.00       0.133416E-002   99.1740                 NaN            NaN  0.556296       0.268183                 NaN            NaN  0.149888E-003            NaN            NaN            NaN            NaN            NaN
  1483.01        2500.00       0.129480E-002   99.1786                 NaN            NaN  0.266919       0.553184                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.78        2500.00       0.159111E-002   98.5172                 NaN            NaN  0.119939        1.14058                 NaN            NaN  0.220723                 NaN            NaN            NaN            NaN            NaN
  1480.55        2500.00       0.122907E-003   99.9175                 NaN            NaN  0.551784E-001  0.269935E-001            NaN            NaN  0.182461E-003            NaN            NaN            NaN            NaN            NaN
  1479.32        2500.00       0.115323E-002   99.1961                 NaN            NaN  0.541324       0.261375                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.09        2500.00       0.110218E-002   99.2016                 NaN            NaN  0.537715       0.259561                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.86        2500.00       0.104502E-002   99.1977                 NaN            NaN  0.259938       0.541292                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.63        2500.00       0.103056E-002   99.2217                 NaN            NaN  0.254291       0.522995                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.40        2500.00       0.100390E-002   99.2165                 NaN            NaN  0.254517       0.527860                 NaN            NaN  0.924337E-004            NaN            NaN            NaN            NaN            NaN
  1473.17        2500.00       0.967141E-003   99.2225                 NaN            NaN  0.252460       0.524068                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.94        2500.00       0.920177E-003   99.2286                 NaN            NaN  0.520272       0.249811                 NaN            NaN  0.355917E-003            NaN            NaN            NaN            NaN            NaN
  1470.72        2500.00       0.887051E-003   99.2320                 NaN            NaN  0.248771       0.518317                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.49        2500.00       0.851533E-003   99.2374                 NaN            NaN  0.514576       0.247194                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.26        2500.00       0.821841E-003   99.2418                 NaN            NaN  0.245677       0.511712                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.03        2500.00       0.792487E-003   99.2463                 NaN            NaN  0.509136       0.243796                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.80        2500.00       0.753071E-003   99.2510                 NaN            NaN  0.506189       0.242001                 NaN            NaN  0.573353E-004            NaN            NaN            NaN            NaN            NaN
  1464.57        2500.00       0.727629E-003   99.2554                 NaN            NaN  0.503349       0.240521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.34        2500.00       0.700319E-003   99.2594                 NaN            NaN  0.501005       0.238850                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.11        2500.00       0.674539E-003   99.2625                 NaN            NaN  0.499745       0.236247                 NaN            NaN  0.844708E-003            NaN            NaN            NaN            NaN            NaN
  1460.88        2500.00       0.629222E-003   99.2679                 NaN            NaN  0.235872       0.495558                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.65        2500.00       0.611256E-003   99.2712                 NaN            NaN  0.494199       0.234024                 NaN            NaN  0.968547E-006            NaN            NaN            NaN            NaN            NaN
  1458.43        2500.00       0.595534E-003   99.2762                 NaN            NaN  0.490678       0.232505                 NaN            NaN  0.131218E-004            NaN            NaN            NaN            NaN            NaN
  1457.20        2500.00       0.569845E-003   99.2772                 NaN            NaN  0.491116       0.231081                 NaN            NaN  0.845754E-005            NaN            NaN            NaN            NaN            NaN
  1455.97        2500.00       0.537836E-003   99.2841                 NaN            NaN  0.485932       0.229386                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.74        2500.00       0.503961E-003   99.2881                 NaN            NaN  0.221311       0.486141                 NaN            NaN  0.398371E-002            NaN            NaN            NaN            NaN            NaN
  1453.51        2500.00       0.503651E-003   99.2898                 NaN            NaN  0.226727       0.483008                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.28        2500.00       0.442194E-003   99.2941                 NaN            NaN  0.482610       0.220587                 NaN            NaN  0.230983E-002            NaN            NaN            NaN            NaN            NaN
  1451.05        2500.00       0.248882E-003   98.6168                 NaN            NaN  0.354443       0.584035                 NaN            NaN  0.976543E-001  0.346793                 NaN            NaN            NaN            NaN
  1449.82        2500.00       0.305330E-002   97.8200                 NaN            NaN  0.702504       0.468793                 NaN            NaN  0.243068       0.762631                 NaN            NaN            NaN            NaN
  1448.59        2500.00                 NaN   97.8672                 NaN            NaN  0.440550       0.707425                 NaN            NaN  0.239066       0.745711                 NaN            NaN            NaN            NaN
  1447.36        2500.00                 NaN   97.9027                 NaN            NaN  0.697312       0.427422                 NaN            NaN  0.238234       0.734321                 NaN            NaN            NaN            NaN
  1446.14        2500.00                 NaN   97.9329                 NaN            NaN  0.690573       0.414038                 NaN            NaN  0.237966       0.724545                 NaN            NaN            NaN            NaN
  1444.91        2500.00                 NaN   97.9360                 NaN            NaN  0.400535       0.696844                 NaN            NaN  0.241294       0.725368                 NaN            NaN            NaN            NaN
  1443.68        2500.00                 NaN   98.0260                 NaN            NaN  0.383542       0.666120                 NaN            NaN  0.232146       0.692213                 NaN            NaN            NaN            NaN
  1442.45        2500.00                 NaN   98.0338                 NaN            NaN  0.667741       0.372399                 NaN            NaN  0.234987       0.691088                 NaN            NaN            NaN            NaN
  1441.22        2500.00                 NaN   98.0628                 NaN            NaN  0.360027       0.661430                 NaN            NaN  0.234319       0.681422                 NaN            NaN            NaN            NaN
  1439.99        2500.00                 NaN   98.0978                 NaN            NaN  0.346899       0.652736                 NaN            NaN  0.232817       0.669702                 NaN            NaN            NaN            NaN
  1438.76        2500.00                 NaN   98.1267                 NaN            NaN  0.645526       0.335368                 NaN            NaN  0.232187       0.660248                 NaN            NaN            NaN            NaN
  1437.53        2500.00                 NaN   98.1532                 NaN            NaN  0.325163       0.638171                 NaN            NaN  0.232204       0.651236                 NaN            NaN            NaN            NaN
  1436.30        2500.00                 NaN   98.1890                 NaN            NaN  0.631649       0.310679                 NaN            NaN  0.229595       0.639107                 NaN            NaN            NaN            NaN
  1435.07        2500.00                 NaN   98.2118                 NaN            NaN  0.298144       0.628410                 NaN            NaN  0.229794       0.631875                 NaN            NaN            NaN            NaN
  1433.84        2500.00                 NaN   98.2402                 NaN            NaN  0.622363       0.286568                 NaN            NaN  0.228614       0.622274                 NaN            NaN            NaN            NaN
  1432.62        2500.00                 NaN   98.2641                 NaN            NaN  0.617240       0.276115                 NaN            NaN  0.228247       0.614257                 NaN            NaN            NaN            NaN
  1431.39        2500.00                 NaN   97.9306                 NaN            NaN  0.741524       0.317571                 NaN            NaN  0.276488       0.733846                 NaN            NaN            NaN            NaN
  1430.16        2500.00                 NaN   98.6791                 NaN            NaN  0.474960       0.201477                 NaN            NaN  0.176912       0.467556                 NaN            NaN            NaN            NaN
  1428.93        2500.00                 NaN   98.3210                 NaN            NaN  0.242188       0.611606                 NaN            NaN  0.228018       0.597187                 NaN            NaN            NaN            NaN
  1427.70        2500.00                 NaN   98.3802                 NaN            NaN  0.231411       0.591320                 NaN            NaN  0.222793       0.574253                 NaN            NaN            NaN            NaN
  1426.47        2500.00                 NaN   98.3858                 NaN            NaN  0.593057       0.222969                 NaN            NaN  0.224550       0.573598                 NaN            NaN            NaN            NaN
  1425.24        2500.00                 NaN   98.4095                 NaN            NaN  0.586493       0.214619                 NaN            NaN  0.223761       0.565597                 NaN            NaN            NaN            NaN
  1424.01        2500.00                 NaN   98.4291                 NaN            NaN  0.584463       0.204322                 NaN            NaN  0.223296       0.558769                 NaN            NaN            NaN            NaN
  1422.78        2500.00                 NaN   98.4517                 NaN            NaN  0.580613       0.194011                 NaN            NaN  0.222325       0.551316                 NaN            NaN            NaN            NaN
  1421.55        2500.00                 NaN   98.2851                 NaN            NaN  0.213004       0.645011                 NaN            NaN  0.246426       0.610466                 NaN            NaN            NaN            NaN
  1420.33        2500.00                 NaN   98.6837                 NaN            NaN  0.148084       0.502567                 NaN            NaN  0.196150       0.469462                 NaN            NaN            NaN            NaN
  1419.10        2500.00                 NaN   98.5115                 NaN            NaN  0.569369       0.167199                 NaN            NaN  0.220792       0.531137                 NaN            NaN            NaN            NaN
  1417.87        2500.00                 NaN   98.5329                 NaN            NaN  0.564377       0.159864                 NaN            NaN  0.219418       0.523392                 NaN            NaN            NaN            NaN
  1416.64        2500.00                 NaN   98.5511                 NaN            NaN  0.562514       0.149678                 NaN            NaN  0.219143       0.517523                 NaN            NaN            NaN            NaN
  1415.41        2500.00                 NaN   98.5718                 NaN            NaN  0.140953       0.558678                 NaN            NaN  0.218186       0.510339                 NaN            NaN            NaN            NaN
  1414.18        2500.00                 NaN   98.5890                 NaN            NaN  0.555561       0.133424                 NaN            NaN  0.217544       0.504483                 NaN            NaN            NaN            NaN
  1412.95        2500.00                 NaN   98.6056                 NaN            NaN  0.125196       0.552973                 NaN            NaN  0.217375       0.498839                 NaN            NaN            NaN            NaN
  1411.72        2500.00                 NaN   98.6246                 NaN            NaN  0.550471       0.116735                 NaN            NaN  0.216106       0.492112                 NaN            NaN            NaN            NaN
  1410.49        2500.00                 NaN   98.6414                 NaN            NaN  0.547306       0.109460                 NaN            NaN  0.215398       0.486473                 NaN            NaN            NaN            NaN
  1409.26        2500.00                 NaN   98.6546                 NaN            NaN  0.546502       0.101664                 NaN            NaN  0.215221       0.482041                 NaN            NaN            NaN            NaN
  1408.04        2500.00                 NaN   98.6745                 NaN            NaN  0.923291E-001  0.544030                 NaN            NaN  0.214124       0.475019                 NaN            NaN            NaN            NaN
  1406.81        2500.00                 NaN   98.6918                 NaN            NaN  0.861499E-001  0.540127                 NaN            NaN  0.213066       0.468907                 NaN            NaN            NaN            NaN
  1405.58        2500.00                 NaN   98.7057                 NaN            NaN  0.538971       0.785757E-001            NaN            NaN  0.212492       0.464226                 NaN            NaN            NaN            NaN
  1404.35        2500.00                 NaN   98.7195                 NaN            NaN  0.538052       0.705036E-001            NaN            NaN  0.212355       0.459571                 NaN            NaN            NaN            NaN
  1403.12        2500.00                 NaN   98.7373                 NaN            NaN  0.534559       0.645077E-001            NaN            NaN  0.210495       0.453130                 NaN            NaN            NaN            NaN
  1401.89        2500.00                 NaN   98.7516                 NaN            NaN  0.561656E-001  0.533887                 NaN            NaN  0.210079       0.448287                 NaN            NaN            NaN            NaN
  1400.66        2500.00                 NaN   98.7583                 NaN            NaN  0.533360       0.499049E-001            NaN            NaN  0.211001       0.447384                 NaN            NaN            NaN            NaN
  1399.43        2500.00                 NaN   98.7895                 NaN            NaN  0.527334       0.420980E-001            NaN            NaN  0.206784       0.434329                 NaN            NaN            NaN            NaN
  1398.20        2500.00                 NaN   98.7937                 NaN            NaN  0.529732       0.358164E-001            NaN            NaN  0.207403       0.433303                 NaN            NaN            NaN            NaN
  1396.97        2500.00                 NaN   98.8075                 NaN            NaN  0.528530       0.287304E-001            NaN            NaN  0.206652       0.428577                 NaN            NaN            NaN            NaN
  1395.75        2500.00                 NaN   98.8198                 NaN            NaN  0.219906E-001  0.528421                 NaN            NaN  0.205704       0.424039                 NaN            NaN            NaN            NaN
  1394.52        2500.00                 NaN   98.8334                 NaN            NaN  0.527774       0.143519E-001            NaN            NaN  0.205026       0.419432                 NaN            NaN            NaN            NaN
  1393.29        2500.00                 NaN   98.8471                 NaN            NaN  0.917292E-002  0.525889                 NaN            NaN  0.203561       0.414234                 NaN            NaN            NaN            NaN
  1392.06        2500.00                 NaN   98.8600                 NaN            NaN  0.524809       0.265383E-002            NaN            NaN  0.202744       0.409787                 NaN            NaN            NaN            NaN
  1390.83        2500.00                 NaN   98.8513                 NaN            NaN  0.158100       0.428070                 NaN            NaN  0.159509       0.403059                 NaN            NaN            NaN            NaN
  1389.60        2500.00                 NaN   98.8845                 NaN            NaN  0.513231                 NaN            NaN            NaN  0.201145       0.401134                 NaN            NaN            NaN            NaN
  1388.37        2500.00                 NaN   97.7248                 NaN            NaN   1.03676                 NaN            NaN            NaN  0.418226       0.820203                 NaN            NaN            NaN            NaN
  1387.14        2500.00                 NaN   99.9247                 NaN            NaN  0.348848E-001            NaN            NaN            NaN  0.175546E-001  0.228599E-001            NaN            NaN            NaN            NaN
  1385.91        2500.00                 NaN   99.0866                 NaN            NaN  0.409408                 NaN            NaN            NaN  0.172751       0.331284                 NaN            NaN            NaN            NaN
  1384.68        2500.00                 NaN   98.9260                 NaN            NaN  0.503710                 NaN            NaN            NaN  0.186775       0.383477                 NaN            NaN            NaN            NaN
  1383.46        2500.00                 NaN   98.9271                 NaN            NaN  0.728315E-001  0.451691                 NaN            NaN  0.168610       0.379742                 NaN            NaN            NaN            NaN
  1382.23        2500.00                 NaN   98.9554                 NaN            NaN  0.487799                 NaN            NaN            NaN  0.184434       0.372398                 NaN            NaN            NaN            NaN
  1381.00        2500.00                 NaN   98.9487                 NaN            NaN  0.482876                 NaN            NaN            NaN  0.190783       0.377679                 NaN            NaN            NaN            NaN
  1379.77        2500.00                 NaN   98.9778                 NaN            NaN  0.468707                 NaN            NaN            NaN  0.187316       0.366190                 NaN            NaN            NaN            NaN
  1378.54        2500.00                 NaN   98.9874                 NaN            NaN  0.468285                 NaN            NaN            NaN  0.182205       0.362093                 NaN            NaN            NaN            NaN
  1377.31        2500.00                 NaN   98.9991                 NaN            NaN  0.471703                 NaN            NaN            NaN  0.174208       0.354993                 NaN            NaN            NaN            NaN
  1376.08        2500.00                 NaN   98.9988                 NaN            NaN  0.472171                 NaN            NaN            NaN  0.173517       0.355504                 NaN            NaN            NaN            NaN
  1374.85        2500.00                 NaN   99.0091                 NaN            NaN  0.465024                 NaN            NaN            NaN  0.173876       0.352038                 NaN            NaN            NaN            NaN
  1373.62        2500.00                 NaN   99.0177                 NaN            NaN  0.461214                 NaN            NaN            NaN  0.170920       0.350126                 NaN            NaN            NaN            NaN
  1372.39        2500.00                 NaN   99.0332                 NaN            NaN  0.460984                 NaN            NaN            NaN  0.164955       0.340836                 NaN            NaN            NaN            NaN
  1371.16        2500.00                 NaN   99.0186                 NaN            NaN  0.457004                 NaN            NaN            NaN  0.174057       0.350304                 NaN            NaN            NaN            NaN
  1369.94        2500.00                 NaN   99.0679                 NaN            NaN  0.437191                 NaN            NaN            NaN  0.166122       0.328738                 NaN            NaN            NaN            NaN
  1368.71        2500.00                 NaN   99.0542                 NaN            NaN  0.445749                 NaN            NaN            NaN  0.165421       0.334618                 NaN            NaN            NaN            NaN
  1367.48        2500.00                 NaN   99.0661                 NaN            NaN  0.442158                 NaN            NaN            NaN  0.162234       0.329490                 NaN            NaN            NaN            NaN
  1366.25        2500.00                 NaN   99.0822                 NaN            NaN  0.438136                 NaN            NaN            NaN  0.150944       0.328671                 NaN            NaN            NaN            NaN
  1365.02        2500.00                 NaN   99.0704                 NaN            NaN  0.442864                 NaN            NaN            NaN  0.165027       0.321716                 NaN            NaN            NaN            NaN
  1363.79        2500.00                 NaN   99.0887                 NaN            NaN  0.435546                 NaN            NaN            NaN  0.155549       0.320192                 NaN            NaN            NaN            NaN
  1362.56        2500.00                 NaN   99.0967                 NaN            NaN  0.431253                 NaN            NaN            NaN  0.154754       0.317315                 NaN            NaN            NaN            NaN
  1361.33        2500.00                 NaN   99.1062                 NaN            NaN  0.428348                 NaN            NaN            NaN  0.152060       0.313419                 NaN            NaN            NaN            NaN
  1360.10        2500.00                 NaN   99.1124                 NaN            NaN  0.426152                 NaN            NaN            NaN  0.150562       0.310919                 NaN            NaN            NaN            NaN
  1358.87        2500.00                 NaN   99.1195                 NaN            NaN  0.427198                 NaN            NaN            NaN  0.146110       0.307174                 NaN            NaN            NaN            NaN
  1357.65        2500.00                 NaN   99.1273                 NaN            NaN  0.419876                 NaN            NaN            NaN  0.147775       0.305058                 NaN            NaN            NaN            NaN
  1356.42        2500.00                 NaN   99.1601                 NaN            NaN  0.389718                 NaN            NaN            NaN  0.151663       0.298493                 NaN            NaN            NaN            NaN
  1355.19        2500.00                 NaN   99.1115                 NaN            NaN  0.456553                 NaN            NaN            NaN  0.132218       0.299736                 NaN            NaN            NaN            NaN
  1353.96        2500.00                 NaN   99.1504                 NaN            NaN  0.412965                 NaN            NaN            NaN  0.141188       0.295403                 NaN            NaN            NaN            NaN
  1352.73        2500.00                 NaN   99.1585                 NaN            NaN  0.407241                 NaN            NaN            NaN  0.141588       0.292641                 NaN            NaN            NaN            NaN
  1351.50        2500.00                 NaN   99.1644                 NaN            NaN  0.407421                 NaN            NaN            NaN  0.138360       0.289829                 NaN            NaN            NaN            NaN
  1350.27        2500.00                 NaN   99.1718                 NaN            NaN  0.402436                 NaN            NaN            NaN  0.138544       0.287231                 NaN            NaN            NaN            NaN
  1349.04        2500.00                 NaN   99.1792                 NaN            NaN  0.404167                 NaN            NaN            NaN  0.133168       0.283420                 NaN            NaN            NaN            NaN
  1347.81        2500.00                 NaN   99.1843                 NaN            NaN  0.401753                 NaN            NaN            NaN  0.132287       0.281669                 NaN            NaN            NaN            NaN
  1346.58        2500.00                 NaN   99.1912                 NaN            NaN  0.400029                 NaN            NaN            NaN  0.130105       0.278617                 NaN            NaN            NaN            NaN
  1345.36        2500.00                 NaN   99.1976                 NaN            NaN  0.397252                 NaN            NaN            NaN  0.129008       0.276102                 NaN            NaN            NaN            NaN
