|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.5/Y98/Y98_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             ilm            San(TH)        San(TH)        q             
  1490.38        2500.00       0.673452E-002   97.3667                 NaN            NaN  0.806466        1.75177                 NaN  0.683675E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1489.15        2500.00       0.125371E-004   99.0346                 NaN            NaN  0.312088       0.653299                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.92        2500.00       0.151067E-002   99.0390                 NaN            NaN  0.313062       0.646456                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.69        2500.00       0.213598E-002   99.0476                 NaN            NaN  0.639044       0.311236                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.46        2500.00       0.208386E-002   99.0526                 NaN            NaN  0.309560       0.635758                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.23        2500.00       0.201476E-002   99.0606                 NaN            NaN  0.630440       0.306775                 NaN            NaN  0.180829E-003            NaN            NaN            NaN            NaN            NaN
  1483.01        2500.00       0.195423E-002   99.0655                 NaN            NaN  0.305463       0.627108                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.78        2500.00       0.239969E-002   98.3010                 NaN            NaN  0.137285        1.29295                 NaN            NaN  0.266371                 NaN            NaN            NaN            NaN            NaN
  1480.55        2500.00       0.185525E-003   99.9060                 NaN            NaN  0.626695E-001  0.309569E-001            NaN            NaN  0.220898E-003            NaN            NaN            NaN            NaN            NaN
  1479.32        2500.00       0.173793E-002   99.0843                 NaN            NaN  0.614388       0.299586                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.09        2500.00       0.166000E-002   99.0902                 NaN            NaN  0.610492       0.297642                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.86        2500.00       0.157279E-002   99.0855                 NaN            NaN  0.298183       0.614737                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.63        2500.00       0.155033E-002   99.1124                 NaN            NaN  0.291859       0.594148                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.40        2500.00       0.150887E-002   99.1063                 NaN            NaN  0.292249       0.599811                 NaN            NaN  0.112174E-003            NaN            NaN            NaN            NaN            NaN
  1473.17        2500.00       0.145273E-002   99.1129                 NaN            NaN  0.289980       0.595705                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.94        2500.00       0.138155E-002   99.1195                 NaN            NaN  0.591624       0.287089                 NaN            NaN  0.432532E-003            NaN            NaN            NaN            NaN            NaN
  1470.72        2500.00       0.133102E-002   99.1230                 NaN            NaN  0.286039       0.589625                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.49        2500.00       0.127671E-002   99.1289                 NaN            NaN  0.585508       0.284322                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
