|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.25/YM20/YM20_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1583.33        2500.00       0.267950E-003   99.8600       0.139174       0.576307E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.87        2500.00                 NaN   99.4177       0.562790       0.195294E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.41        2500.00                 NaN   99.4226       0.515712       0.616716E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.94        2500.00                 NaN   99.4260       0.513104       0.608867E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.48        2500.00                 NaN   99.4305       0.509302       0.601891E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.02        2500.00                 NaN   99.4367       0.504011       0.592507E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.56        2500.00                 NaN   99.4408       0.500701       0.585261E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.10        2500.00                 NaN   99.4437       0.498881       0.574258E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.63        2500.00                 NaN   99.3479       0.582998       0.691144E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.17        2500.00                 NaN   99.9097       0.799340E-001  0.103319E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.71        2500.00                 NaN   98.7899        1.09539       0.114725                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.25        2500.00                 NaN   99.2904       0.637568       0.719906E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.79        2500.00                 NaN   99.8779       0.110312       0.118194E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.32        2500.00                 NaN   99.5572       0.400403       0.424086E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.86        2500.00                 NaN   99.4783       0.469070       0.526147E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
