|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.5/KHA22/KHA22_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1548.08        500.000        99.7333       0.265582       0.108730E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.71        500.000        99.4647       0.520143       0.151374E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.33        500.000        99.4707       0.509105       0.201823E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.96        500.000        99.4739       0.507026       0.191065E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.59        500.000        99.4785       0.502436       0.191051E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.21        500.000        99.4828       0.499371       0.178006E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.84        500.000        98.8931        1.06439       0.424720E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.46        500.000        99.5924       0.361487       0.407541E-001  0.531580E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1537.09        500.000        99.9922                 NaN  0.781218E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.72        500.000        99.5481       0.438549       0.133287E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.34        500.000        99.5028       0.482553       0.146808E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.97        500.000        99.5075       0.478376       0.141087E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.60        500.000        99.5081       0.478545       0.133894E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.22        500.000        99.5152       0.472842       0.119561E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.85        500.000        99.5173       0.470765       0.119575E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.48        500.000        99.5216       0.466617       0.117977E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.10        500.000        99.4783       0.513554       0.813847E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.73        500.000        99.5720       0.416743       0.112685E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.35        500.000        99.5287       0.462905       0.837365E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.98        500.000        99.5370       0.453728       0.931963E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.61        500.000        99.5393       0.452554       0.819507E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.23        500.000        99.5421       0.449498       0.843354E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.86        500.000        99.5455       0.447214       0.723971E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.49        500.000        99.5485       0.443463       0.801014E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.11        500.000        99.5069       0.486918       0.613781E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.74        500.000        99.6184       0.375640       0.598656E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.37        500.000        99.5408       0.439231       0.199894E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.99        500.000        99.5633       0.428529       0.816414E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.62        500.000        99.5599       0.426920       0.131905E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.24        500.000        99.5730       0.424693       0.231693E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.87        500.000        99.5722       0.409709       0.181184E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.50        500.000        99.5722       0.427790                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.12        500.000        99.5484       0.451577                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.75        500.000        99.6071       0.392902       0.229773E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.38        500.000        99.5816       0.408996       0.938782E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.00        500.000        99.5838       0.416151                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.63        500.000        99.5878       0.412213       0.279218E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.26        500.000        99.7002       0.299589       0.227730E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.88        500.000        99.4787       0.521314       0.944749E-006            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.51        500.000        99.5937       0.406349                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.13        500.000        99.5544       0.445576                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.76        500.000        99.6431       0.356856                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.39        500.000        99.6019       0.395054       0.305201E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.01        500.000        99.6067       0.378289       0.150535E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.64        500.000        99.5416       0.458414                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.27        500.000        99.8341       0.165862                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.89        500.000        99.4494       0.550558                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.52        500.000        99.6216       0.341117       0.372379E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.15        500.000        99.6161       0.383891                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.77        500.000        99.6225       0.350684       0.267824E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.40        500.000        99.6198       0.380153                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
