|6.6.6
Archiving\03_Data\eqfrac/QFM/Y98/Y98_3.tab                                
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             Sp(TH)         San(TH)        ilm            q             
  1483.97        2500.00        99.7354       0.106619                 NaN  0.158003                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.76        2500.00        99.2073       0.562363                 NaN  0.230361                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.54        2500.00        99.2157       0.558111                 NaN  0.226225                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.33        2500.00        99.2193       0.556984                 NaN  0.223721                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.12        2500.00        99.2059       0.566938                 NaN  0.227123                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.91        2500.00        99.2455       0.540417                 NaN  0.214117                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.69        2500.00        99.2340       0.549975                 NaN  0.216039                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.48        2500.00        99.2309       0.556013                 NaN  0.171808       0.413068E-001            NaN            NaN            NaN            NaN            NaN
  1474.27        2500.00        99.2204       0.567756                 NaN  0.133145       0.787029E-001            NaN            NaN            NaN            NaN            NaN
  1473.05        2500.00        99.2457       0.550358                 NaN  0.126420       0.775154E-001            NaN            NaN            NaN            NaN            NaN
  1471.84        2500.00        99.2420       0.554334                 NaN  0.125411       0.782159E-001            NaN            NaN            NaN            NaN            NaN
  1470.63        2500.00        99.2451       0.553313                 NaN  0.123789       0.777672E-001            NaN            NaN            NaN            NaN            NaN
  1469.41        2500.00        99.2331       0.562873                 NaN  0.126045       0.779641E-001            NaN            NaN            NaN            NaN            NaN
  1468.20        2500.00        99.8438       0.115661                 NaN  0.231138E-001  0.173840E-001            NaN            NaN            NaN            NaN            NaN
  1466.99        2500.00        98.6882       0.966484                 NaN  0.212947       0.132369                 NaN            NaN            NaN            NaN            NaN
  1465.78        2500.00        99.2642       0.543907                 NaN  0.117110       0.748257E-001            NaN            NaN            NaN            NaN            NaN
  1464.56        2500.00        99.1995       0.394319E-001  0.585520       0.979564E-001  0.775871E-001            NaN            NaN            NaN            NaN            NaN
  1463.35        2500.00        99.6782       0.266889                 NaN            NaN  0.549283E-001            NaN            NaN            NaN            NaN            NaN
  1462.14        2500.00        98.8777       0.253699       0.735580       0.800256E-001  0.529706E-001            NaN            NaN            NaN            NaN            NaN
  1460.92        2500.00        99.2110       0.272549       0.492733                 NaN  0.236893E-001            NaN            NaN            NaN            NaN            NaN
  1459.71        2500.00        99.2149       0.490399       0.271762                 NaN  0.229115E-001            NaN            NaN            NaN            NaN            NaN
  1458.50        2500.00        99.2193       0.486983       0.271692                 NaN  0.219872E-001            NaN            NaN            NaN            NaN            NaN
  1457.28        2500.00        99.2228       0.484556       0.271407                 NaN  0.211963E-001            NaN            NaN            NaN            NaN            NaN
  1456.07        2500.00        99.2264       0.482423       0.270688                 NaN  0.205322E-001            NaN            NaN            NaN            NaN            NaN
  1454.86        2500.00        99.2278       0.480997       0.271149                 NaN  0.200035E-001            NaN            NaN            NaN            NaN            NaN
  1453.65        2500.00        99.2293       0.479940       0.271353                 NaN  0.194293E-001            NaN            NaN            NaN            NaN            NaN
  1452.43        2500.00        97.8131        1.35859       0.777404                 NaN  0.509241E-001            NaN            NaN            NaN            NaN            NaN
  1451.22        2500.00       100.0000                 NaN            NaN            NaN  0.205076E-004            NaN            NaN            NaN            NaN            NaN
  1450.01        2500.00        99.8478       0.542148E-001  0.946454E-001            NaN  0.338263E-002            NaN            NaN            NaN            NaN            NaN
  1448.79        2500.00        99.3266       0.418954       0.239870                 NaN  0.145881E-001            NaN            NaN            NaN            NaN            NaN
  1447.58        2500.00        99.2489       0.467508       0.268158                 NaN  0.153852E-001            NaN            NaN            NaN            NaN            NaN
  1446.37        2500.00        99.2512       0.465990       0.268084                 NaN  0.147618E-001            NaN            NaN            NaN            NaN            NaN
  1445.16        2500.00        99.0904       0.571101       0.254121       0.687418E-001  0.156648E-001            NaN            NaN            NaN            NaN            NaN
  1443.94        2500.00        99.9860       0.658960E-003  0.877669E-002  0.456150E-002  0.152273E-005            NaN            NaN            NaN            NaN            NaN
  1442.73        2500.00        99.9902       0.192224E-002  0.626198E-002            NaN  0.165016E-002            NaN            NaN            NaN            NaN            NaN
  1441.52        2500.00        97.9771       0.732575        1.25732                 NaN  0.329971E-001            NaN            NaN            NaN            NaN            NaN
  1440.30        2500.00        99.2647       0.266672       0.457192                 NaN  0.114145E-001            NaN            NaN            NaN            NaN            NaN
  1439.09        2500.00        99.2653       0.456917       0.267023                 NaN  0.107422E-001            NaN            NaN            NaN            NaN            NaN
  1437.88        2500.00        99.2697       0.266109       0.454205                 NaN  0.996503E-002            NaN            NaN            NaN            NaN            NaN
  1436.66        2500.00        99.2733       0.250760       0.455145                 NaN  0.207845E-001            NaN            NaN            NaN            NaN            NaN
  1435.45        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.24        2500.00        98.8677       0.427054       0.702335                 NaN  0.289106E-002            NaN            NaN            NaN            NaN            NaN
