|6.6.6
Archiving\03_Data\eqfrac/QFM/Y98/Y98_1.tab                                
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             Sp(TH)         San(TH)        ilm            q             
  1483.97        2500.00        99.7016       0.119191                 NaN  0.179198                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.76        2500.00        99.1106       0.628321                 NaN  0.261129                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.54        2500.00        99.1198       0.623703                 NaN  0.256528                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.33        2500.00        99.1238       0.622509                 NaN  0.253726                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.12        2500.00        99.1087       0.633706                 NaN  0.257611                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.91        2500.00        99.1529       0.604189                 NaN  0.242932                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.69        2500.00        99.1398       0.614967                 NaN  0.245196                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.48        2500.00        99.1342       0.621860                 NaN  0.195038       0.488895E-001            NaN            NaN            NaN            NaN            NaN
  1474.27        2500.00        99.1206       0.635084                 NaN  0.151160       0.931598E-001            NaN            NaN            NaN            NaN            NaN
  1473.05        2500.00        99.1487       0.615851                 NaN  0.143606       0.918544E-001            NaN            NaN            NaN            NaN            NaN
  1471.84        2500.00        99.1442       0.620509                 NaN  0.142526       0.927533E-001            NaN            NaN            NaN            NaN            NaN
  1470.63        2500.00        99.1474       0.619572                 NaN  0.140743       0.922909E-001            NaN            NaN            NaN            NaN            NaN
  1469.41        2500.00        99.1337       0.630399                 NaN  0.143342       0.925526E-001            NaN            NaN            NaN            NaN            NaN
  1468.20        2500.00        99.8233       0.129682                 NaN  0.263212E-001  0.206850E-001            NaN            NaN            NaN            NaN            NaN
  1466.99        2500.00        98.5183        1.08232                 NaN  0.242183       0.157218                 NaN            NaN            NaN            NaN            NaN
  1465.78        2500.00        99.1679       0.609748                 NaN  0.133346       0.890252E-001            NaN            NaN            NaN            NaN            NaN
  1464.56        2500.00        99.0947       0.446451E-001  0.656749       0.111579       0.923670E-001            NaN            NaN            NaN            NaN            NaN
  1463.35        2500.00        99.6350       0.299584                 NaN            NaN  0.654415E-001            NaN            NaN            NaN            NaN            NaN
  1462.14        2500.00        98.7335       0.287243       0.824939       0.911797E-001  0.630987E-001            NaN            NaN            NaN            NaN            NaN
  1460.92        2500.00        99.1099       0.308844       0.553026                 NaN  0.282570E-001            NaN            NaN            NaN            NaN            NaN
  1459.71        2500.00        99.1141       0.550507       0.308045                 NaN  0.273391E-001            NaN            NaN            NaN            NaN            NaN
  1458.50        2500.00        99.1188       0.546838       0.308111                 NaN  0.262587E-001            NaN            NaN            NaN            NaN            NaN
  1457.28        2500.00        99.1225       0.544228       0.307904                 NaN  0.253271E-001            NaN            NaN            NaN            NaN            NaN
  1456.07        2500.00        99.1262       0.542036       0.307194                 NaN  0.245478E-001            NaN            NaN            NaN            NaN            NaN
  1454.86        2500.00        99.1276       0.540600       0.307849                 NaN  0.239284E-001            NaN            NaN            NaN            NaN            NaN
  1453.65        2500.00        99.1290       0.539501       0.308206                 NaN  0.232645E-001            NaN            NaN            NaN            NaN            NaN
  1452.43        2500.00        97.5323        1.52480       0.882053                 NaN  0.608865E-001            NaN            NaN            NaN            NaN            NaN
  1451.22        2500.00       100.0000                 NaN            NaN            NaN  0.246559E-004            NaN            NaN            NaN            NaN            NaN
  1450.01        2500.00        99.8277       0.616969E-001  0.106571                 NaN  0.406057E-002            NaN            NaN            NaN            NaN            NaN
  1448.79        2500.00        99.2380       0.471590       0.272904                 NaN  0.175131E-001            NaN            NaN            NaN            NaN            NaN
  1447.58        2500.00        99.1500       0.526339       0.305179                 NaN  0.184797E-001            NaN            NaN            NaN            NaN            NaN
  1446.37        2500.00        99.1523       0.524777       0.305203                 NaN  0.177405E-001            NaN            NaN            NaN            NaN            NaN
  1445.16        2500.00        98.9692       0.643586       0.289511       0.788096E-001  0.188440E-001            NaN            NaN            NaN            NaN            NaN
  1443.94        2500.00        99.9841       0.752366E-003  0.990839E-002  0.524512E-002  0.183894E-005            NaN            NaN            NaN            NaN            NaN
  1442.73        2500.00        99.9888       0.219266E-002  0.706279E-002            NaN  0.199253E-002            NaN            NaN            NaN            NaN            NaN
  1441.52        2500.00        97.7110       0.833993        1.41526                 NaN  0.396984E-001            NaN            NaN            NaN            NaN            NaN
  1440.30        2500.00        99.1663       0.304248       0.515676                 NaN  0.137675E-001            NaN            NaN            NaN            NaN            NaN
  1439.09        2500.00        99.1667       0.515515       0.304778                 NaN  0.129650E-001            NaN            NaN            NaN            NaN            NaN
  1437.88        2500.00        99.1714       0.303870       0.512649                 NaN  0.120365E-001            NaN            NaN            NaN            NaN            NaN
  1436.66        2500.00        99.1746       0.286469       0.513840                 NaN  0.251178E-001            NaN            NaN            NaN            NaN            NaN
  1435.45        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.24        2500.00        98.7157       0.487778       0.793061                 NaN  0.349501E-002            NaN            NaN            NaN            NaN            NaN
  1433.03        2500.00        98.8150       0.740951       0.400632                 NaN  0.433738E-001            NaN            NaN            NaN            NaN            NaN
  1431.81        2500.00        99.1790       0.315416       0.505614                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1430.60        2500.00        99.1808       0.314392       0.504828                 NaN  0.129322E-005            NaN            NaN            NaN            NaN            NaN
  1429.39        2500.00        99.1890       0.508691       0.270999                 NaN  0.313428E-001            NaN            NaN            NaN            NaN            NaN
  1428.17        2500.00        98.7538       0.541256       0.412383                 NaN  0.760443E-001  0.216535                 NaN            NaN            NaN            NaN
  1426.96        2500.00        98.2486       0.588557       0.410688                 NaN  0.260942       0.491203                 NaN            NaN            NaN            NaN
  1425.75        2500.00        98.2598       0.586025       0.400835                 NaN  0.264369       0.488959                 NaN            NaN            NaN            NaN
  1424.54        2500.00        98.2812       0.579842       0.391701                 NaN  0.264458       0.482789                 NaN            NaN            NaN            NaN
  1423.32        2500.00        98.3007       0.382391       0.574427                 NaN  0.265216       0.477259                 NaN            NaN            NaN            NaN
  1422.11        2500.00        98.3216       0.372967       0.568554                 NaN  0.265350       0.471553                 NaN            NaN            NaN            NaN
  1420.90        2500.00        98.3408       0.363984       0.563086                 NaN  0.265936       0.466231                 NaN            NaN            NaN            NaN
  1419.68        2500.00        98.3604       0.557416       0.355004                 NaN  0.266532       0.460676                 NaN            NaN            NaN            NaN
  1418.47        2500.00        98.3775       0.553246       0.345898                 NaN  0.267359       0.456045                 NaN            NaN            NaN            NaN
  1417.26        2500.00        98.3973       0.547708       0.337354                 NaN  0.267290       0.450332                 NaN            NaN            NaN            NaN
  1416.04        2500.00        98.4131       0.543594       0.328789                 NaN  0.268366       0.446124                 NaN            NaN            NaN            NaN
  1414.83        2500.00        98.4319       0.320569       0.538227                 NaN  0.268623       0.440701                 NaN            NaN            NaN            NaN
  1413.62        2500.00        98.4465       0.534612       0.312258                 NaN  0.269851       0.436738                 NaN            NaN            NaN            NaN
  1412.41        2500.00        98.4657       0.304507       0.528848                 NaN  0.269748       0.431190                 NaN            NaN            NaN            NaN
  1411.19        2500.00        98.4802       0.296523       0.525160                 NaN  0.270833       0.427301                 NaN            NaN            NaN            NaN
  1409.98        2500.00        98.4968       0.288717       0.520376                 NaN  0.271434       0.422652                 NaN            NaN            NaN            NaN
  1408.77        2500.00        98.5116       0.516498       0.281203                 NaN  0.272221       0.418476                 NaN            NaN            NaN            NaN
  1407.55        2500.00        98.5254       0.273660       0.513221                 NaN  0.273062       0.414670                 NaN            NaN            NaN            NaN
  1406.34        2500.00        98.5430       0.507853       0.266188                 NaN  0.273418       0.409564                 NaN            NaN            NaN            NaN
  1405.13        2500.00        98.5563       0.259145       0.504279                 NaN  0.274326       0.405917                 NaN            NaN            NaN            NaN
  1403.91        2500.00        98.5624       0.252664       0.503342                 NaN  0.276904       0.404654                 NaN            NaN            NaN            NaN
  1402.70        2500.00        98.5881       0.243950       0.495327                 NaN  0.275460       0.397169                 NaN            NaN            NaN            NaN
  1401.49        2500.00        98.5996       0.493009       0.237978                 NaN  0.275982       0.393443                 NaN            NaN            NaN            NaN
  1400.28        2500.00        98.6110       0.231406       0.489709                 NaN  0.277430       0.390500                 NaN            NaN            NaN            NaN
  1399.06        2500.00        98.6230       0.225132       0.485800                 NaN  0.278775       0.387327                 NaN            NaN            NaN            NaN
  1397.85        2500.00        98.6370       0.218103       0.482723                 NaN  0.279036       0.383135                 NaN            NaN            NaN            NaN
  1396.64        2500.00        98.6498       0.479013       0.211577                 NaN  0.279958       0.379691                 NaN            NaN            NaN            NaN
  1395.42        2500.00        98.6593       0.476599       0.205599                 NaN  0.281514       0.376957                 NaN            NaN            NaN            NaN
  1394.21        2500.00        98.6726       0.199087       0.473177                 NaN  0.281872       0.373219                 NaN            NaN            NaN            NaN
  1393.00        2500.00        98.6842       0.192616       0.470344                 NaN  0.282780       0.370049                 NaN            NaN            NaN            NaN
  1391.79        2500.00        98.6865       0.470606       0.185938                 NaN  0.287379       0.369595                 NaN            NaN            NaN            NaN
  1390.57        2500.00        98.6830       0.471501       0.186769                 NaN  0.288611       0.370077                 NaN            NaN            NaN            NaN
  1389.36        2500.00        98.7375       0.172108       0.457235                 NaN  0.279920       0.353227                 NaN            NaN            NaN            NaN
  1388.15        2500.00        98.7281       0.458721       0.169224                 NaN  0.286480       0.357501                 NaN            NaN            NaN            NaN
  1386.93        2500.00        98.4998       0.334414       0.519826                 NaN  0.157110       0.376121       0.112680                 NaN            NaN            NaN
  1385.72        2500.00        98.3723       0.568771       0.415850                 NaN  0.862043E-001  0.384923       0.171978                 NaN            NaN            NaN
  1384.51        2500.00        98.2329       0.504103       0.625690                 NaN  0.728957E-002  0.394093       0.235881                 NaN            NaN            NaN
  1383.29        2500.00        98.1206       0.680583       0.504441                 NaN            NaN  0.412465       0.281866                 NaN            NaN            NaN
  1382.08        2500.00        98.0504       0.718746       0.493520                 NaN            NaN  0.424417       0.312878                 NaN            NaN            NaN
  1380.87        2500.00        98.0112       0.742917       0.482004                 NaN            NaN  0.430876       0.333005                 NaN            NaN            NaN
  1379.66        2500.00        98.0113       0.746802       0.471516                 NaN            NaN  0.430322       0.340021                 NaN            NaN            NaN
  1378.44        2500.00        98.0182       0.747497       0.461483                 NaN            NaN  0.428900       0.343924                 NaN            NaN            NaN
  1377.23        2500.00        98.0294       0.746975       0.451060                 NaN            NaN  0.426364       0.346226                 NaN            NaN            NaN
  1376.02        2500.00        98.0601       0.442019       0.734921                 NaN            NaN  0.420431       0.342570                 NaN            NaN            NaN
  1374.80        2500.00        98.0880       0.724491       0.433173                 NaN            NaN  0.415228       0.339115                 NaN            NaN            NaN
