|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.75/Y98/Y98_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          Sp(TH)         an             ilm            San(TH)        q             
  1490.38        2500.00        97.2894                 NaN  0.394351        1.96243                 NaN  0.353826                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.15        2500.00        99.0293                 NaN  0.653650       0.317024                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.92        2500.00        99.0364                 NaN  0.315498       0.648063                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.69        2500.00        99.0424                 NaN  0.313541       0.644096                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.46        2500.00        99.0493                 NaN  0.639587       0.310428                 NaN            NaN  0.689951E-003            NaN            NaN            NaN            NaN            NaN
  1484.23        2500.00        99.0535                 NaN  0.311584       0.633949                 NaN            NaN  0.235431E-005  0.964449E-003            NaN            NaN            NaN            NaN
  1483.01        2500.00        99.0621                 NaN  0.626551       0.310049                 NaN            NaN  0.602792E-005  0.126258E-002            NaN            NaN            NaN            NaN
  1481.78        2500.00        98.9574                 NaN  0.695616       0.344810                 NaN            NaN            NaN  0.214346E-002            NaN            NaN            NaN            NaN
  1480.55        2500.00        99.1874                 NaN  0.268070       0.541404                 NaN            NaN  0.150912E-002  0.163600E-002            NaN            NaN            NaN            NaN
  1479.32        2500.00        99.0792                 NaN  0.613873       0.305095                 NaN            NaN            NaN  0.178685E-002            NaN            NaN            NaN            NaN
  1478.09        2500.00        99.0861                 NaN  0.297070       0.611557                 NaN            NaN  0.352983E-002  0.171152E-002            NaN            NaN            NaN            NaN
  1476.86        2500.00        99.0927                 NaN  0.608308       0.291009                 NaN            NaN  0.631648E-002  0.164742E-002            NaN            NaN            NaN            NaN
  1475.63        2500.00        99.0264                 NaN  0.285947       0.660263                 NaN            NaN  0.257114E-001  0.164232E-002            NaN            NaN            NaN            NaN
  1474.40        2500.00        99.1827                 NaN  0.238279       0.556153                 NaN            NaN  0.215257E-001  0.133395E-002            NaN            NaN            NaN            NaN
  1473.17        2500.00        98.9961                 NaN  0.495159       0.466067                 NaN            NaN  0.404932E-001  0.222393E-002            NaN            NaN            NaN            NaN
  1471.94        2500.00        99.2367                 NaN  0.526179E-001  0.706490                 NaN            NaN  0.354712E-002  0.657861E-003            NaN            NaN            NaN            NaN
  1470.72        2500.00        99.1209                 NaN  0.258096       0.598375                 NaN            NaN  0.213673E-001  0.130539E-002            NaN            NaN            NaN            NaN
  1469.49        2500.00        99.1289                 NaN  0.591508       0.258126                 NaN            NaN  0.201680E-001  0.125236E-002            NaN            NaN            NaN            NaN
  1468.26        2500.00        99.1325                 NaN  0.256759       0.589661                 NaN            NaN  0.198436E-001  0.120443E-002            NaN            NaN            NaN            NaN
