|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.75/Y98/Y98_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          Sp(TH)         an             ilm            San(TH)        q             
  1490.38        2500.00        97.6050                 NaN  0.346481        1.73927                 NaN  0.309298                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.15        2500.00        99.1442                 NaN  0.577914       0.277851                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.92        2500.00        99.1507                 NaN  0.276407       0.572853                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.69        2500.00        99.1563                 NaN  0.274566       0.569166                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.46        2500.00        99.1626                 NaN  0.565043       0.271743                 NaN            NaN  0.573067E-003            NaN            NaN            NaN            NaN            NaN
  1484.23        2500.00        99.1667                 NaN  0.272675       0.559943                 NaN            NaN  0.195587E-005  0.639001E-003            NaN            NaN            NaN            NaN
  1483.01        2500.00        99.1748                 NaN  0.553191       0.271179                 NaN            NaN  0.500173E-005  0.836754E-003            NaN            NaN            NaN            NaN
  1481.78        2500.00        99.0828                 NaN  0.614185       0.301576                 NaN            NaN            NaN  0.142229E-002            NaN            NaN            NaN            NaN
  1480.55        2500.00        99.2857                 NaN  0.234249       0.477693                 NaN            NaN  0.125012E-002  0.108540E-002            NaN            NaN            NaN            NaN
  1479.32        2500.00        99.1908                 NaN  0.541524       0.266514                 NaN            NaN            NaN  0.118642E-002            NaN            NaN            NaN            NaN
  1478.09        2500.00        99.1972                 NaN  0.259393       0.539311                 NaN            NaN  0.292081E-002  0.113697E-002            NaN            NaN            NaN            NaN
  1476.86        2500.00        99.2034                 NaN  0.536304       0.254003                 NaN            NaN  0.522329E-002  0.109526E-002            NaN            NaN            NaN            NaN
  1475.63        2500.00        99.1458                 NaN  0.249600       0.582196                 NaN            NaN  0.212632E-001  0.109361E-002            NaN            NaN            NaN            NaN
  1474.40        2500.00        99.2836                 NaN  0.207769       0.489957                 NaN            NaN  0.177750E-001  0.888004E-003            NaN            NaN            NaN            NaN
  1473.17        2500.00        99.1226                 NaN  0.436213       0.406280                 NaN            NaN  0.334147E-001  0.148131E-002            NaN            NaN            NaN            NaN
  1471.94        2500.00        99.3289                 NaN  0.458336E-001  0.621913                 NaN            NaN  0.292397E-002  0.438329E-003            NaN            NaN            NaN            NaN
  1470.72        2500.00        99.2301                 NaN  0.224766       0.526677                 NaN            NaN  0.176056E-001  0.870708E-003            NaN            NaN            NaN            NaN
  1469.49        2500.00        99.2374                 NaN  0.520449       0.224681                 NaN            NaN  0.166038E-001  0.835577E-003            NaN            NaN            NaN            NaN
  1468.26        2500.00        99.2409                 NaN  0.223383       0.518631                 NaN            NaN  0.163261E-001  0.804222E-003            NaN            NaN            NaN            NaN
  1467.03        2500.00        99.2450                 NaN  0.515643       0.222892                 NaN            NaN  0.157307E-001  0.773506E-003            NaN            NaN            NaN            NaN
  1465.80        2500.00        99.1490                 NaN  0.580928       0.252057                 NaN            NaN  0.171336E-001  0.841606E-003            NaN            NaN            NaN            NaN
  1464.57        2500.00        99.9294                 NaN  0.210404E-001  0.481276E-001            NaN            NaN  0.137244E-002  0.672651E-004            NaN            NaN            NaN            NaN
  1463.34        2500.00        98.6813                 NaN  0.900472       0.391857                 NaN            NaN  0.251218E-001  0.125762E-002            NaN            NaN            NaN            NaN
  1462.11        2500.00        99.2621                 NaN  0.503795       0.219960                 NaN            NaN  0.134672E-001  0.659573E-003            NaN            NaN            NaN            NaN
  1460.88        2500.00        99.1531                 NaN  0.575702       0.255423                 NaN            NaN  0.150726E-001  0.716817E-003            NaN            NaN            NaN            NaN
  1459.65        2500.00        99.3855                 NaN  0.184749       0.419032                 NaN            NaN  0.102180E-001  0.511248E-003            NaN            NaN            NaN            NaN
  1458.43        2500.00        99.2731                 NaN  0.217926       0.496482                 NaN            NaN  0.118919E-001  0.564120E-003            NaN            NaN            NaN            NaN
