|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.5/GRV/GRV_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1586.54        2500.00       0.857912E-002            NaN   99.6481       0.327717       0.156395E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.07        2500.00       0.502121E-003            NaN   99.1907       0.808759                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.60        2500.00                 NaN            NaN   99.1904       0.792759       0.168289E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.13        2500.00       0.631161E-003            NaN   99.2081       0.749416       0.418721E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.66        2500.00                 NaN            NaN   99.2054       0.755642       0.389296E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.19        2500.00                 NaN            NaN   99.2105       0.751946       0.375744E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.72        2500.00       0.235946E-002            NaN   99.2205       0.735928       0.411764E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.25        2500.00                 NaN            NaN   99.2203       0.744577       0.351515E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.78        2500.00                 NaN            NaN   99.2175       0.748161       0.343777E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.31        2500.00                 NaN            NaN   99.2311       0.736025       0.328539E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.84        2500.00       0.277191E-002            NaN   99.2417       0.717823       0.377409E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.37        2500.00                 NaN            NaN   99.2250       0.742094       0.329313E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.90        2500.00                 NaN            NaN   99.2502       0.723473       0.263264E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.43        2500.00                 NaN            NaN   99.2416       0.729765       0.286303E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.96        2500.00                 NaN            NaN   99.2430       0.730483       0.265274E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.49        2500.00                 NaN            NaN   99.2529       0.714800       0.323068E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.02        2500.00                 NaN            NaN   99.2499       0.730900       0.192298E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.55        2500.00       0.251655E-003            NaN   97.0779        2.83923       0.825914E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.08        2500.00                 NaN            NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.61        2500.00                 NaN            NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.14        2500.00                 NaN            NaN   99.8914       0.308241E-001  0.247890E-002  0.753188E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1555.67        2500.00                 NaN            NaN   99.1182                 NaN            NaN  0.881812                 NaN            NaN            NaN            NaN            NaN            NaN
  1554.20        2500.00                 NaN            NaN   98.9821                 NaN  0.801923E-002   1.00991                 NaN            NaN            NaN            NaN            NaN            NaN
  1552.73        2500.00       0.297301E-002            NaN   98.9283                 NaN            NaN   1.06876                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.26        2500.00       0.801054E-002            NaN   98.6458                 NaN            NaN  0.150172        1.19601                 NaN            NaN            NaN            NaN            NaN
  1549.79        2500.00       0.522252E-002            NaN   98.6550                 NaN  0.159220        1.18054                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.32        2500.00       0.645892E-002            NaN   98.3532                 NaN  0.150755       0.272827        1.21678                 NaN            NaN            NaN            NaN            NaN
  1546.85        2500.00       0.598377E-002            NaN   98.4050                 NaN  0.189792       0.802374E-001   1.31895                 NaN            NaN            NaN            NaN            NaN
  1545.38        2500.00       0.507719E-002            NaN   98.1196       0.172432       0.176091        1.52676                 NaN            NaN            NaN            NaN            NaN            NaN
  1543.91        2500.00       0.316966E-002            NaN   98.7109       0.133629       0.136449        1.01581                 NaN            NaN            NaN            NaN            NaN            NaN
  1542.44        2500.00       0.340504E-002            NaN   98.4371       0.199104       0.140083        1.22028                 NaN            NaN            NaN            NaN            NaN            NaN
  1540.97        2500.00       0.309057E-002            NaN   98.4544       0.208844       0.138969        1.19474                 NaN            NaN            NaN            NaN            NaN            NaN
  1539.50        2500.00       0.303886E-002            NaN   98.4863       0.198907       0.137939        1.17385                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.03        2500.00       0.284486E-002            NaN   98.5034       0.201292       0.137224        1.15520                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.56        2500.00       0.268150E-002            NaN   98.5238       0.200512       0.136226        1.13677                 NaN            NaN            NaN            NaN            NaN            NaN
  1535.09        2500.00       0.251883E-002            NaN   98.5443       0.199846       0.135352        1.11803                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.62        2500.00       0.235391E-002            NaN   98.5652       0.198770       0.134379        1.09934                 NaN            NaN            NaN            NaN            NaN            NaN
  1532.15        2500.00       0.225053E-002            NaN   98.5846       0.195052       0.133528        1.08453                 NaN            NaN            NaN            NaN            NaN            NaN
  1530.68        2500.00       0.206252E-002            NaN   98.5971       0.199074       0.132695        1.06905                 NaN            NaN            NaN            NaN            NaN            NaN
  1529.21        2500.00       0.199570E-002            NaN   98.6283       0.188164       0.131840        1.04971                 NaN            NaN            NaN            NaN            NaN            NaN
  1527.74        2500.00       0.183435E-002            NaN   98.6423       0.189412       0.131043        1.03545                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.27        2500.00       0.173780E-002            NaN   98.6591       0.185913       0.130188        1.02305                 NaN            NaN            NaN            NaN            NaN            NaN
  1524.80        2500.00       0.165186E-002            NaN   98.6764       0.181864       0.129404        1.01072                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.33        2500.00       0.153980E-002            NaN   98.6925       0.179631       0.128475       0.997880                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.86        2500.00       0.145556E-002            NaN   98.7105       0.175641       0.128094       0.984265                 NaN            NaN            NaN            NaN            NaN            NaN
  1520.39        2500.00       0.133508E-002            NaN   98.7278       0.173194       0.127019       0.970617                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.92        2500.00       0.122119E-002            NaN   98.7432       0.171357       0.126240       0.958001                 NaN            NaN            NaN            NaN            NaN            NaN
  1517.45        2500.00       0.114348E-002            NaN   98.7577       0.167920       0.125674       0.947551                 NaN            NaN            NaN            NaN            NaN            NaN
  1515.98        2500.00       0.108505E-002            NaN   98.7729       0.163353       0.124965       0.937688                 NaN            NaN            NaN            NaN            NaN            NaN
  1514.51        2500.00       0.866335E-003            NaN   98.7729       0.169898       0.124507       0.931805                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.04        2500.00       0.934721E-003            NaN   98.8223       0.151993       0.123099       0.901701                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.57        2500.00       0.691175E-003            NaN   98.8153       0.160898       0.122507       0.900598                 NaN            NaN            NaN            NaN            NaN            NaN
  1510.10        2500.00       0.746782E-003            NaN   98.8361       0.150802       0.122104       0.890296                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.63        2500.00       0.692698E-003            NaN   98.8450       0.148028       0.121796       0.884467                 NaN            NaN            NaN            NaN            NaN            NaN
  1507.16        2500.00       0.639283E-003            NaN   98.8590       0.144377       0.120996       0.875010                 NaN            NaN            NaN            NaN            NaN            NaN
  1505.69        2500.00       0.566199E-003            NaN   98.8718       0.141608       0.120363       0.865685                 NaN            NaN            NaN            NaN            NaN            NaN
  1504.22        2500.00       0.490972E-003            NaN   98.8855       0.139123       0.119717       0.855156                 NaN            NaN            NaN            NaN            NaN            NaN
  1502.75        2500.00       0.428320E-003            NaN   98.8974       0.136142       0.119086       0.846936                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.28        2500.00       0.393329E-003            NaN   98.9074       0.132980       0.118707       0.840563                 NaN            NaN            NaN            NaN            NaN            NaN
