|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.5/GRV/GRV_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1586.54        2500.00       0.134576E-001            NaN   99.6034       0.365137       0.180376E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.07        2500.00       0.787265E-003            NaN   99.0985       0.900686                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.60        2500.00                 NaN            NaN   99.0976       0.883030       0.194109E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.13        2500.00       0.989647E-003            NaN   99.1158       0.834898       0.483154E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.66        2500.00                 NaN            NaN   99.1132       0.841889       0.449318E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.19        2500.00                 NaN            NaN   99.1187       0.837937       0.433831E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.72        2500.00       0.370029E-002            NaN   99.1285       0.820210       0.475504E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.25        2500.00                 NaN            NaN   99.1294       0.830003       0.406113E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.78        2500.00                 NaN            NaN   99.1262       0.834044       0.397338E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.31        2500.00                 NaN            NaN   99.1415       0.820511       0.379744E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.84        2500.00       0.434872E-002            NaN   99.1516       0.800419       0.436457E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.37        2500.00                 NaN            NaN   99.1342       0.827715       0.380975E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.90        2500.00                 NaN            NaN   99.1626       0.806927       0.304620E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.43        2500.00                 NaN            NaN   99.1529       0.813995       0.331378E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.96        2500.00                 NaN            NaN   99.1543       0.814947       0.307048E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.49        2500.00                 NaN            NaN   99.1650       0.797586       0.374212E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.02        2500.00                 NaN            NaN   99.1621       0.815585       0.222802E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.55        2500.00       0.394011E-003            NaN   96.7452        3.15896       0.954572E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.08        2500.00                 NaN            NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.61        2500.00                 NaN            NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.14        2500.00                 NaN            NaN   99.8790       0.344443E-001  0.287929E-002  0.837144E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1555.67        2500.00                 NaN            NaN   99.0208                 NaN            NaN  0.979195                 NaN            NaN            NaN            NaN            NaN            NaN
  1554.20        2500.00                 NaN            NaN   98.8694                 NaN  0.930603E-002   1.12130                 NaN            NaN            NaN            NaN            NaN            NaN
  1552.73        2500.00       0.466345E-002            NaN   98.8086                 NaN            NaN   1.18674                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.26        2500.00       0.125564E-001            NaN   98.4938                 NaN            NaN  0.166191        1.32747                 NaN            NaN            NaN            NaN            NaN
  1549.79        2500.00       0.818555E-002            NaN   98.4998                 NaN  0.184957        1.30704                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.32        2500.00       0.101173E-001            NaN   98.1650                 NaN  0.175167       0.302925        1.34676                 NaN            NaN            NaN            NaN            NaN
  1546.85        2500.00       0.937163E-002            NaN   98.2207                 NaN  0.220693       0.891172E-001   1.46016                 NaN            NaN            NaN            NaN            NaN
  1545.38        2500.00       0.794478E-002            NaN   97.9051       0.192540       0.204610        1.68985                 NaN            NaN            NaN            NaN            NaN            NaN
  1543.91        2500.00       0.496403E-002            NaN   98.5614       0.149413       0.158945        1.12530                 NaN            NaN            NaN            NaN            NaN            NaN
  1542.44        2500.00       0.532994E-002            NaN   98.2572       0.222637       0.163249        1.35158                 NaN            NaN            NaN            NaN            NaN            NaN
  1540.97        2500.00       0.483646E-002            NaN   98.2763       0.233616       0.162056        1.32324                 NaN            NaN            NaN            NaN            NaN            NaN
  1539.50        2500.00       0.475472E-002            NaN   98.3111       0.222587       0.160981        1.30054                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.03        2500.00       0.444997E-002            NaN   98.3299       0.225336       0.160265        1.28007                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.56        2500.00       0.419364E-002            NaN   98.3522       0.224551       0.159217        1.25988                 NaN            NaN            NaN            NaN            NaN            NaN
  1535.09        2500.00       0.393802E-002            NaN   98.3745       0.223885       0.158301        1.23934                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.62        2500.00       0.367914E-002            NaN   98.3975       0.222765       0.157279        1.21881                 NaN            NaN            NaN            NaN            NaN            NaN
  1532.15        2500.00       0.351691E-002            NaN   98.4187       0.218690       0.156413        1.20267                 NaN            NaN            NaN            NaN            NaN            NaN
  1530.68        2500.00       0.322160E-002            NaN   98.4323       0.223275       0.155540        1.18566                 NaN            NaN            NaN            NaN            NaN            NaN
  1529.21        2500.00       0.311739E-002            NaN   98.4666       0.211139       0.154681        1.16449                 NaN            NaN            NaN            NaN            NaN            NaN
  1527.74        2500.00       0.286425E-002            NaN   98.4817       0.212629       0.153854        1.14897                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.27        2500.00       0.271282E-002            NaN   98.5001       0.208787       0.152967        1.13546                 NaN            NaN            NaN            NaN            NaN            NaN
  1524.80        2500.00       0.257819E-002            NaN   98.5188       0.204331       0.152171        1.12211                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.33        2500.00       0.240288E-002            NaN   98.5364       0.201912       0.151227        1.10807                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.86        2500.00       0.227082E-002            NaN   98.5561       0.197526       0.150894        1.09324                 NaN            NaN            NaN            NaN            NaN            NaN
  1520.39        2500.00       0.208196E-002            NaN   98.5750       0.194836       0.149712        1.07835                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.92        2500.00       0.190356E-002            NaN   98.5918       0.192847       0.148904        1.06455                 NaN            NaN            NaN            NaN            NaN            NaN
  1517.45        2500.00       0.178237E-002            NaN   98.6074       0.189081       0.148388        1.05331                 NaN            NaN            NaN            NaN            NaN            NaN
  1515.98        2500.00       0.169067E-002            NaN   98.6240       0.184008       0.147669        1.04261                 NaN            NaN            NaN            NaN            NaN            NaN
  1514.51        2500.00       0.134909E-002            NaN   98.6238       0.191458       0.147226        1.03621                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.04        2500.00       0.145539E-002            NaN   98.6784       0.171377       0.145698        1.00311                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.57        2500.00       0.107577E-002            NaN   98.6704       0.181469       0.145089        1.00200                 NaN            NaN            NaN            NaN            NaN            NaN
  1510.10        2500.00       0.116203E-002            NaN   98.6929       0.170185       0.144752       0.990985                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.63        2500.00       0.107769E-002            NaN   98.7024       0.167148       0.144540       0.984864                 NaN            NaN            NaN            NaN            NaN            NaN
  1507.16        2500.00       0.994192E-003            NaN   98.7176       0.163094       0.143712       0.974608                 NaN            NaN            NaN            NaN            NaN            NaN
  1505.69        2500.00       0.880256E-003            NaN   98.7315       0.160048       0.143053       0.964545                 NaN            NaN            NaN            NaN            NaN            NaN
  1504.22        2500.00       0.762970E-003            NaN   98.7465       0.157307       0.142402       0.953051                 NaN            NaN            NaN            NaN            NaN            NaN
  1502.75        2500.00       0.665381E-003            NaN   98.7594       0.154008       0.141760       0.944194                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.28        2500.00       0.610885E-003            NaN   98.7699       0.150518       0.141465       0.937458                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.81        2500.00       0.527713E-003            NaN   98.7869       0.146107       0.140854       0.925631                 NaN            NaN            NaN            NaN            NaN            NaN
  1498.34        2500.00       0.274777E-003            NaN   98.7932       0.149641       0.140074       0.916820                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.87        2500.00       0.430587E-003            NaN   98.8141       0.136962       0.140194       0.908336                 NaN            NaN            NaN            NaN            NaN            NaN
  1495.40        2500.00       0.311842E-003            NaN   98.8231       0.135956       0.139035       0.901596                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.93        2500.00       0.226791E-003            NaN   98.8343       0.133342       0.138722       0.893366                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.46        2500.00       0.121448E-003            NaN   98.8466       0.131197       0.138072       0.884009                 NaN            NaN            NaN            NaN            NaN            NaN
