|6.6.6
Archiving\03_Data\Deq/QFM_m1/K22/K22_1.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         melt(TH)       O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)       
  2000.00        2500.00        99.3402       0.659763                 NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.2751       0.724904                 NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.2100       0.790045                 NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.1448       0.855185                 NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.0797       0.920326                 NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.0145       0.985466                 NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        98.9494        1.05061                 NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        98.8843        1.11575                 NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        98.8191        1.18089                 NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        98.5754        1.42463                 NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        98.3316        1.66838                 NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        98.0879        1.91213                 NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        97.8441        2.15587                 NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        97.6004        2.39962                 NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        97.3566        2.64337                 NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        97.1129        2.88711                 NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        96.8691        3.13086                 NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        96.3281        3.67190                 NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        95.7871        4.21294                 NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        95.2460        4.75398                 NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        94.7050        5.29503                 NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        94.0743        5.92572                 NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        93.4436        6.55641                 NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        92.7763        7.21230       0.114026E-001            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        92.1145        7.86914       0.163946E-001            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        91.4368        8.52889       0.343014E-001            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        90.7591        9.18865       0.522085E-001            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        90.0815        9.84842       0.701158E-001            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        89.4038        10.5082       0.880234E-001            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        88.7261        11.1680       0.105931                 NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        88.0484        11.8278       0.123839                 NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        87.3707        12.4876       0.141748                 NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        86.6929        13.1474       0.159656                 NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        86.0505        13.7735       0.175999                 NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        85.4081        14.3996       0.192343                 NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        84.7656        15.0257       0.208686                 NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        84.1232        15.6518       0.225030                 NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        83.4807        16.2779       0.241374                 NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        82.8382        16.9041       0.257718                 NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        82.1957        17.5302       0.274063                 NaN            NaN            NaN            NaN            NaN
