|6.6.6
Archiving\03_Data\eqfrac/QFM_m1/KHA22/KHA22_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         Sp(TH)         ne             lc             ilm           
  1586.54        2500.00        99.9761       0.238710E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.07        2500.00        99.5269       0.835402E-001  0.389568                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.60        2500.00        99.3888       0.567289E-001  0.554424                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.13        2500.00        99.3949       0.565329E-001  0.548528                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.66        2500.00        99.4033       0.552988E-001  0.541392                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.19        2500.00        99.4067       0.550445E-001  0.538209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.72        2500.00        99.4117       0.546797E-001  0.533636                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.25        2500.00        99.4194       0.532292E-001  0.527328                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.78        2500.00        99.4234       0.524983E-001  0.524145                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.31        2500.00        99.6829       0.275004E-001  0.289595                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.84        2500.00        99.1770       0.738959E-001  0.749082                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.37        2500.00        99.4373       0.496843E-001  0.513043                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.90        2500.00        99.4419       0.492785E-001  0.508775                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.43        2500.00        99.4464       0.473044E-001  0.506261                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.96        2500.00        99.4527       0.480100E-001  0.499302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.49        2500.00        99.4560       0.467448E-001  0.497294                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.02        2500.00        99.4526       0.467975E-001  0.500622                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.55        2500.00        99.4741       0.447917E-001  0.481144                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.08        2500.00        99.4693       0.451151E-001  0.485575                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.61        2500.00        99.1166       0.727125E-001  0.810680                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.14        2500.00        99.7926       0.166692E-001  0.190685                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.67        2500.00        99.5272       0.392698E-001  0.433485                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.20        2500.00        99.4862       0.410451E-001  0.472735                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.73        2500.00        99.4917       0.414694E-001  0.466877                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.26        2500.00        99.4952       0.404625E-001  0.464336                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.79        2500.00        99.5002       0.396531E-001  0.460155                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.32        2500.00        99.5027       0.387016E-001  0.458637                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.85        2500.00        99.5065       0.378907E-001  0.455613                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.38        2500.00        99.4610       0.420874E-001  0.496922                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.91        2500.00        99.5651       0.328917E-001  0.401965                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.44        2500.00        99.5139       0.370580E-001  0.449025                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.97        2500.00        99.4719       0.390427E-001  0.489062                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.50        2500.00        99.5442       0.337596E-001  0.422055                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.03        2500.00        99.5637       0.307110E-001  0.405608                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.56        2500.00        99.5327       0.333791E-001  0.433915                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.09        2500.00        99.5351       0.324781E-001  0.432387                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.62        2500.00        99.4679       0.360071E-001  0.496056                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.15        2500.00        99.6118       0.263938E-001  0.361819                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.68        2500.00        99.5450       0.296306E-001  0.425408                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.21        2500.00        99.5482       0.295520E-001  0.422238                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.74        2500.00        99.5521       0.298757E-001  0.418049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.27        2500.00        99.7331       0.284957E-001  0.238427                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.80        2500.00        99.3799       0.280061E-001  0.592104                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.33        2500.00        99.5598       0.267724E-001  0.413379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.86        2500.00        99.5641       0.264917E-001  0.409424                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.39        2500.00        99.5649       0.249565E-001  0.410096                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.92        2500.00        99.1875       0.554882E-001  0.757047                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.45        2500.00        99.9564       0.653320E-003  0.429770E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.98        2500.00        99.5761       0.186288E-001  0.405294                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.51        2500.00        99.6612       0.184871E-001  0.320352                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
