|6.6.6
Archiving\03_Data\eqfrac/QFM_m1/KHA22/KHA22_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         Sp(TH)         ne             lc             ilm           
  1586.54        2500.00        99.9720       0.279638E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.07        2500.00        99.4547       0.978504E-001  0.447479                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.60        2500.00        99.2967       0.664510E-001  0.636838                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.13        2500.00        99.3033       0.662543E-001  0.630427                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.66        2500.00        99.3128       0.648431E-001  0.622383                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.19        2500.00        99.3165       0.645684E-001  0.618919                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.72        2500.00        99.3220       0.641668E-001  0.613845                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.25        2500.00        99.3308       0.624741E-001  0.606678                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.78        2500.00        99.3350       0.616597E-001  0.603291                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.31        2500.00        99.6343       0.322964E-001  0.333369                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.84        2500.00        99.0509       0.867982E-001  0.862334                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.37        2500.00        99.3505       0.584334E-001  0.591106                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.90        2500.00        99.3557       0.579670E-001  0.586325                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.43        2500.00        99.3607       0.556713E-001  0.583587                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.96        2500.00        99.3677       0.565223E-001  0.575770                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.49        2500.00        99.3714       0.550547E-001  0.573582                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.02        2500.00        99.3672       0.551542E-001  0.577679                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.55        2500.00        99.3919       0.528040E-001  0.555325                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.08        2500.00        99.3862       0.532077E-001  0.560612                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.61        2500.00        98.9783       0.857459E-001  0.935998                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.14        2500.00        99.7600       0.196787E-001  0.220371                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.67        2500.00        99.4526       0.463820E-001  0.501024                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.20        2500.00        99.4050       0.484935E-001  0.546469                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.73        2500.00        99.4111       0.490190E-001  0.539909                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.26        2500.00        99.4151       0.478395E-001  0.537103                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.79        2500.00        99.4207       0.469041E-001  0.532428                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.32        2500.00        99.4233       0.457986E-001  0.530861                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.85        2500.00        99.4277       0.448555E-001  0.527482                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.38        2500.00        99.3748       0.498322E-001  0.575347                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.91        2500.00        99.4954       0.389734E-001  0.465670                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.44        2500.00        99.4357       0.439178E-001  0.520355                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.97        2500.00        99.3868       0.463052E-001  0.566936                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.50        2500.00        99.4705       0.400573E-001  0.489424                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.03        2500.00        99.4931       0.364579E-001  0.470453                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.56        2500.00        99.4570       0.396320E-001  0.503404                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.09        2500.00        99.4596       0.385813E-001  0.501818                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.62        2500.00        99.3814       0.428127E-001  0.575812                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.15        2500.00        99.5484       0.313870E-001  0.420186                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.68        2500.00        99.4707       0.352419E-001  0.494084                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.21        2500.00        99.4743       0.351648E-001  0.490568                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.74        2500.00        99.4786       0.355647E-001  0.485874                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
