|6.6.6
Archiving\03_Data\eqLP/QFM_m4.5/LAR/LAR_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       pxmn           Sp(TH)         iron           O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        99.0989       0.901111                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.0989       0.901110                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.0989       0.901110                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.0989       0.901110                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.0989       0.901109                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.0989       0.901109                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.0989       0.901109                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.0989       0.901108                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.0989       0.901108                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.0989       0.901108                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.0989       0.901107                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.0989       0.901107                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.0989       0.901107                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.0989       0.901106                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.0989       0.901106                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.0989       0.901106                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.0989       0.901105                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.0989       0.901105                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.0989       0.901105                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.0989       0.901104                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.0989       0.901104                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.0989       0.901103                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        99.0989       0.901103                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        99.0989       0.901103                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        99.0989       0.901102                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        99.0989       0.901102                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        99.0989       0.901102                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        99.0989       0.901101                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        99.0989       0.901101                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        99.0989       0.901100                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        99.0989       0.901100                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        99.0989       0.901099                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        99.0989       0.901099                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        99.0989       0.901099                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        99.0989       0.901098                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        99.0989       0.901098                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        99.0989       0.901097                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        99.0989       0.901097                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        99.0989       0.901096                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        99.0989       0.901096                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        99.0989       0.901095                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        99.0989       0.901095                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        99.0989       0.901095                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        99.0989       0.901094                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        99.0989       0.901094                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        99.0989       0.901093                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        99.0989       0.901093                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        99.0989       0.901092                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        99.0989       0.901092                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        99.0989       0.901091                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        99.0989       0.901090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        99.0989       0.901090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        99.0989       0.901089                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        99.0989       0.901089                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        99.0989       0.901088                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        99.0989       0.901088                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        99.0989       0.901087                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        99.0989       0.901087                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        99.0989       0.901086                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        99.0989       0.901085                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        99.0989       0.901085                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        99.0989       0.901084                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        99.0989       0.901084                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        99.0989       0.901083                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        99.0989       0.901083                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        99.0989       0.901082                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        99.0989       0.901081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        99.0989       0.901081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        99.0989       0.901080                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        99.0989       0.901079                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        500.000        99.0989       0.901079                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        500.000        99.0989       0.901078                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        500.000        99.0989       0.901077                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        500.000        99.0989       0.901077                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        500.000        99.0989       0.901076                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        500.000        99.0989       0.901075                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        500.000        99.0989       0.901075                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        500.000        99.0989       0.901074                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        500.000        99.0989       0.901073                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        500.000        99.0989       0.901073                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        500.000        99.0989       0.901072                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        500.000        99.0989       0.901071                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        500.000        99.0989       0.901070                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        500.000        99.0989       0.901070                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        500.000        99.0989       0.901069                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        500.000        99.0989       0.901068                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        500.000        99.0989       0.901067                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        500.000        99.0989       0.901066                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        500.000        99.0989       0.901066                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        500.000        99.0989       0.901065                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        500.000        99.0989       0.901064                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        500.000        99.0989       0.901063                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        500.000        99.0989       0.901062                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        500.000        99.0989       0.901062                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        500.000        99.0989       0.901061                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        500.000        99.0989       0.901060                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        500.000        99.0989       0.901059                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        500.000        99.0989       0.901058                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        500.000        99.0989       0.901057                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        500.000        99.0989       0.901056                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        500.000        99.0989       0.901055                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.28        500.000        99.0989       0.901054                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1673.08        500.000        99.0989       0.901054                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.87        500.000        99.0989       0.901053                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.0989       0.901052                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1663.46        500.000        99.0989       0.901051                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1660.26        500.000        99.0957       0.901050       0.329329E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1657.05        500.000        99.0801       0.901049       0.188960E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1653.85        500.000        99.0645       0.901048       0.344987E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1650.64        500.000        99.0316       0.901093       0.495479E-001  0.177155E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1647.44        500.000        98.9918       0.901156       0.643682E-001  0.426463E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.23        500.000        98.9525       0.901220       0.789687E-001  0.673340E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.03        500.000        98.9131       0.901283       0.935713E-001  0.920251E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1637.82        500.000        98.8745       0.901345       0.107863       0.116273                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.62        500.000        98.8359       0.901407       0.122157       0.140524                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.41        500.000        98.4399       0.901350       0.137936       0.118285       0.402515                 NaN            NaN            NaN            NaN            NaN            NaN
  1628.21        500.000        97.5683       0.901129       0.155893       0.322590E-001   1.34238                 NaN            NaN            NaN            NaN            NaN            NaN
  1625.00        500.000        96.7205       0.901049       0.172271                 NaN   2.20621                 NaN            NaN            NaN            NaN            NaN            NaN
  1621.79        500.000        95.8875       0.901052       0.187871                 NaN   3.02357                 NaN            NaN            NaN            NaN            NaN            NaN
  1618.59        500.000        95.0683       0.901055       0.203216                 NaN   3.82747                 NaN            NaN            NaN            NaN            NaN            NaN
  1615.38        500.000        94.2490       0.901058       0.218562                 NaN   4.63138                 NaN            NaN            NaN            NaN            NaN            NaN
  1612.18        500.000        93.4766       0.901061       0.233069                 NaN   5.38932                 NaN            NaN            NaN            NaN            NaN            NaN
  1608.97        500.000        92.7041       0.901064       0.247576                 NaN   6.14726                 NaN            NaN            NaN            NaN            NaN            NaN
  1605.77        500.000        91.9316       0.901067       0.262082                 NaN   6.90521                 NaN            NaN            NaN            NaN            NaN            NaN
  1602.56        500.000        91.1592       0.901070       0.276589                 NaN   7.66316                 NaN            NaN            NaN            NaN            NaN            NaN
  1599.36        500.000        90.3867       0.901074       0.291096                 NaN   8.42112                 NaN            NaN            NaN            NaN            NaN            NaN
  1596.15        500.000        89.6142       0.901077       0.305603                 NaN   9.17908                 NaN            NaN            NaN            NaN            NaN            NaN
  1592.95        500.000        88.8418       0.901080       0.320110                 NaN   9.93705                 NaN            NaN            NaN            NaN            NaN            NaN
  1589.74        500.000        88.0693       0.901083       0.334618                 NaN   10.6950                 NaN            NaN            NaN            NaN            NaN            NaN
  1586.54        500.000        87.3788       0.901086       0.347779                 NaN   11.3724                 NaN            NaN            NaN            NaN            NaN            NaN
  1583.33        500.000        86.6883       0.901089       0.360941                 NaN   12.0497                 NaN            NaN            NaN            NaN            NaN            NaN
  1580.13        500.000        85.9977       0.901092       0.374103                 NaN   12.7271                 NaN            NaN            NaN            NaN            NaN            NaN
  1576.92        500.000        85.3072       0.901094       0.387264                 NaN   13.4044                 NaN            NaN            NaN            NaN            NaN            NaN
  1573.72        500.000        84.6167       0.901097       0.400426                 NaN   14.0818                 NaN            NaN            NaN            NaN            NaN            NaN
  1570.51        500.000        83.9262       0.901100       0.413588                 NaN   14.7591                 NaN            NaN            NaN            NaN            NaN            NaN
  1567.31        500.000        83.2357       0.901103       0.426750                 NaN   15.4365                 NaN            NaN            NaN            NaN            NaN            NaN
  1564.10        500.000        82.5451       0.901106       0.439912                 NaN   16.1139                 NaN            NaN            NaN            NaN            NaN            NaN
  1560.90        500.000        81.9365       0.901109       0.451809                 NaN   16.7106                 NaN            NaN            NaN            NaN            NaN            NaN
  1557.69        500.000        81.3279       0.901112       0.463705                 NaN   17.3073                 NaN            NaN            NaN            NaN            NaN            NaN
  1554.49        500.000        80.7193       0.901114       0.475602                 NaN   17.9040                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.28        500.000        80.1107       0.901117       0.487498                 NaN   18.5007                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.08        500.000        79.5021       0.901120       0.499395                 NaN   19.0974                 NaN            NaN            NaN            NaN            NaN            NaN
  1544.87        500.000        78.8935       0.901122       0.511292                 NaN   19.6941                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.67        500.000        78.2849       0.901125       0.523189                 NaN   20.2908                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.46        500.000        77.6763       0.901128       0.535086                 NaN   20.8875                 NaN            NaN            NaN            NaN            NaN            NaN
  1535.26        500.000        77.1455       0.901130       0.545871                 NaN   21.4075                 NaN            NaN            NaN            NaN            NaN            NaN
  1532.05        500.000        76.6147       0.901133       0.556657                 NaN   21.9275                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.85        500.000        76.0840       0.901135       0.567443                 NaN   22.4475                 NaN            NaN            NaN            NaN            NaN            NaN
  1525.64        500.000        75.5532       0.901138       0.578228                 NaN   22.9674                 NaN            NaN            NaN            NaN            NaN            NaN
  1522.44        500.000        75.0224       0.901140       0.589014                 NaN   23.4874                 NaN            NaN            NaN            NaN            NaN            NaN
  1519.23        500.000        74.4917       0.901143       0.599800                 NaN   24.0074                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.03        500.000        73.9609       0.901145       0.610586                 NaN   24.5274                 NaN            NaN            NaN            NaN            NaN            NaN
  1512.82        500.000        73.4301       0.901148       0.621372                 NaN   25.0474                 NaN            NaN            NaN            NaN            NaN            NaN
  1509.62        500.000        72.9517       0.901150       0.631427                 NaN   25.5157                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.41        500.000        72.4733       0.901152       0.641483                 NaN   25.9841                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.21        500.000        71.9948       0.901154       0.651538                 NaN   26.4525                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.00        500.000        71.5164       0.901157       0.661594                 NaN   26.9209                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.79        500.000        71.0632       0.901159       0.671211                 NaN   27.3644                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.59        500.000        70.6100       0.901161       0.680828                 NaN   27.8080                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.38        500.000        69.7599       0.901163       0.670155                 NaN   27.8187       0.850116                 NaN            NaN            NaN            NaN            NaN
  1487.18        500.000        68.7972       0.901164       0.652932                 NaN   27.6950        1.95372                 NaN            NaN            NaN            NaN            NaN
  1483.97        500.000        67.8523       0.901166       0.635028                 NaN   27.5725        3.03898                 NaN            NaN            NaN            NaN            NaN
  1480.77        500.000        66.7948       0.901168       0.640124                 NaN   27.3996        3.29054       0.973793                 NaN            NaN            NaN            NaN
  1477.56        500.000        65.4091       0.901172       0.711162                 NaN   27.0949        1.24782        4.63586                 NaN            NaN            NaN            NaN
  1474.36        500.000        64.0758       0.901176       0.760770                 NaN   26.8026                 NaN   7.45970                 NaN            NaN            NaN            NaN
  1471.15        500.000        62.8104       0.901178       0.774479                 NaN   26.5331                 NaN   8.98088                 NaN            NaN            NaN            NaN
  1467.95        500.000        61.5450       0.901181       0.788188                 NaN   26.2636                 NaN   10.5021                 NaN            NaN            NaN            NaN
  1464.74        500.000        60.2795       0.901183       0.801897                 NaN   25.9941                 NaN   12.0233                 NaN            NaN            NaN            NaN
  1461.54        500.000        59.0141       0.901186       0.815607                 NaN   25.7246                 NaN   13.5445                 NaN            NaN            NaN            NaN
  1458.33        500.000        57.6938       0.901189       0.829299                 NaN   25.4867                 NaN   15.0890                 NaN            NaN            NaN            NaN
  1455.13        500.000        56.3734       0.901192       0.842992                 NaN   25.2489                 NaN   16.6335                 NaN            NaN            NaN            NaN
  1451.92        500.000        55.0193       0.901194       0.856653                 NaN   25.0378                 NaN   18.1851                 NaN            NaN            NaN            NaN
  1448.72        500.000        53.5689       0.901197       0.869220                 NaN   24.8939                 NaN   19.3307       0.436042                 NaN            NaN            NaN
  1445.51        500.000        53.5689       0.901197       0.869220                 NaN   24.8939                 NaN   19.3307       0.436042                 NaN            NaN            NaN
  1442.31        500.000        53.5689       0.901197       0.869220                 NaN   24.8939                 NaN   19.3307       0.436042                 NaN            NaN            NaN
  1439.10        500.000        53.5689       0.901197       0.869220                 NaN   24.8939                 NaN   19.3307       0.436042                 NaN            NaN            NaN
  1435.90        500.000        47.7716       0.901209       0.918090                 NaN   24.5985                 NaN   21.3618        4.44877                 NaN            NaN            NaN
  1432.69        500.000        47.7716       0.901209       0.918090                 NaN   24.5985                 NaN   21.3618        4.44877                 NaN            NaN            NaN
  1429.49        500.000        47.7716       0.901209       0.918090                 NaN   24.5985                 NaN   21.3618        4.44877                 NaN            NaN            NaN
  1426.28        500.000        47.7716       0.901209       0.918090                 NaN   24.5985                 NaN   21.3618        4.44877                 NaN            NaN            NaN
  1423.08        500.000        47.7716       0.901209       0.918090                 NaN   24.5985                 NaN   21.3618        4.44877                 NaN            NaN            NaN
  1419.87        500.000        47.7716       0.901209       0.918090                 NaN   24.5985                 NaN   21.3618        4.44877                 NaN            NaN            NaN
  1416.67        500.000        47.7716       0.901209       0.918090                 NaN   24.5985                 NaN   21.3618        4.44877                 NaN            NaN            NaN
  1413.46        500.000        47.7716       0.901209       0.918090                 NaN   24.5985                 NaN   21.3618        4.44877                 NaN            NaN            NaN
  1410.26        500.000        38.2100       0.901226        1.03145                 NaN   23.9806                 NaN   24.9787        10.8980                 NaN            NaN            NaN
  1407.05        500.000        37.1853       0.901228        1.04879                 NaN   23.9019                 NaN   25.3824        11.5805                 NaN            NaN            NaN
  1403.85        500.000        36.1673       0.901230        1.06578                 NaN   23.8250                 NaN   25.7852        12.2442       0.112515E-001            NaN            NaN
  1400.64        500.000        36.1673       0.901230        1.06578                 NaN   23.8250                 NaN   25.7852        12.2442       0.112515E-001            NaN            NaN
  1397.44        500.000        31.9648       0.901239        1.06346                 NaN   24.0514                 NaN   13.4919        27.2746        1.25252                 NaN            NaN
